runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20788_b_none_d_0,DHShuttle1,1,1,t_1287278_b_none_tn_1,2388501,t_1287277_b_none_tn_24,2388501
1000000,c_24431_b_34221_d_31,4,10,1,t_2085927_b_34221_tn_0,2388346,t_2085744_b_34221_tn_0,2388328
1100000,c_24431_b_34221_d_31,41,11,1,t_2085717_b_34221_tn_0,2388354,t_2085713_b_34221_tn_0,2388308
1200000,c_24431_b_34221_d_31,42,12,1,t_2085716_b_34221_tn_0,2388354,t_2085712_b_34221_tn_0,2388308
1300000,c_24431_b_34221_d_31,51,13,1,t_2085875_b_34221_tn_0,2388434,t_2085880_b_34221_tn_0,2388434
1400000,c_24431_b_34221_d_31,52,14,1,t_2085821_b_34221_tn_0,2388346,t_2085721_b_34221_tn_0,2388346
1500000,c_24431_b_34221_d_31,6,15,1,t_2085747_b_34221_tn_0,2388460,t_2085893_b_34221_tn_0,2388325
1600000,c_24431_b_34221_d_31,7,16,1,t_2085835_b_34221_tn_0,2388367,t_2085724_b_34221_tn_0,2388434
1700000,c_24431_b_34221_d_31,DHMC20,17,1,t_2085904_b_34221_tn_1,2388449,t_2085904_b_34221_tn_144,2388449
1800000,c_24431_b_34221_d_31,Red3,18,1,t_2086173_b_34221_tn_0,2388346,t_2085883_b_34221_tn_0,2388328
1900000,c_24431_b_34221_d_31,YO,19,1,t_2085847_b_34221_tn_0,2388434,t_2085852_b_34221_tn_0,2388434
200000,c_21007_b_77764_d_31,DHShuttle1,2,1,t_1316938_b_77764_tn_1,2388501,t_819215_b_77764_tn_9,2388501
300000,c_21007_b_77764_d_31,DHShuttle2,3,1,t_1316942_b_77764_tn_1,2388501,t_819216_b_77764_tn_8,2388501
400000,c_21007_b_77764_d_31,DHShuttle3,4,1,t_1316940_b_77764_tn_1,2388501,t_819217_b_77764_tn_8,2388501
500000,c_21007_b_77764_d_31,DHShuttle4,5,1,t_1316933_b_77764_tn_1,2388509,t_1316932_b_77764_tn_0,2388325
600000,c_24431_b_34221_d_31,1,6,1,t_2085746_b_34221_tn_0,2388346,t_2086189_b_34221_tn_0,2388328
700000,c_24431_b_34221_d_31,15,7,1,t_2086172_b_34221_tn_0,2388346,t_2085710_b_34221_tn_0,2388346
800000,c_24431_b_34221_d_31,2,8,1,t_2085925_b_34221_tn_0,2388346,t_2085920_b_34221_tn_0,2388325
900000,c_24431_b_34221_d_31,3,9,1,t_2085891_b_34221_tn_0,2388346,t_2085911_b_34221_tn_0,2388325
