trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1287277_b_none_tn_1,07:10:00,07:10:00,2388325,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:11:29,07:11:29,2388454,2,,0,0,346.691244064547,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:13:02,07:13:02,2388457,3,,0,0,709.41695343537,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:15:00,07:15:00,2388509,4,,0,0,1166.89165560301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:17:26,07:17:26,2388453,5,,0,0,1677.26846919961,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:19:00,07:19:00,2388446,6,,0,0,2006.37570199391,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:19:39,07:19:39,2388428,7,,0,0,2150.04362164804,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:22:21,07:22:21,2388510,8,,0,0,2740.02385470283,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_1,07:24:00,07:24:00,2388501,9,,0,0,3098.74212301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:40:00,11:40:00,2388325,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:41:29,11:41:29,2388454,2,,0,0,346.691244064547,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:43:02,11:43:02,2388457,3,,0,0,709.41695343537,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:45:00,11:45:00,2388509,4,,0,0,1166.89165560301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:47:26,11:47:26,2388453,5,,0,0,1677.26846919961,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:49:00,11:49:00,2388446,6,,0,0,2006.37570199391,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:49:39,11:49:39,2388428,7,,0,0,2150.04362164804,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:52:21,11:52:21,2388510,8,,0,0,2740.02385470283,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_10,11:54:00,11:54:00,2388501,9,,0,0,3098.74212301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:10:00,12:10:00,2388325,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:11:29,12:11:29,2388454,2,,0,0,346.691244064547,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:13:02,12:13:02,2388457,3,,0,0,709.41695343537,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:15:00,12:15:00,2388509,4,,0,0,1166.89165560301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:17:26,12:17:26,2388453,5,,0,0,1677.26846919961,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:19:00,12:19:00,2388446,6,,0,0,2006.37570199391,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:19:39,12:19:39,2388428,7,,0,0,2150.04362164804,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:22:21,12:22:21,2388510,8,,0,0,2740.02385470283,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_11,12:24:00,12:24:00,2388501,9,,0,0,3098.74212301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:40:00,12:40:00,2388325,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:41:29,12:41:29,2388454,2,,0,0,346.691244064547,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:43:02,12:43:02,2388457,3,,0,0,709.41695343537,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:45:00,12:45:00,2388509,4,,0,0,1166.89165560301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:47:26,12:47:26,2388453,5,,0,0,1677.26846919961,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:49:00,12:49:00,2388446,6,,0,0,2006.37570199391,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:49:39,12:49:39,2388428,7,,0,0,2150.04362164804,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:52:21,12:52:21,2388510,8,,0,0,2740.02385470283,0,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_12,12:54:00,12:54:00,2388501,9,,0,0,3098.74212301,1,,,,,3,3,,,,,,,,,,,
t_1287277_b_none_tn_13,13:10:00,13:10:00,2388325,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
