stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2388305,78,,Olcott Industrial Park,,43.6956787109,-72.3189849854,,,0,,America/New_York,,,0,
2388306,70,,A Street,,43.6685371399,-72.3108978271,,,0,,America/New_York,,,0,
2388307,71,,Depot St,,43.673210144,-72.3091278076,,,0,,America/New_York,,,0,
2388308,72,,"Datamann, Opp.",,43.6761703491,-72.3091659546,,,0,,America/New_York,,,0,
2388309,73,,Wilder Motel,,43.6816513,-72.3140764,,,0,,America/New_York,,,0,
2388310,74,,"Stoney Creek, Opp.",,43.6835066,-72.3175102,,,0,,America/New_York,,,0,
2388311,75,,Billings Farm Road,,43.6870231628,-72.3208236694,,,0,,America/New_York,,,0,
2388312,76,,Brick House Lane NB (Drop Only),,43.6897698,-72.3201575,,,0,,America/New_York,,,0,
2388313,77,,"Hemlock Ridge, Opp.",,43.692111969,-72.3195724487,,,0,,America/New_York,,,0,
2388314,149,,Hanover Fire Station,,43.7191748,-72.2733718,,,0,,America/New_York,,,0,
2388315,148,,CRREL,,43.7230108,-72.2711178,,,0,,America/New_York,,,0,
2388316,141,,Dan & Whits,,43.7144182,-72.3085795,,,0,,America/New_York,,,0,
2388317,140,,Heritage Lane,,43.7178498,-72.3132509,,,0,,America/New_York,,,0,
2388318,143,,45 Lyme Road,,43.7193005,-72.2730168,,,0,,America/New_York,,,0,
2388319,142,,23 Lyme Road,,43.7152328491,-72.2758026123,,,0,,America/New_York,,,0,
2388320,145,,Dartmouth Printing EB (Drop Only),,43.7242275,-72.2702098,,,0,,America/New_York,,,0,
2388321,144,,Dresden Rd EB (Drop Only),,43.7217933,-72.2714859,,,0,,America/New_York,,,0,
2388322,147,,Rivercrest,,43.7257442,-72.2697541,,,0,,America/New_York,,,0,
2388323,146,,Kendal,,43.7291705,-72.2679359,,,0,,America/New_York,,,0,
2388324,9,,Brockway,,43.6964021,-72.2803647,,,0,,America/New_York,,,0,
2388325,40,,Vail DMS,,43.7079458,-72.284536,,,0,,America/New_York,,,0,
2388326,43,,Enfield @ Anne's,,43.6447837,-72.1428722,,,0,,America/New_York,,,0,
2388327,42,,Huse Park,,43.644576,-72.1428882,,,0,,America/New_York,,,0,
2388328,45,,Canaan SB,,43.6465009,-72.0141935,,,0,,America/New_York,,,0,
2388329,44,,Canaan Church,,43.6465009,-72.0141935,,,0,,America/New_York,,,0,
2388330,47,,Hartford Village,,43.6608315,-72.3398514,,,0,,America/New_York,,,0,
2388331,46,,"Heater Rd, DHMC, Opp.",,43.6531457,-72.246374,,,0,,America/New_York,,,0,
2388332,49,,"Heater Landing, Opp.",,43.6556494,-72.2493243,,,0,,America/New_York,,,0,
2388333,48,,89 lebanon St NB (Drop Only),,43.6936798096,-72.2759170532,,,0,,America/New_York,,,0,
2388334,158,,"Sunset Motel, Opp",,43.6729398,-72.2962759,,,0,,America/New_York,,,0,
2388335,159,,Indian Ridge,,43.6807949,-72.2944051,,,0,,America/New_York,,,0,
2388336,157,,"Maple, Rt 10",,43.6547432,-72.3085138,,,0,,America/New_York,,,0,
2388337,154,,Hazen St. 3,,43.719149,-72.3093691,,,0,,America/New_York,,,0,
2388338,155,,Highland Ave,,43.6511598,-72.3100625,,,0,,America/New_York,,,0,
2388339,152,,Hazen Street,,43.7170152,-72.3080486,,,0,,America/New_York,,,0,
2388340,153,,Hazen St. 2,,43.7182855,-72.3080432,,,0,,America/New_York,,,0,
2388341,150,,"23 Lyme Rd, Opp",,43.71545792,-72.27626038,,,0,,America/New_York,,,0,
2388342,151,,Tracy Hall,,43.7140064,-72.3082922,,,0,,America/New_York,,,0,
2388343,116,,Target Plaza,,43.6326052,-72.3219854,,,0,,America/New_York,,,0,
2388344,117,,Upper Valley Plaza,,43.631073,-72.3240204,,,0,,America/New_York,,,0,
2388345,18,,70 Hanover St,,43.64460963,-72.25418254,,,0,,America/New_York,,,0,
2388346,19,,Lebanon,,43.6429841,-72.2514895,,,0,,America/New_York,,,0,
2388347,17,,"Summer St, Leb",,43.646638,-72.2536456,,,0,,America/New_York,,,0,
2388348,14,,Go Go Mart,,43.6846601,-72.2703359,,,0,,America/New_York,,,0,
2388349,15,,Hanover High School,,43.6998048,-72.2840276,,,0,,America/New_York,,,0,
2388350,12,,DHMC East SB,,43.675617218,-72.2723083496,,,0,,America/New_York,,,0,
2388351,10,,Buck Road,,43.6888283,-72.2694343,,,0,,America/New_York,,,0,
2388352,11,,Colburn to Lebanon,,43.6748671,-72.2662729,,,0,,America/New_York,,,0,
2388353,96,,"Wilder Motel, Opp.",,43.6810225,-72.3133956,,,0,,America/New_York,,,0,
2388354,97,,Datamann,,43.6758907,-72.3093659,,,0,,America/New_York,,,0,
2388355,94,,"Billings Farm Rd, Opp.",,43.6868744,-72.3210373,,,0,,America/New_York,,,0,
2388356,95,,Stoney Creek,,43.6832977,-72.3174508,,,0,,America/New_York,,,0,
2388357,92,,Hemlock Ridge,,43.6919815,-72.3198231,,,0,,America/New_York,,,0,
2388358,93,,Jericho St. SB (Drop Only),,43.6904699,-72.3201827,,,0,,America/New_York,,,0,
2388359,165,,"Gould Rd, Opp",,43.6853687,-72.2936514,,,0,,America/New_York,,,0,
2388360,91,,Valley Terrace,,43.6951788,-72.3192888,,,0,,America/New_York,,,0,
2388361,169,,Hayden Court,,43.6512391,-72.3102427,,,0,,America/New_York,,,0,
2388362,168,,"Maple Rt 10, Opp",,43.655008,-72.3084806,,,0,,America/New_York,,,0,
2388363,98,,Ravenswood,,43.6729469,-72.3093719,,,0,,America/New_York,,,0,
2388364,99,,Chandler Road,,43.6682587,-72.3115692,,,0,,America/New_York,,,0,
2388365,196,,Dartmouth Ave to Lebanon,,43.659872,-72.2525854,,,0,,America/New_York,,,0,
2388366,186,,VA Hospital,,43.64807892,-72.34342194,,,0,,America/New_York,,,0,
2388367,185,,Veterans Park,,43.6497868,-72.3187563,,,0,,America/New_York,,,0,
2388368,184,,Bugbee Senior Center,,43.65024185,-72.32263947,,,0,,America/New_York,,,0,
2388369,167,,Sunset Motel,,43.6728136,-72.2965975,,,0,,America/New_York,,,0,
2388370,181,,Dunkin Donuts,,43.645462,-72.341325,,,0,,America/New_York,,,0,
2388371,183,,Twin River Clinic,,43.64934921,-72.32067871,,,0,,America/New_York,,,0,
2388372,182,,Cloverleaf NB (Drop Only),,43.6479085,-72.3347595,,,0,,America/New_York,,,0,
2388373,170,,Downtown WRJ,,43.6470632,-72.318858,,,0,,America/New_York,,,0,
2388374,172,,S. Main & Mountain Ave,,43.6414196,-72.3198477,,,0,,America/New_York,,,0,
2388375,173,,Trailer Park @ Sykes,,43.6440306,-72.3215798,,,0,,America/New_York,,,0,
2388376,174,,Hickory Ridge,,43.64413834,-72.32878113,,,0,,America/New_York,,,0,
