route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
15 -PEEKSKILL-YORKTOWN-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20696,,,15
16 - PEEKSKILL JEFFERSON VALLEY,3,FFFFFF,0080C0,WCDOT,20697,,,16
13 -OSSINING-TARRYTOWN-PORT CHESTER,3,FFFFFF,0080C0,WCDOT,20694,,,13
42 - BRONX-MT VERNON-NEW ROCHELLE,3,FFFFFF,0080C0,WCDOT,20219,,,42
8 - MT ST VINCENT-YONKERS-TUCKAHOE,3,FFFFFF,0080C0,WCDOT,20689,,,8
7 - YONKERS-MT VERNON-NEW ROCHELLE,3,FFFFFF,0080C0,WCDOT,20688,,,7
20 - THE BRONX-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20205,,,20
19 - OSSINING-MOUNT KISCO-KATONAH,3,FFFFFF,0080C0,WCDOT,20204,,,19
25 - THE BRONX-YONKERS,3,FFFFFF,0080C0,WCDOT,20207,,,25
21 - THE BRONX-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20206,,,21
16 - PEEKSKILL JEFFERSON VALLEY,3,FFFFFF,0080C0,WCDOT,20201,,,16
15 -PEEKSKILL-YORKTOWN-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20200,,,15
18 - PEEKSKILL COMMUTER,3,FFFFFF,0080C0,WCDOT,20203,,,18
17 - PEEKSKILL-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20202,,,17
2 - THE BRONX-TUDOR WOODS,3,FFFFFF,0080C0,WCDOT,20683,,,2
1 - COLLEGE-TARRYTOWN-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20682,,,1
27 - SKYLINE DRIVE-EASTVIEW-WP,3,FFFFFF,0080C0,WCDOT,20209,,,27
26 -THE BRONX-YONKERS,3,FFFFFF,0080C0,WCDOT,20208,,,26
6 - YONKERS- WP -PLEASANTVILLE,3,FFFFFF,0080C0,WCDOT,20687,,,6
5 - YONKERS-WHITE PLAINS-HARRISON,3,FFFFFF,0080C0,WCDOT,20686,,,5
32 - YONKERS LOOP,3,FFFFFF,0080C0,WCDOT,20709,,,32
4 - THE BRONX-YONKERS,3,FFFFFF,0080C0,WCDOT,20685,,,4
3 - THE BRONX-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20684,,,3
39 - RIDGE RD COMMUTER,3,FFFFFF,0080C0,WCDOT,20216,,,39
40 - MT VERNON-WHITE PLAINS-WC MC,3,FFFFFF,0080C0,WCDOT,20217,,,40
12 - ARMONK-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20197,,,12
11 - CROTON-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20196,,,11
6 - YONKERS- WP -PLEASANTVILLE,3,FFFFFF,0080C0,WCDOT,20191,,,6
32 - YONKERS LOOP,3,FFFFFF,0080C0,WCDOT,20213,,,32
8 - MT ST VINCENT-YONKERS-TUCKAHOE,3,FFFFFF,0080C0,WCDOT,20193,,,8
30 -YONKERS-BRONXVILLE-NEW ROCHELLE,3,FFFFFF,0080C0,WCDOT,20211,,,30
11 - CROTON-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20692,,,11
12 - ARMONK-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20693,,,12
9 - N YONKERS-YONKERS RR STATION,3,FFFFFF,0080C0,WCDOT,20690,,,9
10 - CROTON COMMUTER,3,FFFFFF,0080C0,WCDOT,20691,,,10
14 -PEEKSKILL-OSSINING-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20199,,,14
13 -OSSINING-TARRYTOWN-PORT CHESTER,3,FFFFFF,0080C0,WCDOT,20198,,,13
41 - MT VERNON-WHITE PLAINS-WC MC,3,FFFFFF,0080C0,WCDOT,20218,,,41
14 -PEEKSKILL-OSSINING-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20695,,,14
27 - SKYLINE DRIVE-EASTVIEW-WP,3,FFFFFF,0080C0,WCDOT,20705,,,27
WESTCHESTER - MANHATTAN,3,FFFFFF,0080C0,WCDOT,20706,,,BxM4C
1 - COLLEGE-TARRYTOWN-WHITE PLAINS,3,FFFFFF,0080C0,WCDOT,20186,,,1
