stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
41.239025,0,2031,-73.932311,,,,UNNAMED ST,FDR VA HOSPITAL BUILDING 25,0,2031,
41.15731,0,1866,-73.77301,,,,,S GREELEY AVE @ WOODBURN AVE,0,1866,
40.942033,0,4026,-73.768131,,,,,ROCKINGSTONE AVE @ FOREST AVE,0,4026,
40.938086,0,4027,-73.766418,,,,,ROCKINGSTONE AVE @ WILDWOOD RD,0,4027,
40.944213,0,4024,-73.763897,,,,,FOREST AVE @ VINE RD,0,4024,
40.942831,0,4025,-73.766785,,,,,FOREST AVE @ VILLA LA,0,4025,
40.945027,0,4022,-73.761776,,,,,WEAVER ST @ FOREST AVE,0,4022,
40.944774,0,4023,-73.762424,,,,,FOREST AVE @ MURRAY AVE,0,4023,
40.948473,0,4020,-73.761407,,,,,ROCKLAND AVE @ HIGHLAND RD,0,4020,
40.947057,0,4021,-73.76291,,,,,ROCKLAND AVE @ WEAVER ST,0,4021,
41.037595,0,643,-73.806781,,,,,DOBBS FERRY RD @ SHOPPING CTR EXIT,0,643,
40.937689,0,4028,-73.76614,,,,,ROCKINGSTONE AVE @ MOUNTAIN AVE,0,4028,
40.936302,0,4029,-73.765236,,,,,N CHATSWORTH AVE @ FRANCE PL,0,4029,
41.237541,0,2030,-73.927612,,,,UNNAMED ST,FDR VA HOSPITAL BUILDING 15,0,2030,
40.960529,0,344,-73.736961,,,,,MAMARONECK AVE @ ANDREW ST,0,344,
40.956156,0,346,-73.738561,,,,,MAMARONECK AVE @ JEFFERSON AVE,0,346,
40.973132,0,340,-73.743071,,,,MAMARONECK AVE & UNION AVE,MAMARONECK AVE OPP 450 MAMARONECK,0,340,
40.9706,0,341,-73.742666,,,,MAMARONECK AVE & UNION AVE,MAMARONECK AVE OPP 440 MAMARONECK,0,341,
40.966788,0,342,-73.736372,,,,,MAMARONECK AVE @ SUNSET RD,0,342,
40.964514,0,343,-73.735619,,,,,MAMARONECK AVE @ KNOLLWOOD AVE,0,343,
40.952697,0,348,-73.737361,,,,,MAMARONECK AVE @ HOYT AVE,0,348,
40.95233,0,349,-73.736772,,,,,MAMARONECK AVE @ HALSTEAD AVE,0,349,
41.138574,0,594,-73.777785,,,,,BROADWAY @ CHURCH ST,0,594,
