block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_199518,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124700,
b_199254,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124701,
b_199506,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124702,
b_199157,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124703,
b_199157,0,20701,0,1,Bedford Park,146908,4_merged_1126540,1124704,
b_199009,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124705,
b_199009,0,20701,0,1,Bedford Park,146907,4_merged_1126540,1124706,
b_199507,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124707,
b_199508,0,20701,0,1,Bedford Park via Cross County,146906,4_merged_1126540,1124708,
b_199508,0,20701,0,1,Bedford Park,146908,4_merged_1126540,1124709,
b_199466,0,20701,0,1,Bedford Park,146919,5_merged_1126539,1124372,
b_199438,0,20697,0,1,Hudson Valley Hospital,146856,6_merged_1126541,1124145,
b_199298,0,20688,0,0,New Rochelle,146739,4_merged_1126540,1123496,
b_199729,0,20727,0,1,Scarsdale Railroad Station,147120,4_merged_1126540,1126272,
a_194472,0,20190,0,1,Yonkers,143303,4_merged_1126537,1093143,
a_194353,0,20190,0,1,Yonkers,143304,4_merged_1126537,1093142,
a_194471,0,20190,0,1,Yonkers,143305,4_merged_1126537,1093141,
a_194400,0,20190,0,1,Yonkers,143305,4_merged_1126537,1093140,
a_194454,0,20190,0,1,Yonkers,143304,4_merged_1126537,1093147,
a_194474,0,20190,0,1,Yonkers,143305,4_merged_1126537,1093146,
a_194473,0,20190,0,1,Yonkers,143305,4_merged_1126537,1093145,
a_194449,0,20190,0,1,Yonkers,143302,4_merged_1126537,1093144,
a_194407,0,20190,0,1,Yonkers,143304,4_merged_1126537,1093149,
a_194455,0,20190,0,1,Yonkers,143302,4_merged_1126537,1093148,
a_194391,0,20192,0,1,Yonkers,143345,6_merged_1126538,1093419,
a_194391,0,20192,0,1,Yonkers,143345,6_merged_1126538,1093418,
b_199284,0,20688,0,1,Yonkers,146751,5_merged_1126539,1123422,
b_198972,0,20682,0,0,City Line,146641,5_merged_1126539,1122348,
b_199216,0,20722,0,1,Fordham,147080,4_merged_1126540,1126139,
b_199214,0,20722,0,1,Fordham,147080,4_merged_1126540,1126138,
b_199564,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125031,
b_199563,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125030,
b_199566,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125033,
b_199565,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125032,
b_199568,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125035,
b_199567,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125034,
b_199570,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125037,
b_199569,0,20706,0,0,Express - White Plains,146943,4_merged_1126540,1125036,
b_199572,0,20706,0,1,Express - Fifth Avenue,146944,4_merged_1126540,1125039,
b_199571,0,20706,0,1,Express - Fifth Avenue,146944,4_merged_1126540,1125038,
b_199208,0,20687,0,0,Hastings,146716,4_merged_1126540,1123328,
b_199269,0,20687,0,0,Pleasantville,146715,4_merged_1126540,1123327,
b_199269,0,20687,0,0,Pleasantville,146715,4_merged_1126540,1123326,
b_199010,0,20722,0,1,Fordham,147080,4_merged_1126540,1126137,
b_199144,0,20688,0,0,Mount Vernon,146741,6_merged_1126541,1123456,
b_199709,0,20722,0,1,Fordham,147080,4_merged_1126540,1126131,
b_199267,0,20687,0,0,Pleasantville,146715,4_merged_1126540,1123322,
b_199583,0,20712,0,0,Hartsdale Railroad Station,146968,4_merged_1126540,1125156,
b_199581,0,20712,0,1,Ardsley,146969,4_merged_1126540,1125157,
b_199571,0,20711,0,1,Westway,146966,4_merged_1126540,1125154,
b_199571,0,20712,0,0,Hartsdale Railroad Station,146967,4_merged_1126540,1125155,
b_199582,0,20711,0,0,Hartsdale Railroad Station,146964,4_merged_1126540,1125152,
b_199571,0,20711,0,1,Westway,146965,4_merged_1126540,1125153,
b_199583,0,20710,0,1,Hartsdale Railroad Station,146963,4_merged_1126540,1125150,
b_199582,0,20711,0,0,Hartsdale Railroad Station,146964,4_merged_1126540,1125151,
b_199711,0,20722,0,1,Fordham,147077,4_merged_1126540,1126132,
b_199581,0,20712,0,1,Ardsley,146970,4_merged_1126540,1125158,
b_199582,0,20712,0,1,Ardsley,146970,4_merged_1126540,1125159,
a_194271,0,20186,0,1,C - 242nd Street Subway Station,143268,4_merged_1126537,1092540,
a_194311,0,20186,0,1,C - 242nd Street Subway Station,143268,4_merged_1126537,1092541,
a_194315,0,20186,0,1,C - 242nd Street Subway Station,143267,4_merged_1126537,1092542,
a_194317,0,20186,0,1,C - 242nd Street Subway Station,143268,4_merged_1126537,1092543,
a_194272,0,20186,0,1,C - 242nd Street Subway Station,143268,4_merged_1126537,1092544,
a_194335,0,20187,0,0,Tudor Woods,143275,5_merged_1126536,1092545,
a_194336,0,20187,0,0,Tudor Woods,143275,5_merged_1126536,1092546,
a_194244,0,20187,0,0,Tudor Woods,143275,5_merged_1126536,1092547,
a_194244,0,20187,0,0,Tudor Woods,143275,5_merged_1126536,1092548,
a_194247,0,20187,0,0,Tudor Woods,143275,5_merged_1126536,1092549,
a_194272,0,20226,0,1,Fordham,143654,4_merged_1126537,1096041,
a_194272,0,20226,0,1,Fordham,143654,4_merged_1126537,1096040,
a_194930,0,20226,0,1,Fordham,143654,4_merged_1126537,1096043,
a_194563,0,20226,0,1,Fordham,143654,4_merged_1126537,1096042,
a_194935,0,20226,0,1,Fordham,143654,4_merged_1126537,1096045,
a_194348,0,20226,0,1,Mamaroneck,143650,4_merged_1126537,1096044,
a_194470,0,20226,0,1,Fordham,143654,4_merged_1126537,1096047,
a_194837,0,20226,0,1,Mamaroneck,143650,4_merged_1126537,1096046,
a_194931,0,20226,0,1,Fordham,143654,4_merged_1126537,1096049,
a_194774,0,20226,0,1,Fordham,143654,4_merged_1126537,1096048,
b_199718,0,20723,0,1,New Rochelle,147092,4_merged_1126540,1126191,
b_199478,0,20701,0,1,Bedford Park via Cross County,146920,5_merged_1126539,1124415,
b_198987,0,20682,0,0,City Line,146641,5_merged_1126539,1122342,
b_199299,0,20688,0,0,New Rochelle,146739,4_merged_1126540,1123498,
b_199590,0,20713,0,1,Mount Vernon,146995,5_merged_1126539,1125201,
b_198988,0,20682,0,0,City Line,146641,5_merged_1126539,1122343,
b_199471,0,20701,0,0,Cross County Shopping Center,146899,5_merged_1126539,1124285,
b_199471,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124284,
b_198983,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124287,
b_198983,0,20701,0,0,Cross County Shopping Center,146899,5_merged_1126539,1124286,
b_199470,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124281,
b_199469,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124280,
b_199471,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124283,
b_199470,0,20701,0,0,Cross County Shopping Center,146899,5_merged_1126539,1124282,
b_199472,0,20701,0,0,Cross County Shopping Center,146899,5_merged_1126539,1124289,
b_198983,0,20701,0,0,White Plains via Cross County,146900,5_merged_1126539,1124288,
b_199618,0,20713,0,1,241st Subway Station,146986,4_merged_1126540,1125340,
b_198987,0,20682,0,0,City Line,146641,5_merged_1126539,1122340,
b_199311,0,20714,0,0,Express - Westchester Medical Center,146997,4_merged_1126540,1125347,
b_199310,0,20714,0,0,Express - Westchester Medical Center,146997,4_merged_1126540,1125346,
b_199726,0,20727,0,0,Scarsdale Railroad Station,147119,4_merged_1126540,1126269,
b_199087,0,20689,0,1,Getty Square,146760,1604,1123709,
b_199264,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123708,
b_199241,0,20687,0,1,Yonkers,146735,5_merged_1126539,1123259,
b_199241,0,20687,0,1,White Plains,146733,5_merged_1126539,1123258,
b_199342,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123705,
b_199342,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123704,
b_199304,0,20689,0,0,Tuckahoe,146755,4_merged_1126540,1123707,
b_199342,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123706,
b_199347,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123701,
b_199347,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123700,
b_199342,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123703,
b_199342,0,20689,0,0,Tuckahoe,146756,4_merged_1126540,1123702,
b_199114,0,20700,0,1,Ossining,146884,5_merged_1126539,1124212,
a_194278,0,20186,0,0,City Line,143243,4_merged_1126537,1092421,
b_199357,0,20700,0,1,Ossining,146883,5_merged_1126539,1124211,
b_199453,0,20700,0,0,Katonah,146878,4_merged_1126540,1124216,
b_199453,0,20700,0,0,Katonah,146878,4_merged_1126540,1124217,
b_198971,0,20682,0,0,City Line,146641,5_merged_1126539,1122346,
b_198971,0,20682,0,0,City Line,146641,5_merged_1126539,1122347,
a_194801,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095660,
a_194801,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095661,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095662,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095663,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095664,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095665,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095666,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095667,
a_194891,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095668,
a_194362,0,20222,0,1,Secor Housing - The Bronx,143624,5_merged_1126536,1095669,
b_199712,0,20722,0,0,Mamaroneck,147065,4_merged_1126540,1126096,
a_194583,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093628,
a_194583,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093629,
a_194580,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093622,
a_194581,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093623,
a_194579,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093620,
a_194580,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093621,
a_194582,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093626,
a_194277,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093627,
a_194581,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093624,
a_194582,0,20193,0,0,Tuckahoe,143350,4_merged_1126537,1093625,
a_194777,0,20219,0,1,233rd Street Subway Station,143598,4_merged_1126537,1095488,
a_194777,0,20219,0,1,233rd Street Subway Station,143598,4_merged_1126537,1095489,
a_194874,0,20219,0,1,233rd Street Subway Station,143598,4_merged_1126537,1095484,
a_194874,0,20219,0,1,233rd Street Subway Station,143598,4_merged_1126537,1095485,
