agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
399,2601,1,North Adams/Pittsfield,,3,https://berkshirerta.com/plan-your-trip/route-1-schedule/,0033ff,ffffff,0,120,0,1,1,,
399,2602,2,Pittsfield/Lee,,3,https://berkshirerta.com/plan-your-trip/route-2-schedule/,c00000,ffffff,1,120,0,1,1,,
399,2608,21,Great Barrington/Lee,,3,https://berkshirerta.com/plan-your-trip/route-21-schedule/,006c00,ffffff,10,120,0,1,1,,
399,2741,21X,Express Pittsfield/Great Barrington,,3,https://berkshirerta.com/plan-your-trip/route-21-schedule/,00af00,ffffff,11,,0,1,1,,
399,15204,22,Great Barrington Loop,,3,https://berkshirerta.com/plan-your-trip/route-22-schedule/,086c00,ffffff,12,70,0,1,1,,
399,5749,34,North Adams Loop,,3,https://berkshirerta.com/plan-your-trip/route-34-schedule/,ffd700,000000,13,30,0,1,1,,
399,2603,3,Williamstown/North Adams,,3,https://berkshirerta.com/plan-your-trip/route-3-schedule/,9400d3,ffffff,2,60,0,1,1,,
399,2604,4,Dalton/Hinsdale,,3,https://berkshirerta.com/plan-your-trip/route-4-schedule/,9400d3,ffffff,3,120,0,1,1,,
399,3118,5A,Lanesborough,,3,https://berkshirerta.com/plan-your-trip/route-5a-schedule/,f51414,ffffff,4,120,0,1,1,,
399,74464,5B,Lanesborough,,3,https://berkshirerta.com/plan-your-trip/route-5b-schedule/,f51414,,5,120,0,1,1,,
399,3117,11,Berkshire Community College,,3,https://berkshirerta.com/plan-your-trip/route-11-schedule/,ffd700,000000,6,60,0,1,1,,
399,3114,12,Southeast Shopping Loop,,3,https://berkshirerta.com/plan-your-trip/route-12-schedule/,ffd700,000000,7,60,0,1,1,,
399,2606,14,Southeast Shopping Loop,,3,https://berkshirerta.com/plan-your-trip/route-14-schedule/,9400d3,ffffff,8,60,0,1,1,,
399,3115,15,West Pittsfield,,3,https://berkshirerta.com/plan-your-trip/route-15-schedule/,7e2608,ffffff,9,60,0,1,1,,
