runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67483_b_77793_d_31,1296430,1,1,t_5339206_b_77793_tn_0,794942,t_5316888_b_77793_tn_0,794942
1000000,c_67483_b_77793_d_31,3252,10,1,t_5339248_b_77793_tn_1,794979,t_5316963_b_77793_tn_13,794979
1100000,c_67483_b_77793_d_31,3317,11,1,t_5316880_b_77793_tn_1,794942,t_5316979_b_77793_tn_7,794942
1200000,c_67483_b_77793_d_31,3320,12,1,t_5317022_b_77793_tn_0,794942,t_5319779_b_77793_tn_0,794942
1300000,c_67483_b_77793_d_31,3322,13,1,t_5317007_b_77793_tn_1,794942,t_5317012_b_77793_tn_7,794942
1400000,c_67483_b_77793_d_31,3324,14,1,t_5316952_b_77793_tn_1,794942,t_5317042_b_77793_tn_0,794930
1500000,c_67483_b_77793_d_32,19594,15,1,t_5339249_b_77793_tn_1,794963,t_5316974_b_77793_tn_5,794963
1600000,c_67483_b_77793_d_32,19595,16,1,t_5335897_b_77793_tn_0,794975,t_5339245_b_77793_tn_0,794942
1700000,c_67483_b_77793_d_32,3243,17,1,t_5316928_b_77793_tn_0,794942,t_5339246_b_77793_tn_5,794942
1800000,c_67483_b_77793_d_32,3244,18,1,t_5316929_b_77793_tn_1,794942,t_5316938_b_77793_tn_6,794942
1900000,c_67483_b_77793_d_32,3246,19,1,t_5316944_b_77793_tn_1,794942,t_5316949_b_77793_tn_6,794942
200000,c_67483_b_77793_d_31,19594,2,1,t_5317040_b_77793_tn_1,794942,t_5317039_b_77793_tn_0,794930
2000000,c_67483_b_77793_d_32,3250,20,1,t_5316967_b_77793_tn_1,794942,t_5316968_b_77793_tn_5,794942
2100000,c_67483_b_77793_d_32,3251,21,1,t_5316951_b_77793_tn_1,794979,t_5316964_b_77793_tn_11,794979
2200000,c_67483_b_77793_d_32,3252,22,1,t_5316978_b_77793_tn_1,794940,t_5316978_b_77793_tn_7,794942
2300000,c_67483_b_77793_d_32,3317,23,1,t_5316958_b_77793_tn_1,794942,t_5316875_b_77793_tn_6,794942
2400000,c_67483_b_77793_d_32,3320,24,1,t_5316953_b_77793_tn_1,794942,t_5316955_b_77793_tn_0,794930
2500000,c_67483_b_77793_d_32,3322,25,1,t_5317005_b_77793_tn_1,794942,t_5319776_b_77793_tn_0,794942
2600000,c_67483_b_77793_d_32,3324,26,1,t_5316889_b_77793_tn_0,794942,t_5316969_b_77793_tn_5,794963
300000,c_67483_b_77793_d_31,19595,3,1,t_5339251_b_77793_tn_0,794942,t_5339228_b_77793_tn_5,794963
400000,c_67483_b_77793_d_31,19596,4,1,t_5316885_b_77793_tn_0,794942,t_5339224_b_77793_tn_5,794963
500000,c_67483_b_77793_d_31,3243,5,1,t_5316876_b_77793_tn_1,794942,t_5316936_b_77793_tn_7,794942
600000,c_67483_b_77793_d_31,3244,6,1,t_5316874_b_77793_tn_1,794942,t_5316971_b_77793_tn_0,794942
700000,c_67483_b_77793_d_31,3246,7,1,t_5316945_b_77793_tn_0,803740,t_5316948_b_77793_tn_6,794942
800000,c_67483_b_77793_d_31,3250,8,1,t_5316947_b_77793_tn_1,794963,t_5316947_b_77793_tn_7,794942
900000,c_67483_b_77793_d_31,3251,9,1,t_5339247_b_77793_tn_0,794979,t_5316957_b_77793_tn_0,794942
