stop_id,stop_city
794937,Springfield
794941,Springfield
794971,Springfield
4148549,North Adams
2740067,Pittsfield
803713,Springfield
2455272,Great Barrington
2555733,Pittsfield
2324964,Springfield
4148544,Pittsfield
794950,Springfield
794978,Springfield
2455269,Great Barrington
794932,Springfield
794986,Springfield
794952,Springfield
4148579,Pittsfield
794972,Pittsfield
807156,Springfield
2555743,Great Barrington
807149,Springfield
2455249,Lee
794959,Springfield
794976,Springfield
794962,Springfield
794934,Springfield
794919,Springfield
794979,Springfield
4148580,Pittsfield
794954,North Adams
794965,Springfield
803722,Springfield
2455225,Adams
803724,Springfield
2455228,Pittsfield
2555729,Great Barrington
803712,Springfield
803715,Springfield
807157,Springfield
794966,Springfield
2455253,North Adams
804126,Springfield
2751419,Pittsfield
2576677,Pittsfield
794928,Springfield
794987,Springfield
2455274,Great Barrington
2455276,Great Barrington
794939,Springfield
794958,Springfield
794955,Springfield
794975,Springfield
2740068,Pittsfield
794964,Springfield
803745,Springfield
2455264,Great Barrington
794942,Pittsfield
2455254,Pittsfield
794973,Springfield
2455227,Pittsfield
2455265,Great Barrington
803746,Springfield
794968,Great Barrington
804121,Springfield
794930,Pittsfield
2555731,Pittsfield
2455266,Great Barrington
794953,Springfield
794946,Springfield
2455267,Great Barrington
794984,Springfield
804125,Springfield
803737,Springfield
794931,Springfield
803743,Springfield
794970,Springfield
794927,Springfield
2455271,Great Barrington
794925,Springfield
2455273,Great Barrington
4148550,Dalton
804120,Springfield
2455268,Great Barrington
794918,Pittsfield
2555725,Pittsfield
794922,Springfield
807162,Springfield
2455251,Lenox
803714,Springfield
2555739,Pittsfield
2455252,Lee
794923,Pittsfield
2576670,Williamstown
4148582,North Adams
2576674,Pittsfield
807151,Springfield
2576689,Alford
2555737,Pittsfield
2576673,Pittsfield
803723,Springfield
794940,Hinsdale
794957,Springfield
4148576,Pittsfield
794951,Springfield
2455275,Great Barrington
794969,Springfield
794936,Springfield
2455261,Great Barrington
2555728,Pittsfield
2394626,North Adams
794935,Springfield
2576667,Williamstown
804124,Springfield
2555722,Dalton
2455277,Great Barrington
803721,Springfield
794926,Springfield
794947,Springfield
794921,Springfield
804127,Springfield
794944,Springfield
794974,Springfield
2511831,Pittsfield
2751417,Pittsfield
2483577,Lanesborough
794961,Springfield
803739,Springfield
794943,Springfield
2555732,North Adams
2576669,Williamstown
803725,Springfield
2555730,Lanesborough
2555720,Pittsfield
794924,Lanesborough
803742,Springfield
794933,Springfield
2455263,Great Barrington
794967,Springfield
804122,Springfield
2576675,Pittsfield
794980,Springfield
4148551,Dalton
803744,Springfield
2555726,Lee
803736,Springfield
4148548,North Adams
2455262,Great Barrington
2455226,Adams
803716,Springfield
4148584,Pittsfield
794948,Springfield
2455259,Great Barrington
2455260,Great Barrington
4148545,Pittsfield
794985,North Adams
2555740,Pittsfield
794929,Springfield
2455250,Lenox
794960,Springfield
2511832,Pittsfield
794949,Springfield
803740,Springfield
794977,Springfield
794963,Springfield
2455270,Great Barrington
2576668,Williamstown
4148583,Pittsfield
794945,Springfield
2555724,Pittsfield
807161,Springfield
2576676,Pittsfield
2751418,Pittsfield
