route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
2601,c_67483_b_77793_d_31,t_5316971_b_77793_tn_0,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_1,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_2,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_3,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_4,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_5,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_6,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316936_b_77793_tn_7,,Pittsfield Intermodal Center,0,3243,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_1,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_2,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_3,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_4,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_5,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_6,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316937_b_77793_tn_7,,Pittsfield Intermodal Center,0,3244,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316957_b_77793_tn_0,,Pittsfield Intermodal Center,0,3251,p_1425664,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_1,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_2,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_3,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_4,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_5,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_6,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316874_b_77793_tn_7,,Berkshire Mall/North Adams,1,3244,p_1425662,,,,,,,,,,,,
2601,c_67483_b_77793_d_31,t_5316876_b_77793_tn_1,,Berkshire Mall/North Adams,1,3243,p_1425662,,,,,,,,,,,,
