agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
444,2933,1,Montello Street Via North Main Street,Travels from BAT centre to Walmart,3,https://www.ridebat.com/routes/route-1/,5eaccc,000000,0,60,0,1,1,,
444,2934,2,S Plaza/Campello Via Main Street,Travels from Batcenter to shaws and back to Bat center,3,https://www.ridebat.com/routes/route-2/,743299,ffffff,1,60,0,1,1,,
444,3219,12,Ashmont,No transfers permitted for these trips,3,https://www.ridebat.com/routes/route-12/,c1ae38,000000,10,60,0,1,1,,
444,2945,13,"Mini-Maller Westgate Mall, Brockton",Travels from westgate mall to Goddard Rehab & Nursing and back to mall,3,https://www.ridebat.com/routes/route-13/,ae8dac,000000,11,,0,1,1,,
444,2946,14,Stoughton via Brockton,Travels from bat center-westgate mall-cobbs center stoughton,3,https://www.ridebat.com/routes/route-14/,c4812d,000000,12,120,0,1,1,,
444,2947,RF,Rockland Flex,Flexible Route Rockland to Brockton,3,https://www.ridebat.com/routes/route-rf/,223c8a,ffffff,13,75,0,1,1,,
444,2948,BSU 1,Green Line,Bridgewater State University Service,3,https://www.ridebat.com/routes/route-bsu-1/,005e23,ffffff,14,15,0,1,1,,
444,3220,BSU 2,Blue Line,,3,https://www.ridebat.com/routes/route-bsu-2/,00386d,ffffff,15,15,0,1,1,,
444,3223,BSU 3,Red Line,,3,https://www.ridebat.com/routes/route-bsu-3/,8a0000,ffffff,16,20,0,1,1,,
444,3221,BSU 4,Route 28,,3,https://www.ridebat.com/routes/route-bsu-4/,3b0032,ffffff,17,,0,1,1,,
444,3222,BSU 5,Gold Nights and Weekends,,3,https://www.ridebat.com/routes/route-bsu-5/,d29d00,ffffff,18,15,0,1,1,,
444,2935,3,VA Hospital via Belmont,Travels to VA Hospital and back to Bat center,3,https://www.ridebat.com/routes/route-3/,b94ad0,000000,2,60,0,1,1,,
444,2936,4,Westgate via Pleasant,Travels to westgate mall and back to Bat center,3,https://www.ridebat.com/routes/route-4/,574fd8,ffffff,3,60,0,1,1,,
444,2937,4A,Westgate Mall via N Warren,Travels to Westgate mall via N Warren st and back to Bat center,3,https://www.ridebat.com/routes/route-4a/,5c5dbf,ffffff,4,60,0,1,1,,
444,2938,5,Brockton Hospital via Centre Street,From Bat center to Brockton Hospital Via Centre Street and back to Bat center,3,https://www.ridebat.com/routes/route-5/,74c1d8,000000,5,60,0,1,1,,
444,2939,6,Massasoit via Crescent Street,Travels from BAT center to massasoit college student union and back to Bat center,3,http://www.ridebat.com/schedulemaps/brockton/r6/,de9240,000000,6,60,0,1,1,,
444,2940,8,Southfield via Warren & Plain Street,From Bat center to Southfield via Warren ave & Plain St and back to Bat center,3,https://www.ridebat.com/routes/route-8/,80af74,000000,7,60,0,1,1,,
444,2941,9,Pearl via W Elm & Torrey,From Bat center to pearl Via W Elm & Torrey and back to Bat center,3,https://www.ridebat.com/routes/route-9/,ddbf53,000000,8,60,0,1,1,,
444,18785,10/11,Lisa & Howard via N Quincy & Court,,3,https://www.ridebat.com/routes/route-10_11/,589e31,,9,60,0,1,1,,
