runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_1747_b_78101_d_127,33213,1,1,t_501049_b_78101_tn_1,807049,t_501049_b_78101_tn_12,807049
1000000,c_1747_b_78102_d_31,3164,10,1,t_77193_b_78102_tn_1,807049,t_77193_b_78102_tn_35,807049
1100000,c_1747_b_78103_d_127,33213,11,1,t_501049_b_78103_tn_1,807049,t_501049_b_78103_tn_12,807049
1200000,c_1747_b_78103_d_31,19480,12,1,t_1132293_b_78103_tn_0,807049,t_1132306_b_78103_tn_0,807049
1300000,c_1747_b_78103_d_31,3162,13,1,t_77160_b_78103_tn_1,807049,t_77160_b_78103_tn_47,807049
1400000,c_1747_b_78103_d_31,3163,14,1,t_77157_b_78103_tn_1,807049,t_77157_b_78103_tn_47,807049
1500000,c_1747_b_78103_d_31,3164,15,1,t_77193_b_78103_tn_1,807049,t_77193_b_78103_tn_35,807049
1600000,c_20991_b_none_d_0,19480,16,1,t_1314591_b_none_tn_0,807049,t_1314593_b_none_tn_0,807049
1700000,c_20991_b_none_d_0,3162,17,1,t_1314587_b_none_tn_1,807049,t_1314587_b_none_tn_35,807049
1800000,c_20991_b_none_d_0,3163,18,1,t_1314588_b_none_tn_1,807049,t_1314588_b_none_tn_35,807049
1900000,c_20991_b_none_d_0,3164,19,1,t_1314589_b_none_tn_1,807049,t_1314589_b_none_tn_27,807049
200000,c_1747_b_78101_d_31,19480,2,1,t_1132293_b_78101_tn_0,807049,t_1132306_b_78101_tn_0,807049
2000000,c_21163_b_29144_d_31,115121,20,1,t_1343563_b_29144_tn_1,799180,t_1343565_b_29144_tn_6,799180
2100000,c_21163_b_29144_d_31,116479,21,1,t_2081433_b_29144_tn_0,799480,t_2081415_b_29144_tn_8,799180
2200000,c_21163_b_29144_d_31,25407,22,1,t_2081461_b_29144_tn_1,799779,t_2081439_b_29144_tn_0,799180
2300000,c_21163_b_29144_d_31,3103,23,1,t_1343459_b_29144_tn_0,799180,t_1343522_b_29144_tn_11,799180
2400000,c_21163_b_29144_d_31,3104,24,1,t_1343527_b_29144_tn_1,799180,t_1343527_b_29144_tn_8,799209
2500000,c_21163_b_29144_d_31,3105,25,1,t_1348153_b_29144_tn_0,799180,t_1348154_b_29144_tn_15,799265
2600000,c_21163_b_29144_d_31,3106,26,1,t_1343530_b_29144_tn_1,799180,t_1343530_b_29144_tn_8,799265
2700000,c_21163_b_29144_d_31,3107,27,1,t_1343537_b_29144_tn_1,799180,t_1343537_b_29144_tn_8,799306
2800000,c_21163_b_29144_d_31,3108,28,1,t_1348170_b_29144_tn_0,799180,t_1348169_b_29144_tn_15,799306
2900000,c_21163_b_29144_d_31,3109,29,1,t_1343492_b_29144_tn_0,799180,t_1348171_b_29144_tn_15,799905
300000,c_1747_b_78101_d_31,3162,3,1,t_77160_b_78101_tn_1,807049,t_77160_b_78101_tn_47,807049
3000000,c_21163_b_29144_d_31,3110,30,1,t_1343538_b_29144_tn_1,799180,t_1343538_b_29144_tn_8,799905
3100000,c_21163_b_29144_d_31,3111,31,1,t_1343539_b_29144_tn_1,799180,t_1343539_b_29144_tn_8,799353
3200000,c_21163_b_29144_d_31,3112,32,1,t_1343497_b_29144_tn_0,799180,t_1348173_b_29144_tn_15,799353
3300000,c_21163_b_29144_d_31,3113,33,1,t_1343510_b_29144_tn_1,799180,t_1343510_b_29144_tn_8,799411
3400000,c_21163_b_29144_d_31,3114,34,1,t_1343500_b_29144_tn_0,799180,t_1348176_b_29144_tn_15,799411
3500000,c_21163_b_29144_d_31,3115,35,1,t_1343540_b_29144_tn_1,799180,t_1343540_b_29144_tn_8,799448
3600000,c_21163_b_29144_d_31,3116,36,1,t_1372699_b_29144_tn_0,799180,t_1372700_b_29144_tn_15,799448
3700000,c_21163_b_29144_d_31,3117,37,1,t_1343541_b_29144_tn_1,799180,t_1343541_b_29144_tn_8,799501
3800000,c_21163_b_29144_d_31,3118,38,1,t_1343502_b_29144_tn_0,799180,t_1348181_b_29144_tn_15,799501
3900000,c_21163_b_29144_d_31,3133,39,1,t_1343467_b_29144_tn_0,799180,t_1348183_b_29144_tn_12,799554
400000,c_1747_b_78101_d_31,3163,4,1,t_77157_b_78101_tn_1,807049,t_77157_b_78101_tn_47,807049
4000000,c_21163_b_29144_d_31,3134,40,1,t_1343572_b_29144_tn_0,799180,t_1348150_b_29144_tn_15,2729862
4100000,c_21163_b_29144_d_31,3155,41,1,t_1343564_b_29144_tn_1,799180,t_1343430_b_29144_tn_6,799180
4200000,c_21163_b_29144_d_31,3156,42,1,t_1343475_b_29144_tn_0,800056,t_1524383_b_29144_tn_0,800056
4300000,c_21163_b_29144_d_31,3597,43,1,t_2081432_b_29144_tn_0,799480,t_2081425_b_29144_tn_8,799779
