timetable_id,stop_id,stop_sequence,stop_name,connected_routes
3527,799209,1,Walmart,1/Montello Street Via North Main Street
3527,799180,2,BAT Center,"10/11/Lisa & Howard via N Quincy & Court, 10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Ashmont, 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 4/Route 28, /Dial-A-Bat ADA Service, RF/Rockland Flex, /Test Area to Point Route"
3528,799209,1,Walmart,1/Montello Street Via North Main Street
3528,799180,2,BAT Center,"10/11/Lisa & Howard via N Quincy & Court, 10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Ashmont, 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 4/Route 28, /Dial-A-Bat ADA Service, RF/Rockland Flex, /Test Area to Point Route"
3529,799209,1,Walmart,1/Montello Street Via North Main Street
3529,799210,2,West Main St and South St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799211,3,West Main St and Glendower St,1/Montello Street Via North Main Street
3529,799212,4,Maguire Road,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799213,5,West Main St and East Main St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799214,6,North Main St and Burkeside Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799215,7,North Main St and Hillcrest Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,2734705,8,North Main St. @ Field House Daycare,1/Montello Street Via North Main Street
3529,799216,9,North Main St and Woodland Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799217,10,North Main St and Manners Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799218,11,North Main St and Willow St,"12/Ashmont, 1/Montello Street Via North Main Street, /Dial-A-Bat Senior Service"
3529,799219,12,North Main St and May Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799220,13,North Main St and Searles Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,2734704,14,North Main St at Guardian Rehabilitation Center,1/Montello Street Via North Main Street
3529,799221,15,North Main St and Martland Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799222,16,North Main St and Oak St,"12/Ashmont, 1/Montello Street Via North Main Street, /Dial-A-Bat Senior Service"
3529,799223,17,North Main St and Herrod Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799224,18,North Main St and Rutland St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799225,19,North Main St and Vine St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799226,20,North Main St and Upland Road,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799227,21,North Main St and Landsdowne St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799238,22,North Main St and Battles St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799228,23,North Main St and Division St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799229,24,North Main St and Ford St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799230,25,North Main St and West Ashland St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799231,26,North Main St and Huntington St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799232,27,North Main St and Prospect St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799233,28,North Main St and Falmouth Ave,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799234,29,North Main St and Wyman St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799235,30,North Main St and Haverhill St,"12/Ashmont, 1/Montello Street Via North Main Street"
3529,799236,31,Linden St and North Montello St,"10/11/Lisa & Howard via N Quincy & Court, 12/Ashmont, 1/Montello Street Via North Main Street"
3529,799237,32,North Montello St and Court St,"10/11/Lisa & Howard via N Quincy & Court, 10/Lisa & Howard via N Quincy & Court, 12/Ashmont, 1/Montello Street Via North Main Street"
3529,799180,33,BAT Center,"10/11/Lisa & Howard via N Quincy & Court, 10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Ashmont, 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 4/Route 28, /Dial-A-Bat ADA Service, RF/Rockland Flex, /Test Area to Point Route"
