timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3527,2933,1,20220901,20230801,1,1,1,1,1,0,0,Montello Street Via North Main Street,Weekday,Inbound,vertical,,
3528,2933,1,20220901,20230801,0,0,0,0,0,1,0,Montello Street Via North Main Street,Saturday only,Inbound,vertical,,
3529,2933,1,20220901,20230801,0,0,0,0,0,0,1,Montello Street Via North Main Street,Sunday only,Inbound,vertical,,
3530,2933,0,20220901,20230801,1,1,1,1,1,0,0,Montello Street Via North Main Street,Weekday,Outbound,vertical,,
3531,2933,0,20220901,20230801,0,0,0,0,0,1,0,Montello Street Via North Main Street,Saturday only,Outbound,vertical,,
3532,2933,0,20220901,20230801,0,0,0,0,0,0,1,Montello Street Via North Main Street,Sunday only,Outbound,vertical,,
3533,2934,1,20220901,20230801,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Weekday,Inbound,vertical,,
3534,2934,0,20220901,20230801,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Weekday,Outbound,vertical,,
3535,2934,1,20220901,20230801,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Saturday only,Inbound,vertical,,
3536,2934,1,20220901,20230801,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Sunday only,Inbound,vertical,,
3537,2934,0,20220901,20230801,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Saturday only,Outbound,vertical,,
3538,2934,0,20220901,20230801,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Sunday only,Outbound,vertical,,
3539,2935,1,20220901,20230801,1,1,1,1,1,0,0,VA Hospital via Belmont,Weekday,Inbound,vertical,,
3540,2935,1,20220901,20230801,0,0,0,0,0,1,0,VA Hospital via Belmont,Saturday only,Inbound,vertical,,
3541,2935,1,20220901,20230801,0,0,0,0,0,0,1,VA Hospital via Belmont,Sunday only,Inbound,vertical,,
3542,2935,0,20220901,20230801,1,1,1,1,1,0,0,VA Hospital via Belmont,Weekday,Outbound,vertical,,
3543,2935,0,20220901,20230801,0,0,0,0,0,1,0,VA Hospital via Belmont,Saturday only,Outbound,vertical,,
3544,2935,0,20220901,20230801,0,0,0,0,0,0,1,VA Hospital via Belmont,Sunday only,Outbound,vertical,,
3545,2936,1,20220901,20230801,1,1,1,1,1,0,0,Westgate via Pleasant,Weekday,Inbound,vertical,,
3546,2936,1,20220901,20230801,0,0,0,0,0,1,0,Westgate via Pleasant,Saturday only,Inbound,vertical,,
3547,2936,1,20220901,20230801,0,0,0,0,0,0,1,Westgate via Pleasant,Sunday only,Inbound,vertical,,
3548,2936,0,20220901,20230801,1,1,1,1,1,0,0,Westgate via Pleasant,Weekday,Outbound,vertical,,
3549,2936,0,20220901,20230801,0,0,0,0,0,1,0,Westgate via Pleasant,Saturday only,Outbound,vertical,,
3550,2936,0,20220901,20230801,0,0,0,0,0,0,1,Westgate via Pleasant,Sunday only,Outbound,vertical,,
3551,2937,1,20220901,20230801,1,1,1,1,1,0,0,Westgate Mall via N Warren,Weekday,Inbound,vertical,,
3552,2937,1,20220901,20230801,0,0,0,0,0,1,0,Westgate Mall via N Warren,Saturday only,Inbound,vertical,,
3553,2937,1,20220901,20230801,0,0,0,0,0,0,1,Westgate Mall via N Warren,Sunday only,Inbound,vertical,,
3554,2937,0,20220901,20230801,1,1,1,1,1,0,0,Westgate Mall via N Warren,Weekday,Outbound,vertical,,
3555,2937,0,20220901,20230801,0,0,0,0,0,1,0,Westgate Mall via N Warren,Saturday only,Outbound,vertical,,
3556,2937,0,20220901,20230801,0,0,0,0,0,0,1,Westgate Mall via N Warren,Sunday only,Outbound,vertical,,
3557,2938,0,20220901,20230801,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Weekday,Outbound,vertical,,
3558,2938,0,20220901,20230801,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Saturday only,Outbound,vertical,,
3559,2938,0,20220901,20230801,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Sunday only,Outbound,vertical,,
3560,2938,1,20220901,20230801,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Weekday,Inbound,vertical,,
3561,2939,1,20220901,20230801,0,0,0,0,0,1,0,Massasoit via Crescent Street,Saturday only,Inbound,vertical,,
3563,2939,0,20220901,20230801,1,1,1,1,1,0,0,Massasoit via Crescent Street,Weekday,Outbound,vertical,,
3564,2938,0,20220901,20230801,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Saturday only,Outbound,vertical,,
3565,2938,0,20220901,20230801,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Sunday only,Outbound,vertical,,
3566,2939,1,20220901,20230801,1,1,1,1,1,0,0,Massasoit via Crescent Street,Weekday,Inbound,vertical,,
3567,2939,1,20220901,20230801,0,0,0,0,0,1,0,Massasoit via Crescent Street,Saturday only,Inbound,vertical,,
3568,2939,1,20220901,20230801,0,0,0,0,0,0,1,Massasoit via Crescent Street,Sunday only,Inbound,vertical,,
3569,2940,1,20220901,20230801,1,1,1,1,1,0,0,Southfield via Warren & Plain Street,Weekday,Inbound,vertical,,
3570,2940,1,20220901,20230801,0,0,0,0,0,1,0,Southfield via Warren & Plain Street,Saturday only,Inbound,vertical,,
