runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20558_b_78396_d_32,1296492,1,1,t_1263883_b_78396_tn_0,798326,t_1263881_b_78396_tn_0,798326
1000000,c_21045_b_78056_d_31,5883,10,1,t_1326320_b_78056_tn_0,798387,t_1326320_b_78056_tn_0,798352
1100000,c_21045_b_78056_d_31,5891,11,1,t_5369575_b_78056_tn_0,798326,t_5369575_b_78056_tn_0,798352
1200000,c_21045_b_78057_d_31,163582,12,1,t_1326294_b_78057_tn_0,798352,t_1326294_b_78057_tn_0,798387
1300000,c_21045_b_78057_d_31,163585,13,1,t_1326556_b_78057_tn_0,798326,t_5369584_b_78057_tn_0,798387
1400000,c_21045_b_78057_d_31,20231,14,1,t_1326340_b_78057_tn_0,798352,t_1326355_b_78057_tn_0,798341
1500000,c_21045_b_78057_d_31,20873,15,1,t_1326554_b_78057_tn_0,798405,t_1326554_b_78057_tn_0,798352
1600000,c_21045_b_78057_d_31,20877,16,1,t_1326295_b_78057_tn_0,798401,t_1326321_b_78057_tn_0,798387
1700000,c_21045_b_78057_d_31,20878,17,1,t_1326356_b_78057_tn_0,798417,t_1326555_b_78057_tn_0,798327
1800000,c_21045_b_78057_d_31,5876,18,1,t_1326323_b_78057_tn_0,807775,t_1326322_b_78057_tn_0,2754935
1900000,c_21045_b_78057_d_31,5878,19,1,t_1326301_b_78057_tn_0,798387,t_1326301_b_78057_tn_0,798352
200000,c_21045_b_78056_d_31,163582,2,1,t_1326294_b_78056_tn_0,798352,t_1326294_b_78056_tn_0,798387
2000000,c_21045_b_78057_d_31,5883,20,1,t_1326320_b_78057_tn_0,798387,t_1326320_b_78057_tn_0,798352
2100000,c_21045_b_78057_d_31,5891,21,1,t_5369575_b_78057_tn_0,798326,t_5369575_b_78057_tn_0,798352
2200000,c_21045_b_78058_d_31,163582,22,1,t_1326294_b_78058_tn_0,798352,t_1326294_b_78058_tn_0,798387
2300000,c_21045_b_78058_d_31,163585,23,1,t_1326556_b_78058_tn_0,798326,t_5369584_b_78058_tn_0,798387
2400000,c_21045_b_78058_d_31,20231,24,1,t_1326340_b_78058_tn_0,798352,t_1326355_b_78058_tn_0,798341
2500000,c_21045_b_78058_d_31,20873,25,1,t_1326554_b_78058_tn_0,798405,t_1326554_b_78058_tn_0,798352
2600000,c_21045_b_78058_d_31,20877,26,1,t_1326295_b_78058_tn_0,798401,t_1326321_b_78058_tn_0,798387
2700000,c_21045_b_78058_d_31,20878,27,1,t_1326356_b_78058_tn_0,798417,t_1326555_b_78058_tn_0,798327
2800000,c_21045_b_78058_d_31,5876,28,1,t_1326323_b_78058_tn_0,807775,t_1326322_b_78058_tn_0,2754935
2900000,c_21045_b_78058_d_31,5878,29,1,t_1326301_b_78058_tn_0,798387,t_1326301_b_78058_tn_0,798352
300000,c_21045_b_78056_d_31,163585,3,1,t_1326556_b_78056_tn_0,798326,t_5369584_b_78056_tn_0,798387
3000000,c_21045_b_78058_d_31,5883,30,1,t_1326320_b_78058_tn_0,798387,t_1326320_b_78058_tn_0,798352
3100000,c_21045_b_78058_d_31,5891,31,1,t_5369575_b_78058_tn_0,798326,t_5369575_b_78058_tn_0,798352
3200000,c_21045_b_78059_d_31,163582,32,1,t_1326294_b_78059_tn_0,798352,t_1326294_b_78059_tn_0,798387
3300000,c_21045_b_78059_d_31,163585,33,1,t_1326556_b_78059_tn_0,798326,t_5369584_b_78059_tn_0,798387
3400000,c_21045_b_78059_d_31,20231,34,1,t_1326340_b_78059_tn_0,798352,t_1326355_b_78059_tn_0,798341
3500000,c_21045_b_78059_d_31,20873,35,1,t_1326554_b_78059_tn_0,798405,t_1326554_b_78059_tn_0,798352
3600000,c_21045_b_78059_d_31,20877,36,1,t_1326295_b_78059_tn_0,798401,t_1326321_b_78059_tn_0,798387
3700000,c_21045_b_78059_d_31,20878,37,1,t_1326356_b_78059_tn_0,798417,t_1326555_b_78059_tn_0,798327
3800000,c_21045_b_78059_d_31,5876,38,1,t_1326323_b_78059_tn_0,807775,t_1326322_b_78059_tn_0,2754935
3900000,c_21045_b_78059_d_31,5878,39,1,t_1326301_b_78059_tn_0,798387,t_1326301_b_78059_tn_0,798352
400000,c_21045_b_78056_d_31,20231,4,1,t_1326340_b_78056_tn_0,798352,t_1326355_b_78056_tn_0,798341
4000000,c_21045_b_78059_d_31,5883,40,1,t_1326320_b_78059_tn_0,798387,t_1326320_b_78059_tn_0,798352
4100000,c_21045_b_78059_d_31,5891,41,1,t_5369575_b_78059_tn_0,798326,t_5369575_b_78059_tn_0,798352
4200000,c_21058_b_28942_d_31,1296492,42,1,t_1321074_b_28942_tn_0,807841,t_1321074_b_28942_tn_0,798388
4300000,c_21058_b_28942_d_31,163582,43,1,t_1321075_b_28942_tn_0,798388,t_1321075_b_28942_tn_0,807841
4400000,c_24289_b_33923_d_31,1296492,44,1,t_2070875_b_33923_tn_0,807832,t_2070876_b_33923_tn_0,807834
4500000,c_24289_b_33923_d_31,163582,45,1,t_2070838_b_33923_tn_0,807832,t_2070874_b_33923_tn_0,807832
