timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5072,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5072,798369,2,Main St & Pleasant St,"/Blackburn Tripper, /Cruiseship Trolley, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, /Thatcher Road, Tripper/Magnolia to GHS, /West Gloucester"
5072,798364,3,Lincoln Park,/Gloucester Crossing/Business Express
5072,798352,4,Gloucester High School,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, Tripper/Magnolia to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Rocky Neck, Eastern Ave to GHS, Tripper/Washington St, Cherry St to GHS"
5072,798351,5,Gloucester Crossing,"/Blackburn Tripper, /Gloucester Crossing/Business Express"
5072,798312,6,Blackburn Industrial Park,"/Blackburn Tripper, /Gloucester Crossing/Business Express, /School Trippers"
5072,798375,7,Millpond Medical Building,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798299,8,Addison Gilbert Hospital,"/Blackburn Tripper, /Gloucester Crossing/Business Express, /Lanesville, /School Trippers, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5072,798381,9,Poplar Park,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798372,10,Sheedy Park,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798353,11,Commuter Rail Station - Gloucester ,"/Beverly Commuter, /Blackburn Tripper, /Gloucester Crossing/Business Express, /Lanesville, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5072,798374,12,McPherson Park,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798382,13,Post Office - City Hall,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798323,14,Curtis - Clark Building,"/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798390,15,Senior Center - Dunkin' Donuts,"/Gloucester Crossing/Business Express, Tripper/Back Shore, Rocky Neck to GHS"
5073,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5073,798369,2,Main St & Pleasant St,"/Blackburn Tripper, /Cruiseship Trolley, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, /Thatcher Road, Tripper/Magnolia to GHS, /West Gloucester"
5073,798364,3,Lincoln Park,/Gloucester Crossing/Business Express
