route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
18720,c_21058_b_28942_d_31,t_1321075_b_28942_tn_0,,Beverly Train Station,0,163582,p_915037,,,,,,,,,,,,
18720,c_21058_b_28942_d_31,t_1321074_b_28942_tn_0,,Rockport Train Station,1,1296492,p_915038,,,,,,,,,,,,
18741,c_21045_b_78056_d_31,t_1326295_b_78056_tn_0,,,0,20877,p_915185,,,,,,,,,,,,
18741,c_21045_b_78056_d_31,t_1326294_b_78056_tn_0,,,1,163582,p_915186,,,,,,,,,,,,
18741,c_21045_b_78057_d_31,t_1326295_b_78057_tn_0,,,0,20877,p_915185,,,,,,,,,,,,
18741,c_21045_b_78057_d_31,t_1326294_b_78057_tn_0,,,1,163582,p_915186,,,,,,,,,,,,
18741,c_21045_b_78058_d_31,t_1326295_b_78058_tn_0,,,0,20877,p_915185,,,,,,,,,,,,
18741,c_21045_b_78058_d_31,t_1326294_b_78058_tn_0,,,1,163582,p_915186,,,,,,,,,,,,
18741,c_21045_b_78059_d_31,t_1326295_b_78059_tn_0,,,0,20877,p_915185,,,,,,,,,,,,
18741,c_21045_b_78059_d_31,t_1326294_b_78059_tn_0,,,1,163582,p_915186,,,,,,,,,,,,
18742,c_21045_b_78056_d_31,t_1326301_b_78056_tn_0,,,0,5878,p_915187,,,,,,,,,,,,
18742,c_21045_b_78056_d_31,t_5369584_b_78056_tn_0,,,1,163585,p_915189,,,,,,,,,,,,
18742,c_21045_b_78057_d_31,t_1326301_b_78057_tn_0,,,0,5878,p_915187,,,,,,,,,,,,
18742,c_21045_b_78057_d_31,t_5369584_b_78057_tn_0,,,1,163585,p_915189,,,,,,,,,,,,
18742,c_21045_b_78058_d_31,t_1326301_b_78058_tn_0,,,0,5878,p_915187,,,,,,,,,,,,
18742,c_21045_b_78058_d_31,t_5369584_b_78058_tn_0,,,1,163585,p_915189,,,,,,,,,,,,
18742,c_21045_b_78059_d_31,t_1326301_b_78059_tn_0,,,0,5878,p_915187,,,,,,,,,,,,
18742,c_21045_b_78059_d_31,t_5369584_b_78059_tn_0,,,1,163585,p_915189,,,,,,,,,,,,
18743,c_21045_b_78056_d_31,t_1326320_b_78056_tn_0,,,0,5883,p_915191,,,,,,,,,,,,
18743,c_21045_b_78056_d_31,t_1326321_b_78056_tn_0,,,1,20877,p_915193,,,,,,,,,,,,
18743,c_21045_b_78057_d_31,t_1326320_b_78057_tn_0,,,0,5883,p_915191,,,,,,,,,,,,
18743,c_21045_b_78057_d_31,t_1326321_b_78057_tn_0,,,1,20877,p_915193,,,,,,,,,,,,
18743,c_21045_b_78058_d_31,t_1326320_b_78058_tn_0,,,0,5883,p_915191,,,,,,,,,,,,
18743,c_21045_b_78058_d_31,t_1326321_b_78058_tn_0,,,1,20877,p_915193,,,,,,,,,,,,
18743,c_21045_b_78059_d_31,t_1326320_b_78059_tn_0,,,0,5883,p_915191,,,,,,,,,,,,
18743,c_21045_b_78059_d_31,t_1326321_b_78059_tn_0,,,1,20877,p_915193,,,,,,,,,,,,
18744,c_21045_b_78056_d_31,t_1326323_b_78056_tn_0,,Gloucester via Thatcher Rd,0,5876,p_915194,,,,,,,,,,,,
18744,c_21045_b_78056_d_31,t_1326322_b_78056_tn_0,,Rocky Neck,1,5876,p_915192,,,,,,,,,,,,
18744,c_21045_b_78057_d_31,t_1326323_b_78057_tn_0,,Gloucester via Thatcher Rd,0,5876,p_915194,,,,,,,,,,,,
18744,c_21045_b_78057_d_31,t_1326322_b_78057_tn_0,,Rocky Neck,1,5876,p_915192,,,,,,,,,,,,
18744,c_21045_b_78058_d_31,t_1326323_b_78058_tn_0,,Gloucester via Thatcher Rd,0,5876,p_915194,,,,,,,,,,,,
18744,c_21045_b_78058_d_31,t_1326322_b_78058_tn_0,,Rocky Neck,1,5876,p_915192,,,,,,,,,,,,
