agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
61,710,1,South 3rd Street,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,ff0000,ffffff,0,60,0,1,1,,
61,711,2,Brookswood,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,51a992,ffffff,1,45,0,1,1,,
61,290,22,Redmond/Madras,,3,http://www.cascadeseasttransit.com/22.html,86b646,ffffff,10,,0,1,1,,
61,292,24,Redmond / Bend,,3,http://www.cascadeseasttransit.com/24.html,426caf,ffffff,11,,0,1,1,,
61,74484,25,Crooked River Ranch/Redmond,,3,,c85a43,000000,12,,0,1,1,,
61,291,26,Redmond/Prineville,,3,http://www.cascadeseasttransit.com/26.html,ff0000,ffffff,13,,0,1,1,,
61,382,28,Sisters/Redmond,,3,http://www.cascadeseasttransit.com/28.html,8a4a95,ffffff,14,,0,1,1,,
61,5917,29,Sister/Bend,,3,,ff69b4,ffffff,15,,0,1,1,,
61,293,30,LaPine/Bend,,3,http://www.cascadeseasttransit.com/30.html,ea9e31,000000,16,,0,1,1,,
61,16444,31,LaPine/Sunriver,,3,,00befd,000000,17,,0,1,1,,
61,4695,19,Lava Butte,,3,,00befd,000000,18,,0,1,1,,
61,740,17,Ride The River,,3,http://cascadeseasttransit.com/ride-the-river/,00befd,000000,19,,0,1,1,,
61,712,3,Newport ,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,0033cc,ffffff,2,60,0,1,1,,
61,713,4,North 3rd Street,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,6633ff,ffffff,3,45,0,1,1,,
61,714,5,Wells Acres/Reed Market,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,e78b39,ffffff,4,45,0,1,1,,
61,715,6,Reed Market/Wells Acres,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,990099,ffffff,5,45,0,1,1,,
61,3136,7,Greenwood,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,00542b,ffffff,6,60,0,1,1,,
61,716,11,Galveston/14th,,3,https://cascadeseasttransit.com/routes-schedules/all-cities/bend/,3699c8,ffffff,7,60,0,1,1,,
61,739,18,Mountain Service,,3,https://cascadeseasttransit.com/ride/mt-bachelor-winter/,0099ff,000000,8,,0,1,1,,
61,3225,20,Warm Springs/Madras,,3,http://cascadeseasttransit.com/routes-schedules/warm-springs-madras-route-20/,ffc000,000000,9,,0,1,1,,
