runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_301_b_78416_d_127,18-1,1,1,t_5418136_b_78416_tn_0,759429,t_5418139_b_78416_tn_0,2456762
1000000,c_67338_b_55333_d_31,24/26P,10,1,t_5424155_b_55333_tn_0,16173,t_3634339_b_55333_tn_0,16173
1100000,c_67338_b_55333_d_31,25,11,1,t_5369824_b_55333_tn_0,4149237,t_5369826_b_55333_tn_0,4149234
1200000,c_67338_b_55333_d_31,26/24,12,1,t_3634355_b_55333_tn_0,16173,t_3634340_b_55333_tn_0,16173
1300000,c_67338_b_55333_d_31,26/24/22,13,1,t_3634348_b_55333_tn_0,16173,t_3634371_b_55333_tn_0,16173
1400000,c_67338_b_55333_d_31,28A,14,1,t_3634356_b_55333_tn_0,16173,t_3634330_b_55333_tn_0,16173
1500000,c_67338_b_55333_d_31,28P,15,1,t_3634329_b_55333_tn_0,16173,t_3634331_b_55333_tn_0,16173
1600000,c_67338_b_55333_d_31,29A,16,1,t_3634357_b_55333_tn_0,2456763,t_3634359_b_55333_tn_0,2456763
1700000,c_67338_b_55333_d_31,29P,17,1,t_3634364_b_55333_tn_0,2456763,t_3634361_b_55333_tn_0,2456763
1800000,c_67338_b_55333_d_31,30A,18,1,t_5369829_b_55333_tn_0,2328349,t_5369833_b_55333_tn_0,2456762
1900000,c_67338_b_55333_d_31,30P,19,1,t_5369831_b_55333_tn_0,2328349,t_5369835_b_55333_tn_0,2328349
200000,c_301_b_78416_d_127,18-2,2,1,t_5418153_b_78416_tn_0,2456762,t_5418151_b_78416_tn_0,2456762
2000000,c_67338_b_55333_d_31,4,20,1,t_5391123_b_55333_tn_1,2456765,t_5391120_b_55333_tn_8,2456765
2100000,c_67338_b_55333_d_31,5,21,1,t_5391126_b_55333_tn_1,2456765,t_5391129_b_55333_tn_7,2456765
2200000,c_67338_b_55333_d_31,6,22,1,t_5391132_b_55333_tn_1,2456761,t_5391135_b_55333_tn_6,2456761
2300000,c_67338_b_55333_d_31,7/11,23,1,t_5306704_b_55333_tn_1,2456762,t_5306828_b_55333_tn_0,2456761
2400000,c_67338_b_55333_d_31,BreakBus,24,1,t_5391107_b_55333_tn_0,2456761,t_5391137_b_55333_tn_0,2456765
2500000,c_67338_b_55333_d_32,1/6,25,1,t_5404456_b_55333_tn_1,2456761,t_5404429_b_55333_tn_7,2456761
2600000,c_67338_b_55333_d_32,2/4,26,1,t_5404432_b_55333_tn_1,2456761,t_5404447_b_55333_tn_6,2456765
2700000,c_67338_b_55333_d_32,3/5,27,1,t_5404450_b_55333_tn_1,2456765,t_5404441_b_55333_tn_4,2456765
2800000,c_67338_b_55333_d_32,7/11,28,1,t_5404468_b_55333_tn_1,2456762,t_5404464_b_55333_tn_3,2456761
2900000,c_67338_b_55333_d_32,BreakBus,29,1,t_5404424_b_55333_tn_0,2456761,t_5404461_b_55333_tn_0,2456761
300000,c_301_b_78416_d_127,18-3,3,1,t_5418146_b_78416_tn_0,759429,t_5418148_b_78416_tn_0,2456762
3000000,c_69055_b_79780_d_112,18-4,30,1,t_5501036_b_79780_tn_0,759429,t_5501041_b_79780_tn_0,2456762
3100000,c_69055_b_79780_d_112,18-5,31,1,t_5501042_b_79780_tn_0,2456762,t_5501045_b_79780_tn_0,2456762
3200000,c_69055_b_79780_d_112,18-6,32,1,t_5501047_b_79780_tn_0,759429,t_5501052_b_79780_tn_0,2456762
3300000,c_69055_b_79780_d_112,18-7,33,1,t_5501053_b_79780_tn_0,759429,t_5501058_b_79780_tn_0,2456762
3400000,c_69055_b_79780_d_15,18-1,34,1,t_5495504_b_79780_tn_0,759429,t_5495507_b_79780_tn_0,2456762
3500000,c_69055_b_79780_d_15,18-2,35,1,t_5495521_b_79780_tn_0,2456762,t_5495519_b_79780_tn_0,2456762
3600000,c_69055_b_79780_d_15,18-3,36,1,t_5495514_b_79780_tn_0,759429,t_5495516_b_79780_tn_0,2456762
400000,c_67338_b_55333_d_31,1/3,4,1,t_5382309_b_55333_tn_1,2456761,t_5306783_b_55333_tn_0,2456765
500000,c_67338_b_55333_d_31,2,5,1,t_5391115_b_55333_tn_1,2456761,t_5391117_b_55333_tn_9,2456761
600000,c_67338_b_55333_d_31,20,6,1,t_3634381_b_55333_tn_0,807419,t_3634383_b_55333_tn_0,807419
700000,c_67338_b_55333_d_31,22/26,7,1,t_3634327_b_55333_tn_0,16173,t_3634352_b_55333_tn_0,16173
800000,c_67338_b_55333_d_31,22A,8,1,t_3634374_b_55333_tn_0,16173,t_3634375_b_55333_tn_0,16173
900000,c_67338_b_55333_d_31,24/26A,9,1,t_3634337_b_55333_tn_0,16173,t_3634336_b_55333_tn_0,16173
