stop_id,stop_city
759429,Bend
20968,Bend
20900,Bend
20956,Bend
807437,Warm Springs
805191,Bend
20903,Bend
805234,Bend
812004,Cloverdale
805236,Bend
21024,Bend
20958,Bend
3478079,Bend
805247,Bend
20909,Bend
20922,Bend
21039,Bend
805235,Bend
20849,Bend
2328340,Bend
20868,Bend
2319859,Bend
21034,Bend
21028,Bend
20995,Bend
805229,Bend
21002,Bend
21013,Bend
2755042,Warm Springs
805276,Bend
20885,Bend
10083,Metolius
2320168,Warm Springs
20855,Bend
807428,Warm Springs
805200,Bend
2456763,Bend
20935,Bend
2322317,Bend
2328342,Prineville
20853,Bend
20948,Bend
2328339,Culver
20954,Bend
20877,Bend
21016,Bend
20889,Bend
2578026,Redmond
2319857,Bend
20971,Bend
20859,Bend
2328348,Sisters
20864,Bend
20854,Bend
21006,Bend
20929,Bend
807434,Warm Springs
805202,Bend
807436,Madras
807417,Madras
21017,Bend
20947,Bend
20992,Bend
20920,Bend
2371072,Bend
20990,Bend
20989,Bend
20907,Bend
2505488,Madras
20973,Bend
20976,Bend
805227,Bend
807424,Warm Springs
21014,Bend
21011,Bend
10089,La Pine
805250,Bend
20970,Bend
807415,Madras
20936,Bend
805171,Bend
20887,Bend
20952,Bend
805220,Bend
805204,Bend
21012,Bend
20912,Bend
20951,Bend
20946,Bend
20899,Bend
2319858,Bend
21023,Bend
20910,Bend
20940,Bend
805209,Bend
20996,Bend
805207,Bend
2319860,Bend
805237,Bend
20960,Bend
20959,Bend
20942,Bend
12141,Terrebonne
805218,Bend
21037,Bend
20977,Bend
10084,Madras
20987,Bend
20975,Bend
2456762,Bend
20978,Bend
20923,Bend
20957,Bend
20966,Bend
21015,Bend
20943,Bend
21036,Bend
805166,Bend
805215,Bend
2322318,Bend
20908,Bend
21025,Bend
20872,Bend
21010,Bend
20926,Bend
805232,Bend
20964,Bend
21009,Bend
805208,Bend
2322319,Bend
21008,Bend
20878,Bend
20917,Bend
805243,Bend
2618093,Sunriver
20961,Bend
20873,Bend
12486,Prineville
21001,Bend
20870,Bend
20858,Bend
20902,Bend
807416,Madras
20933,Bend
10088,Sisters
3878775,La Pine
20865,Bend
20967,Bend
21019,Bend
20888,Bend
20919,Bend
20944,Bend
805228,Bend
20921,Bend
805241,Bend
807430,Warm Springs
20901,Bend
21031,Bend
2323042,Bend
21018,Bend
807419,Madras
2319861,Bend
20937,Bend
805213,Bend
26736,Warm Springs
2322321,Bend
805217,Bend
20997,Bend
20979,Bend
807418,Madras
820721,Bend
20896,Bend
20974,Bend
20886,Bend
805246,Bend
2734673,Bend
2328349,La Pine
20991,Bend
20863,Bend
2610360,Sunriver
807427,Warm Springs
16173,Redmond
805242,Bend
2610363,La Pine
10086,Prineville
20994,Bend
2456765,Bend
20969,Bend
20972,Bend
805223,Bend
20861,Bend
20897,Bend
20857,Bend
20934,Bend
20890,Bend
2320170,Warm Springs
805225,Bend
820720,Bend
20911,Bend
20950,Bend
805244,Bend
21004,Bend
12138,Sisters
21007,Bend
21035,Bend
20851,Bend
20927,Bend
20938,Bend
20856,Bend
20930,Bend
21000,Bend
20932,Bend
20993,Bend
20876,Bend
20904,Bend
20963,Bend
4149240,Redmond
805219,Bend
20988,Bend
20913,Bend
20962,Bend
20999,Bend
20924,Bend
805252,Bend
2751825,Bend
759384,Madras
805240,Bend
20867,Bend
2740455,La Pine
807420,Madras
20898,Bend
20918,Bend
807423,Madras
20860,Bend
2328341,Bend
2328343,Prineville
805197,Bend
2740454,Sunriver
20906,Bend
2328347,Sisters
20915,Bend
20866,Bend
805210,Bend
805212,Bend
2662964,Bend
805255,Bend
20998,Bend
2456764,Bend
20916,Bend
805170,Bend
20945,Bend
2320167,Warm Springs
805248,Bend
20928,Bend
805224,Bend
20905,Bend
20949,Bend
805230,Bend
805239,Bend
21027,Bend
805167,Bend
20914,Bend
807438,Warm Springs
20931,Bend
21003,Bend
20986,Bend
2322320,Bend
2320172,Madras
20895,Bend
805206,Bend
2662962,Warm Springs
805199,Bend
20862,Bend
3460637,Bend
20941,Bend
21033,Bend
805211,Bend
805214,Bend
20939,Bend
805245,Bend
20955,Bend
2320171,Warm Springs
4149239,Redmond
805205,Bend
20874,Bend
805203,Bend
21029,Bend
20850,Bend
20875,Bend
20925,Bend
2456761,Bend
