trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_3634327_b_55333_tn_0,14:30:00,14:30:00,16173,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634327_b_55333_tn_0,14:39:00,14:39:00,12141,2,,0,0,10837.8667996328,1,,,,,1,1,,,,,,,,,,,
t_3634327_b_55333_tn_0,14:56:00,14:56:00,2328339,3,,0,0,30928.924206343,1,,,,,1,1,,,,,,,,,,,
t_3634327_b_55333_tn_0,15:04:00,15:04:00,10083,4,,0,0,38874.5036710245,1,,,,,1,1,,,,,,,,,,,
t_3634327_b_55333_tn_0,15:11:00,15:11:00,10084,5,,0,0,45819.89923912,1,,,,,1,1,,,,,,,,,,,
t_3634328_b_55333_tn_0,07:23:00,07:23:00,16173,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634328_b_55333_tn_0,07:43:00,07:43:00,812004,2,,0,0,23817.8140940778,1,,,,,1,1,,,,,,,,,,,
t_3634328_b_55333_tn_0,07:50:00,07:50:00,2328347,3,,0,0,31625.5790378116,1,,,,,1,1,,,,,,,,,,,
t_3634328_b_55333_tn_0,07:52:00,07:52:00,2328348,4,,0,0,32286.767221309,1,,,,,1,1,,,,,,,,,,,
t_3634328_b_55333_tn_0,07:55:00,07:55:00,12138,5,,0,0,33678.88154567,1,,,,,1,1,,,,,,,,,,,
t_3634329_b_55333_tn_0,14:40:00,14:40:00,16173,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634329_b_55333_tn_0,15:00:00,15:00:00,812004,2,,0,0,23817.8140940778,1,,,,,1,1,,,,,,,,,,,
t_3634329_b_55333_tn_0,15:07:00,15:07:00,2328347,3,,0,0,31625.5790378116,1,,,,,1,1,,,,,,,,,,,
t_3634329_b_55333_tn_0,15:09:00,15:09:00,2328348,4,,0,0,32286.767221309,1,,,,,1,1,,,,,,,,,,,
t_3634329_b_55333_tn_0,15:12:00,15:12:00,12138,5,,0,0,33678.88154567,1,,,,,1,1,,,,,,,,,,,
t_3634330_b_55333_tn_0,07:55:00,07:55:00,12138,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634330_b_55333_tn_0,08:06:00,08:06:00,812004,2,,0,0,9463.18823411637,1,,,,,1,1,,,,,,,,,,,
t_3634330_b_55333_tn_0,08:26:00,08:26:00,16173,3,,0,0,33253.02494241,1,,,,,1,1,,,,,,,,,,,
t_3634331_b_55333_tn_0,15:12:00,15:12:00,12138,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634331_b_55333_tn_0,15:23:00,15:23:00,812004,2,,0,0,9463.18823411637,1,,,,,1,1,,,,,,,,,,,
t_3634331_b_55333_tn_0,15:43:00,15:43:00,16173,3,,0,0,33253.02494241,1,,,,,1,1,,,,,,,,,,,
t_3634332_b_55333_tn_0,17:05:00,17:05:00,2456764,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634332_b_55333_tn_0,17:12:00,17:12:00,2328341,2,,0,0,6226.33985282238,1,,,,,1,1,,,,,,,,,,,
t_3634332_b_55333_tn_0,17:40:00,17:40:00,16173,3,,0,0,27378.37867845,1,,,,,1,1,,,,,,,,,,,
t_3634333_b_55333_tn_0,13:05:00,13:05:00,2456764,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634333_b_55333_tn_0,13:12:00,13:12:00,2328341,2,,0,0,6226.33985282238,1,,,,,1,1,,,,,,,,,,,
t_3634333_b_55333_tn_0,13:40:00,13:40:00,16173,3,,0,0,27378.37867845,1,,,,,1,1,,,,,,,,,,,
t_3634334_b_55333_tn_0,06:37:00,06:37:00,2456764,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634334_b_55333_tn_0,06:44:00,06:44:00,2328341,2,,0,0,6226.33985282238,1,,,,,1,1,,,,,,,,,,,
t_3634334_b_55333_tn_0,07:12:00,07:12:00,16173,3,,0,0,27378.37867845,1,,,,,1,1,,,,,,,,,,,
t_3634335_b_55333_tn_0,17:50:00,17:50:00,16173,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634335_b_55333_tn_0,18:12:00,18:12:00,2328340,2,,0,0,21122.1805149142,1,,,,,1,1,,,,,,,,,,,
t_3634335_b_55333_tn_0,18:22:00,18:22:00,2456764,3,,0,0,27495.25961818,1,,,,,1,1,,,,,,,,,,,
t_3634336_b_55333_tn_0,11:03:00,11:03:00,2456764,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_3634336_b_55333_tn_0,11:10:00,11:10:00,2328341,2,,0,0,6226.33985282238,1,,,,,1,1,,,,,,,,,,,
