stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
10083,2204,,6th Street @ Adams Avenue (S),,44.5868,-121.177416,953,,0,,America/Los_Angeles,,,0,
10084,2015,,3rd Street @ Madras DMV (E),,44.632028,-121.131955,953,,0,,America/Los_Angeles,,,0,
10086,2601,,Highway 126 @ Powell Butte Church (S),,44.24655062606,-121.01906293302,953,,0,,America/Los_Angeles,,,0,
10088,,,Sisters Park & Ride,,44.289629,-121.544237,953,,0,,America/Los_Angeles,,,0,
10089,3002,,Burgess Road @ Wickiup Junction (E),,43.703314,-121.477544,953,,0,,America/Los_Angeles,,,0,
12138,2903,,Arrowleaf Trail @ Ray's Food Place (S),,44.297472691746,-121.56247363064,953,,0,,America/Los_Angeles,,,0,
12141,2201,,11th Street @ Oliver Lemon's (W),,44.3533776200623,-121.177822690087,953,,0,,America/Los_Angeles,,,0,
12486,2603,,4th Street @ Stryker Park (N),,44.303846,-120.842453,953,,0,,America/Los_Angeles,,,0,
16173,1,,Redmond Transit Center,,44.266517,-121.176721,953,,0,,America/Los_Angeles,,,0,
20849,201,,Franklin Avenue @ 2nd Street (N),,44.056026,-121.304611,952,,0,,America/Los_Angeles,,,0,
20850,202,,Franklin Avenue @ Lava Road (N),,44.056534,-121.311661,952,,0,,America/Los_Angeles,,,0,
20851,203,,Wall Street @ Downtown Library (W),,44.056946,-121.31646,952,,0,,America/Los_Angeles,,,0,
20853,208,,Bond Street @ Scalehouse Loop (W),,44.04718,-121.309853,952,,0,,America/Los_Angeles,,,0,
20854,209,,Bond Street @ Old Mill (W),,44.043003,-121.314011,952,,0,,America/Los_Angeles,,,0,
20855,210,,Bond Street @ Reed Market Road (W),,44.040997,-121.316231,952,,0,,America/Los_Angeles,,,0,
20856,211,,Brookswood Boulevard @ McClellan Road (W),,44.037113,-121.317749,952,,0,,America/Los_Angeles,,,0,
20857,212,,Brookswood Boulevard @ Rock Bluff Lane (W),,44.031658,-121.32093,952,,0,,America/Los_Angeles,,,0,
20858,213,,Brookswood Boulevard @ Powers Road (W),,44.0291244844027,-121.321353572774,952,,0,,America/Los_Angeles,,,0,
20859,214,,Brookswood Boulevard @ Copper Canyon Way (W),,44.024853,-121.324593,952,,0,,America/Los_Angeles,,,0,
20860,220,,Brookswood Boulevard @ Powers Road (E),,44.028183,-121.321335,952,,0,,America/Los_Angeles,,,0,
20861,221,,Brookswood Boulevard @ Rock Bluff Lane (E),,44.032085,-121.320724,952,,0,,America/Los_Angeles,,,0,
20862,222,,Brookswood Boulevard @ Hillwood Court (E),,44.037647,-121.317482,952,,0,,America/Los_Angeles,,,0,
20863,223,,Brookswood Boulevard @ Reed Market Road (E),,44.039993,-121.317146,952,,0,,America/Los_Angeles,,,0,
20864,224,,Bond Street @ Powerhouse Drive (E),,44.042915,-121.313873,952,,0,,America/Los_Angeles,,,0,
20865,225,,Bond Street @ Scalehouse Loop (E),,44.047241,-121.309738,952,,0,,America/Los_Angeles,,,0,
20866,227,,Bond Street @ Industrial Way (E),,44.050388,-121.314529,952,,0,,America/Los_Angeles,,,0,
20867,228,,Bond Street @ Colorado Avenue (E),,44.052242,-121.316406,952,,0,,America/Los_Angeles,,,0,
20868,229,,Bond Street @ Kansas Avenue (E),,44.055893,-121.315628,952,,0,,America/Los_Angeles,,,0,
20870,1103,,Franklin Avenue @ Broadway Street (N),,44.058758,-121.316216,952,,0,,America/Los_Angeles,,,0,
20872,1105,,Riverside Boulevard @ Tumalo Avenue (W),,44.057453,-121.322784,952,,0,,America/Los_Angeles,,,0,
20873,1106,,Galveston Avenue @ Federal Street (N),,44.05669,-121.327621,952,,0,,America/Los_Angeles,,,0,
20874,1107,,Galveston Avenue @ 13th Street (S),,44.056686,-121.330292,952,,0,,America/Los_Angeles,,,0,
20875,1118,,Galveston Avenue @ 13th Street (N),,44.056568,-121.330391,952,,0,,America/Los_Angeles,,,0,
