route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
290,c_67338_b_55333_d_31,t_3634377_b_55333_tn_0,,Redmond,0,22/26,p_31,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634376_b_55333_tn_0,,Redmond,0,22A,p_30,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634372_b_55333_tn_0,,Redmond,0,22/26,p_31,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634375_b_55333_tn_0,,Redmond,0,22A,p_30,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634371_b_55333_tn_0,,Redmond,0,26/24/22,p_31,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634380_b_55333_tn_0,,Madras,1,26/24/22,p_746,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634327_b_55333_tn_0,,Madras,1,22/26,p_746,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634373_b_55333_tn_0,,Madras,1,22A,p_748,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634374_b_55333_tn_0,,Madras,1,22A,p_747,,,,,,,,,,,,
290,c_67338_b_55333_d_31,t_3634379_b_55333_tn_0,,Madras,1,22/26,p_746,,,,,,,,,,,,
291,c_67338_b_55333_d_31,t_3634353_b_55333_tn_0,,Prineville,0,22/26,p_750,,,,,,,,,,,,
291,c_67338_b_55333_d_31,t_3634355_b_55333_tn_0,,Prineville,0,26/24,p_750,,,,,,,,,,,,
291,c_67338_b_55333_d_31,t_3634362_b_55333_tn_0,,Prineville,0,24/26P,p_745,,,,,,,,,,,,
291,c_67338_b_55333_d_31,t_3634367_b_55333_tn_0,,Prineville,0,26/24/22,p_745,,,,,,,,,,,,
291,c_67338_b_55333_d_31,t_3634351_b_55333_tn_0,,Prineville,0,24/26A,p_750,,,,,,,,,,,,
