runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_18146_b_77557_d_27,1105,1,1,t_898197_b_77557_tn_0,815405,t_898197_b_77557_tn_0,2562322
1000000,c_18146_b_77557_d_31,109,10,1,t_2081606_b_77557_tn_0,2562331,t_2081608_b_77557_tn_0,2562322
10000000,c_20305_b_27086_d_31,17,100,1,t_1229728_b_27086_tn_0,806363,t_1229728_b_27086_tn_0,806366
10100000,c_20305_b_27086_d_32,110-S,101,1,t_1229719_b_27086_tn_0,806390,t_1229721_b_27086_tn_0,806389
10200000,c_67220_b_77372_d_2,8302,102,1,t_5280728_b_77372_tn_0,806302,t_5280736_b_77372_tn_0,2615617
10300000,c_67220_b_77372_d_31,8001,103,1,t_5280827_b_77372_tn_0,2574444,t_5420816_b_77372_tn_0,2574444
10400000,c_67220_b_77372_d_31,8002,104,1,t_5280841_b_77372_tn_0,2574444,t_5280714_b_77372_tn_0,2574444
10500000,c_67220_b_77372_d_31,8101,105,1,t_5280792_b_77372_tn_0,806268,t_5280832_b_77372_tn_0,806270
10600000,c_67220_b_77372_d_31,8301,106,1,t_5280723_b_77372_tn_0,2574444,t_5280727_b_77372_tn_0,806020
10700000,c_67220_b_77372_d_31,8302,107,1,t_5280809_b_77372_tn_0,2574444,t_5280808_b_77372_tn_0,2574444
10800000,c_67220_b_77372_d_31,8605,108,1,t_5280849_b_77372_tn_0,2574444,t_5280855_b_77372_tn_0,2574444
10900000,c_67220_b_77372_d_31,8606,109,1,t_5280853_b_77372_tn_0,2574444,t_5280854_b_77372_tn_0,2574444
1100000,c_18146_b_77557_d_31,2101,11,1,t_898397_b_77557_tn_0,805734,t_898397_b_77557_tn_0,2562331
11000000,c_67220_b_77372_d_31,8607,110,1,t_5280850_b_77372_tn_0,2574444,t_5280846_b_77372_tn_0,2574444
11100000,c_67220_b_77372_d_31,8701,111,1,t_5280852_b_77372_tn_0,2574444,t_5280848_b_77372_tn_0,2574444
11200000,c_67220_b_77372_d_31,8902,112,1,t_5280819_b_77372_tn_0,2574444,t_5280825_b_77372_tn_0,2574444
11300000,c_67220_b_77372_d_31,9301,113,1,t_5280755_b_77372_tn_0,806049,t_5280758_b_77372_tn_0,2574444
11400000,c_67220_b_77372_d_31,9303,114,1,t_5280767_b_77372_tn_0,2574444,t_5280783_b_77372_tn_0,806049
11500000,c_67220_b_77372_d_32,8001,115,1,t_5280812_b_77372_tn_0,2574444,t_5420821_b_77372_tn_0,2574444
