stop_id,stop_city
806140,Essex Junction
806307,Montpelier
805521,South Burlington
806399,Saint Albans
806200,Montpelier
806470,Warren
2574445,Stowe
805929,Burlington
806169,Colchester
806166,Colchester
815404,Burlington
806257,Montpelier
805902,Williston
805486,Burlington
805749,Burlington
815412,Burlington
805974,Williston
2562336,Burlington
805988,Burlington
805543,Burlington
805764,Winooski
805568,Shelburne
806187,Saint Albans
806479,Waitsfield
805747,Burlington
806475,Waitsfield
805666,Burlington
4148001,Barre City
806432,Stowe
805515,South Burlington
806151,Winooski
2556011,Burlington
808990,Barre
806284,Waterbury
805716,Burlington
806504,Northfield
805532,Burlington
805812,Colchester
824588,Hinesburg
805655,Burlington
805485,Burlington
805878,Burlington
805761,Burlington
805729,Burlington
805728,Burlington
805942,Burlington
806218,Montpelier
806269,Montpelier
805811,Colchester
2324954,Springfield
811180,Burlington
805980,South Burlington
805848,Essex Junction
805589,South Burlington
805890,Shelburne
806042,Burlington
805578,Shelburne
806204,Waterbury
3461013,Stowe
806494,Waterbury
805816,Winooski
806139,Waterbury
2574472,Sugarbush Village
805537,Burlington
806152,Essex Junction
806086,Williston
805932,Burlington
805591,South Burlington
806062,South Burlington
805493,South Burlington
805530,South Burlington
806456,Waitsfield
806362,Fairfax
806236,Barre
806203,Waterbury
806380,Sheldon Springs
806412,Saint Albans
805484,Burlington
806492,Montpelier
805746,Burlington
806288,Waterbury
805681,Burlington
806300,Barre
805719,Burlington
805981,South Burlington
805564,Shelburne
2745400,Burlington
811192,Waterbury
805842,Essex Junction
805579,Shelburne
805780,Essex Junction
805925,Burlington
805969,Williston
805952,Burlington
806113,South Burlington
805795,Essex Junction
805717,Burlington
805672,Burlington
806012,Essex Junction
805497,South Burlington
806306,Barre
806472,Warren
806232,Barre
805622,Winooski
805552,South Burlington
805867,Burlington
2484315,Middlebury
805855,Essex Junction
805948,South Burlington
805805,Essex Junction
805629,Winooski
805886,Essex Junction
805531,Burlington
806464,Waitsfield
805528,South Burlington
2319672,Springfield
805702,Burlington
805799,Essex Junction
806009,Burlington
2484308,Middlebury
805562,Shelburne
2394604,Barre City
2556009,Essex
806497,Morrisville
806194,Saint Albans
805979,South Burlington
806372,Swanton
4160865,Williston
806221,Montpelier
805786,Essex Junction
806002,Burlington
2530430,Burlington
806327,Montpelier
805996,Williston
805787,Essex Junction
805947,South Burlington
805879,Burlington
2324953,Stowe
805738,Burlington
2574470,Sugarbush Village
805565,Shelburne
806089,Williston
805571,Shelburne
805584,Shelburne
805608,Burlington
2456440,South Burlington
806123,Milton
805503,South Burlington
805550,Burlington
805843,Essex Junction
805628,Winooski
805872,South Burlington
806311,Montpelier
806337,Plainfield
806248,Montpelier
806422,Stowe
806493,Waterbury
805887,Essex Junction
806312,Montpelier
805698,Burlington
806332,Montpelier
806379,Richford
805993,Burlington
805601,Burlington
3461018,Montpelier
2387294,Waterbury
806249,Montpelier
806096,Williston
805752,Burlington
806434,Stowe
806425,Stowe
806411,Saint Albans
2574429,Stowe
806313,Montpelier
806324,Montpelier
806303,Williamstown
805837,Essex Junction
806505,Northfield
806067,Winooski
2562345,Burlington
805720,Burlington
3461017,Barre City
806032,Williston
805852,Essex Junction
806335,East Montpelier
805538,Burlington
806048,Essex Junction
805960,South Burlington
805779,Essex Junction
806044,Williston
806003,Burlington
805736,South Burlington
806381,Richford
805963,Williston
806403,Saint Albans
806328,Montpelier
806105,Williston
805797,Essex Junction
805818,Winooski
805588,South Burlington
806065,Burlington
805648,Burlington
806485,Warren
806296,Barre
805940,Burlington
806219,Montpelier
805706,Burlington
806478,Waitsfield
805594,South Burlington
806209,Waterbury
2324955,Springfield
805686,Burlington
847926,Milton
806391,Saint Albans
805820,Burlington
805807,Colchester
805750,Burlington
806509,Northfield
806245,Montpelier
806080,South Burlington
805693,Burlington
806039,Burlington
806078,South Burlington
808206,Barre
849124,Springfield
805859,Essex Junction
2574436,Stowe
806088,Williston
806423,Stowe
805488,Burlington
814364,Burlington
2324951,Springfield
805618,Burlington
805592,South Burlington
812018,South Burlington
806274,Barre
806030,Burlington
805798,Essex Junction
808190,Shelburne
806375,Swanton
805857,Essex Junction
805958,Burlington
806102,Williston
806465,Warren
805572,Shelburne
806357,Northfield
805500,South Burlington
806136,Waterbury
805639,Burlington
806433,Stowe
806242,Barre
805829,Burlington
806336,Plainfield
805727,Burlington
806055,Vergennes
2574439,Stowe
806261,Montpelier
805551,South Burlington
806103,Williston
805722,Burlington
806046,Williston
806503,Stowe
805943,South Burlington
849467,Springfield
805817,Winooski
806361,Northfield
805995,Burlington
805604,Burlington
805791,Essex Junction
805501,South Burlington
806482,Warren
805619,Burlington
806050,Saint Albans
806131,South Burlington
806283,Barre
806360,Northfield
805908,Burlington
806073,Winooski
806197,Saint Albans
805664,Burlington
2574440,Stowe
805735,Burlington
806484,Warren
805844,Essex Junction
805991,Winooski
805609,Burlington
805907,Shelburne
805824,Burlington
