stop_id,stop_city
2751679,Happy Valley
2751625,Oregon City
2751687,Clackamas
2751656,Oregon City
2751606,Oregon City
2751685,Clackamas
2751649,Oregon City
2751686,Clackamas
2751682,Happy Valley
2751622,Oregon City
2751619,Oregon City
2751650,Oregon City
2751607,Oregon City
2751683,Clackamas
4149499,Clackamas
2751614,Oregon City
2751671,Clackamas
2751681,Happy Valley
2751647,Oregon City
2751654,Oregon City
2751688,Clackamas
2751637,Oregon City
2751623,Oregon City
2751641,Oregon City
2751611,Oregon City
2751638,Oregon City
2751640,Oregon City
2751639,Oregon City
2751660,Oregon City
2751674,Clackamas
2751672,Happy Valley
2751648,Oregon City
2751626,Oregon City
2751684,Clackamas
2751652,Oregon City
2751668,Harmony
2751609,Oregon City
2751693,Sunnyside
2751664,Oregon City
2751673,Clackamas
2751676,Happy Valley
2751677,Happy Valley
2751692,Clackamas
2751632,Oregon City
2751659,Oregon City
2751642,Oregon City
2751665,Oregon City
2751630,Oregon City
2751662,Oregon City
2751670,Clackamas
2751610,Oregon City
2751657,Oregon City
2751646,Oregon City
2751616,Oregon City
2751690,Happy Valley
2751612,Oregon City
2751678,Happy Valley
2751633,Oregon City
2751627,Oregon City
2751621,Oregon City
2751663,Oregon City
2751658,Oregon City
2751628,Oregon City
2751629,Oregon City
2751644,Oregon City
2751634,Oregon City
2751653,Oregon City
2751636,Oregon City
2751680,Clackamas
2751617,Oregon City
2751608,Oregon City
2751645,Oregon City
2751666,Oregon City
2751655,Oregon City
2751691,Clackamas
2751624,Oregon City
2751661,Oregon City
4147587,Oregon City
2751689,Clackamas
2751643,Oregon City
2751620,Oregon City
2751669,Sunnyside
2751675,Clackamas
2751635,Oregon City
4149531,Clackamas
2751613,Oregon City
2751667,Oregon City
2751827,Oregon City
2751631,Oregon City
2751615,Oregon City
2751618,Oregon City
2751829,Harmony
