trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5285108_b_77453_tn_1,04:50:00,04:50:00,2751668,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:55:00,04:55:00,2751669,2,,0,0,1772.70185190183,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:55:00,04:55:00,2751670,3,,0,0,2047.31034165429,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:56:00,04:56:00,4149499,4,,0,0,2576.72241527405,1,,,,,1,1,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:56:00,04:56:00,2751671,5,,0,0,2985.06779814514,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:58:00,04:58:00,2751673,6,,0,0,4466.00161768093,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,04:59:00,04:59:00,2751675,7,,0,0,4884.91140850067,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,05:01:00,05:01:00,2751676,8,,0,0,5775.21845089191,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,05:02:00,05:02:00,2751677,9,,0,0,6338.48706898424,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,05:03:00,05:03:00,2751678,10,,0,0,6937.36503120335,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,05:04:00,05:04:00,2751679,11,,0,0,7410.61917973054,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_1,05:05:00,05:05:00,2751680,12,,0,0,7822.65507811,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:50:00,05:50:00,2751668,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:55:00,05:55:00,2751669,2,,0,0,1772.70185190183,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:55:00,05:55:00,2751670,3,,0,0,2047.31034165429,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:56:00,05:56:00,4149499,4,,0,0,2576.72241527405,1,,,,,1,1,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:56:00,05:56:00,2751671,5,,0,0,2985.06779814514,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:58:00,05:58:00,2751673,6,,0,0,4466.00161768093,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,05:59:00,05:59:00,2751675,7,,0,0,4884.91140850067,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,06:01:00,06:01:00,2751676,8,,0,0,5775.21845089191,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,06:02:00,06:02:00,2751677,9,,0,0,6338.48706898424,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,06:03:00,06:03:00,2751678,10,,0,0,6937.36503120335,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,06:04:00,06:04:00,2751679,11,,0,0,7410.61917973054,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_2,06:05:00,06:05:00,2751680,12,,0,0,7822.65507811,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:50:00,06:50:00,2751668,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:55:00,06:55:00,2751669,2,,0,0,1772.70185190183,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:55:00,06:55:00,2751670,3,,0,0,2047.31034165429,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:56:00,06:56:00,4149499,4,,0,0,2576.72241527405,1,,,,,1,1,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:56:00,06:56:00,2751671,5,,0,0,2985.06779814514,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:58:00,06:58:00,2751673,6,,0,0,4466.00161768093,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,06:59:00,06:59:00,2751675,7,,0,0,4884.91140850067,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,07:01:00,07:01:00,2751676,8,,0,0,5775.21845089191,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,07:02:00,07:02:00,2751677,9,,0,0,6338.48706898424,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,07:03:00,07:03:00,2751678,10,,0,0,6937.36503120335,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,07:04:00,07:04:00,2751679,11,,0,0,7410.61917973054,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_3,07:05:00,07:05:00,2751680,12,,0,0,7822.65507811,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:50:00,07:50:00,2751668,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:55:00,07:55:00,2751669,2,,0,0,1772.70185190183,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:55:00,07:55:00,2751670,3,,0,0,2047.31034165429,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:56:00,07:56:00,4149499,4,,0,0,2576.72241527405,1,,,,,1,1,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:56:00,07:56:00,2751671,5,,0,0,2985.06779814514,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:58:00,07:58:00,2751673,6,,0,0,4466.00161768093,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,07:59:00,07:59:00,2751675,7,,0,0,4884.91140850067,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,08:01:00,08:01:00,2751676,8,,0,0,5775.21845089191,1,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,08:02:00,08:02:00,2751677,9,,0,0,6338.48706898424,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,08:03:00,08:03:00,2751678,10,,0,0,6937.36503120335,0,,,,,3,3,,,,,,,,,,,
t_5285108_b_77453_tn_4,08:04:00,08:04:00,2751679,11,,0,0,7410.61917973054,1,,,,,3,3,,,,,,,,,,,
