route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
19558,c_67263_b_77453_d_31,t_5285693_b_77453_tn_4,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285694_b_77453_tn_1,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285694_b_77453_tn_2,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285694_b_77453_tn_3,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285695_b_77453_tn_1,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285695_b_77453_tn_2,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285695_b_77453_tn_3,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285693_b_77453_tn_1,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285682_b_77453_tn_0,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285686_b_77453_tn_0,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285693_b_77453_tn_2,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285693_b_77453_tn_3,,Oregon City Shopping Center,0,163628,p_1425347,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285692_b_77453_tn_1,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285692_b_77453_tn_2,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285692_b_77453_tn_3,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285690_b_77453_tn_2,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285690_b_77453_tn_3,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285690_b_77453_tn_4,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285690_b_77453_tn_1,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285690_b_77453_tn_5,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285691_b_77453_tn_1,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285691_b_77453_tn_2,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285691_b_77453_tn_3,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19558,c_67263_b_77453_d_31,t_5285691_b_77453_tn_4,,Clackamas Community College Oregon City,1,163628,p_1425348,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_2,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_7,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_6,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_5,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_4,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_3,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285109_b_77453_tn_1,,Clackamas Town Center,0,163629,p_1277090,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285108_b_77453_tn_2,,Industrial Area,1,163629,p_1277089,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285108_b_77453_tn_1,,Industrial Area,1,163629,p_1277089,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285108_b_77453_tn_3,,Industrial Area,1,163629,p_1277089,,,,,,,,,,,,
19559,c_67263_b_77453_d_127,t_5285108_b_77453_tn_4,,Industrial Area,1,163629,p_1277089,,,,,,,,,,,,
