stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
5,"10976","NW 9th St & NW Maxine Ave",44.597464,-123.250176,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=5",,
6,"10995","NW 9th St & NW Sequoia Ave",44.590970,-123.253828,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=6",,
7,"11004","NW 9th St and Circle Blvd",44.588316,-123.255316,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=7",,
8,"11015","NW 9th St & NW Hobart Ave",44.586073,-123.256570,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=8",,
10,"10694","NW 9th St & NW Beca Ave",44.578507,-123.260741,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=10",,
11,"10706","NW 9th St & NW Buchanan Ave",44.574996,-123.262682,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=11",,
12,"10710","NW 9th St & NW Van Buren Ave",44.567685,-123.266518,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=12",,
13,"10723","SW 9th St & SW Madison Ave",44.565197,-123.267608,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=13",,
16,"10752","NW 9th St & NW Fremont Ave",44.571702,-123.264251,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=16",,
17,"10768","NW 9th St & NW Reiman St",44.573202,-123.263369,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=17",,
19,"10781","NW 9th St & NW Cornell Ave",44.576814,-123.261409,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=19",,
20,"10799","NW 9th St & NW Sequoia Ave",44.591552,-123.253230,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=20",,
21,"10809","NW 9th St & NW Walnut Blvd",44.593688,-123.252329,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=21",,
23,"10821","NW Walnut Blvd & NW Satinwood St",44.593986,-123.258341,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=23",,
27,"10845","NW Walnut Blvd & NW Professional Dr",44.592447,-123.277022,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=27",,
28,"10850","NW Walnut Blvd & NW 25th St",44.593183,-123.280419,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=28",,
29,"10660","NW Walnut Blvd & NW 29th St",44.593356,-123.285585,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=29",,
30,"10656","NW Walnut Blvd & Timberhill Townhouses",44.593248,-123.289959,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=30",,
31,"10641","NW Walnut Blvd & NW Aspen St",44.593246,-123.294856,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=31",,
32,"10639","NW Walnut Blvd & NW Princess St",44.593511,-123.299375,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=32",,
33,"10570","NW Walnut Blvd & NW Witham Hill Dr",44.593801,-123.301389,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=33",,
34,"10558","NW Walnut Blvd & NW Princess St",44.593306,-123.299204,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=34",,
35,"10625","NW Walnut Blvd & NW Walnut Pl",44.593101,-123.296064,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=35",,
36,"10618","NW Walnut Blvd & NW Aspen St",44.593091,-123.293597,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=36",,
37,"10602","NW Walnut Blvd & Timberhill Townhouses",44.593132,-123.289440,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=37",,
38,"10591","NW Walnut Blvd & Timberhill Townhouses",44.593192,-123.285541,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=38",,
39,"10543","NW Walnut Blvd & NW 29th St",44.593026,-123.282757,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=39",,
40,"10536","NW Walnut Blvd & NW 25th St",44.592548,-123.278259,"http://www.corvallistransit.com/RTT/Public/Transit.aspx?page=text&plt=40",,
