shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14279,47.699335281,-116.81581868,1
14279,47.700137945,-116.815855238,2
14279,47.700215156,-116.815753079,3
14279,47.700217066,-116.815489092,4
14279,47.700153366,-116.815419413,5
14279,47.69938759,-116.815420923,6
14279,47.699295141,-116.815442256,7
14279,47.699263495,-116.815436736,8
14279,47.69926,-116.81483,9
14279,47.69928301,-116.814530668,10
14279,47.69942,-116.8145,11
14279,47.70008,-116.81452,12
14279,47.70038,-116.81449,13
14279,47.70051,-116.81445,14
14279,47.70043,-116.81377,15
14279,47.70026,-116.81301,16
14279,47.69993,-116.81171,17
14279,47.69948,-116.81007,18
14279,47.69936,-116.80968,19
14279,47.699,-116.80879,20
14279,47.69884,-116.80849,21
14279,47.69868,-116.80825,22
14279,47.69826,-116.80777,23
14279,47.69755,-116.80718,24
14279,47.69746,-116.80708,25
14279,47.6974,-116.80698,26
14279,47.69736,-116.80682,27
14279,47.69734,-116.80601,28
14279,47.69738,-116.80395,29
14279,47.69735,-116.80271,30
14279,47.69731,-116.80241,31
14279,47.6972,-116.80188,32
14279,47.69704,-116.80136,33
14279,47.69691,-116.80105,34
14279,47.69621,-116.79961,35
14279,47.69608,-116.79927,36
14279,47.69598,-116.79895,37
14279,47.69588,-116.79851,38
14279,47.69582,-116.79801,39
14279,47.69579,-116.79765,40
14279,47.69579,-116.79681,41
14279,47.69576,-116.79654,42
14279,47.69572,-116.79642,43
14279,47.69565,-116.79629,44
14279,47.69554,-116.79618,45
14279,47.69544,-116.79613,46
14279,47.69534,-116.79611,47
14279,47.69475,-116.79612,48
14279,47.69457,-116.79606,49
14279,47.69447,-116.79598,50
14279,47.69439,-116.79586,51
14279,47.69432,-116.79573,52
14279,47.69428,-116.79559,53
14279,47.69415,-116.79535,54
14279,47.69259,-116.79536,55
14279,47.69258,-116.79194,56
14279,47.69258,-116.79173,57
14279,47.69182,-116.79174,58
14279,47.68895,-116.79182,59
14279,47.68879,-116.79186,60
14279,47.68817,-116.79178,61
14279,47.68799,-116.7918,62
14279,47.6861,-116.79182,63
14279,47.68289,-116.79182,64
14279,47.68288,-116.79358,65
14279,47.68279,-116.79396,66
14279,47.68248,-116.79463,67
14279,47.68236,-116.79478,68
14279,47.68224,-116.79489,69
14279,47.68184,-116.79518,70
14279,47.68158,-116.79532,71
14279,47.68064,-116.79537,72
14279,47.68039,-116.79536,73
14279,47.68015,-116.79537,74
14279,47.68006,-116.79535,75
14279,47.6799,-116.7953,76
14279,47.67977,-116.79522,77
14279,47.67952,-116.79488,78
14279,47.67939,-116.79477,79
14279,47.67925,-116.79469,80
14279,47.67905,-116.79469,81
14279,47.67901,-116.79323,82
14279,47.67902,-116.79303,83
14279,47.67905,-116.79287,84
14279,47.6791,-116.79272,85
14279,47.67925,-116.79245,86
14279,47.67955,-116.79211,87
14279,47.67989,-116.79151,88
