trip_id,arrival_time,departure_time,stop_id,stop_sequence
188795,06:00:00,06:00:00,38496,1
188795,06:02:00,06:02:00,38497,2
188795,06:03:00,06:03:00,38498,3
188795,06:04:00,06:04:00,38499,4
188795,06:07:00,06:07:00,38539,5
188795,06:08:00,06:08:00,38500,6
188795,06:10:00,06:10:00,38501,7
188795,06:11:00,06:11:00,38502,8
188795,06:12:00,06:12:00,38503,9
188795,06:15:00,06:15:00,38462,10
188795,06:16:00,06:16:00,38463,11
188795,06:17:00,06:17:00,38464,12
188795,06:23:00,06:23:00,38504,13
188795,06:25:00,06:25:00,38505,14
188795,06:26:00,06:26:00,38506,15
188795,06:28:00,06:28:00,38465,16
188795,06:29:00,06:29:00,38466,17
188795,06:32:00,06:32:00,38507,18
188795,06:33:00,06:33:00,38467,19
188795,06:34:00,06:34:00,38468,20
188795,06:36:00,06:36:00,38469,21
188795,06:38:00,06:38:00,38508,22
188795,06:39:00,06:39:00,38509,23
188795,06:41:00,06:41:00,38510,24
188795,06:43:00,06:43:00,38511,25
188795,06:46:00,06:46:00,38485,26
188795,06:50:00,06:50:00,38496,27
188796,07:00:00,07:00:00,38496,1
188796,07:02:00,07:02:00,38497,2
188796,07:03:00,07:03:00,38498,3
188796,07:04:00,07:04:00,38499,4
188796,07:07:00,07:07:00,38539,5
188796,07:08:00,07:08:00,38500,6
188796,07:10:00,07:10:00,38501,7
188796,07:11:00,07:11:00,38502,8
188796,07:12:00,07:12:00,38503,9
188796,07:15:00,07:15:00,38462,10
188796,07:16:00,07:16:00,38463,11
188796,07:17:00,07:17:00,38464,12
188796,07:23:00,07:23:00,38504,13
188796,07:25:00,07:25:00,38505,14
188796,07:26:00,07:26:00,38506,15
188796,07:28:00,07:28:00,38465,16
188796,07:29:00,07:29:00,38466,17
188796,07:32:00,07:32:00,38507,18
188796,07:33:00,07:33:00,38467,19
188796,07:34:00,07:34:00,38468,20
188796,07:36:00,07:36:00,38469,21
188796,07:38:00,07:38:00,38508,22
188796,07:39:00,07:39:00,38509,23
188796,07:41:00,07:41:00,38510,24
188796,07:43:00,07:43:00,38511,25
188796,07:46:00,07:46:00,38485,26
188796,07:50:00,07:50:00,38496,27
188797,08:00:00,08:00:00,38496,1
188797,08:02:00,08:02:00,38497,2
188797,08:03:00,08:03:00,38498,3
188797,08:04:00,08:04:00,38499,4
188797,08:07:00,08:07:00,38539,5
188797,08:08:00,08:08:00,38500,6
188797,08:10:00,08:10:00,38501,7
188797,08:11:00,08:11:00,38502,8
188797,08:12:00,08:12:00,38503,9
188797,08:15:00,08:15:00,38462,10
188797,08:16:00,08:16:00,38463,11
188797,08:17:00,08:17:00,38464,12
188797,08:23:00,08:23:00,38504,13
188797,08:25:00,08:25:00,38505,14
188797,08:26:00,08:26:00,38506,15
188797,08:28:00,08:28:00,38465,16
188797,08:29:00,08:29:00,38466,17
188797,08:32:00,08:32:00,38507,18
188797,08:33:00,08:33:00,38467,19
188797,08:34:00,08:34:00,38468,20
188797,08:36:00,08:36:00,38469,21
188797,08:38:00,08:38:00,38508,22
188797,08:39:00,08:39:00,38509,23
188797,08:41:00,08:41:00,38510,24
188797,08:43:00,08:43:00,38511,25
188797,08:46:00,08:46:00,38485,26
188797,08:50:00,08:50:00,38496,27
188798,09:00:00,09:00:00,38496,1
188798,09:02:00,09:02:00,38497,2
188798,09:03:00,09:03:00,38498,3
188798,09:04:00,09:04:00,38499,4
188798,09:07:00,09:07:00,38539,5
188798,09:08:00,09:08:00,38500,6
188798,09:10:00,09:10:00,38501,7
188798,09:11:00,09:11:00,38502,8
188798,09:12:00,09:12:00,38503,9
188798,09:15:00,09:15:00,38462,10
188798,09:16:00,09:16:00,38463,11
188798,09:17:00,09:17:00,38464,12
188798,09:23:00,09:23:00,38504,13
188798,09:25:00,09:25:00,38505,14
188798,09:26:00,09:26:00,38506,15
188798,09:28:00,09:28:00,38465,16
188798,09:29:00,09:29:00,38466,17
188798,09:32:00,09:32:00,38507,18
188798,09:33:00,09:33:00,38467,19
188798,09:34:00,09:34:00,38468,20
188798,09:36:00,09:36:00,38469,21
188798,09:38:00,09:38:00,38508,22
188798,09:39:00,09:39:00,38509,23
188798,09:41:00,09:41:00,38510,24
188798,09:43:00,09:43:00,38511,25
188798,09:46:00,09:46:00,38485,26
188798,09:50:00,09:50:00,38496,27
188799,10:00:00,10:00:00,38496,1
188799,10:02:00,10:02:00,38497,2
188799,10:03:00,10:03:00,38498,3
188799,10:04:00,10:04:00,38499,4
188799,10:07:00,10:07:00,38539,5
188799,10:08:00,10:08:00,38500,6
188799,10:10:00,10:10:00,38501,7
188799,10:11:00,10:11:00,38502,8
188799,10:12:00,10:12:00,38503,9
188799,10:15:00,10:15:00,38462,10
188799,10:16:00,10:16:00,38463,11
188799,10:17:00,10:17:00,38464,12
188799,10:23:00,10:23:00,38504,13
188799,10:25:00,10:25:00,38505,14
188799,10:26:00,10:26:00,38506,15
188799,10:28:00,10:28:00,38465,16
188799,10:29:00,10:29:00,38466,17
188799,10:32:00,10:32:00,38507,18
188799,10:33:00,10:33:00,38467,19
188799,10:34:00,10:34:00,38468,20
188799,10:36:00,10:36:00,38469,21
188799,10:38:00,10:38:00,38508,22
188799,10:39:00,10:39:00,38509,23
188799,10:41:00,10:41:00,38510,24
188799,10:43:00,10:43:00,38511,25
188799,10:46:00,10:46:00,38485,26
188799,10:50:00,10:50:00,38496,27
188800,11:00:00,11:00:00,38496,1
188800,11:02:00,11:02:00,38497,2
188800,11:03:00,11:03:00,38498,3
188800,11:04:00,11:04:00,38499,4
188800,11:07:00,11:07:00,38539,5
188800,11:08:00,11:08:00,38500,6
188800,11:10:00,11:10:00,38501,7
188800,11:11:00,11:11:00,38502,8
