service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20221106,20230311
10,1,1,1,1,1,0,0,20221106,20230311
11,0,0,0,0,0,1,0,20221106,20230311
12,0,0,0,0,0,0,1,20221106,20230311
13,0,0,0,0,0,0,0,20221106,20230311
14,1,1,1,1,1,0,0,20220807,20221231
15,0,0,0,0,0,1,0,20220807,20221231
16,0,0,0,0,0,0,1,20220807,20221231
17,0,0,0,0,0,0,0,20220807,20221231
2,0,0,0,0,0,1,0,20221106,20230311
22,1,1,1,1,1,0,0,20221106,20231231
23,0,0,0,0,0,1,0,20221106,20231231
24,0,0,0,0,0,0,1,20221106,20231231
25,0,0,0,0,0,0,0,20221106,20231231
3,0,0,0,0,0,0,1,20221106,20230311
4,0,0,0,0,0,0,0,20221106,20230311
6,1,1,1,1,1,0,0,20221120,20230311
7,0,0,0,0,0,1,0,20221120,20230311
8,0,0,0,0,0,0,1,20221120,20230311
9,0,0,0,0,0,0,0,20221120,20230311
