route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
12890,7,215*,NEW HAVEN/WALLINGFORD-MERIDEN,,3,,008000,FFFFFF
12891,7,291,CENTER ST,,3,,000000,FFFFFF
12892,7,292,NORTH COLONY RD,,3,,800080,FFFFFF
12893,7,411,WILLOW ST,,3,,000080,FFFFFF
12894,7,412,HILL ST,,3,,800080,FFFFFF
12895,7,413,COOKE ST,,3,,008080,FFFFFF
12896,7,416,NORTH MAIN ST,,3,,808000,FFFFFF
12897,7,417,THOMASTON AVE,,3,,FF8000,FFFFFF
12898,7,418,LONG HILL RD,,3,,800080,FFFFFF
12899,7,421,WALNUT ST,,3,,FF80FF,FFFFFF
12900,7,422,WOLCOTT ST,,3,,408000,FFFFFF
12901,7,425,MERIDEN RD,,3,,008080,FFFFFF
12902,7,426,EAST MAIN ST,,3,,000080,FFFFFF
12903,7,428,SCOTT RD,,3,,FF00FF,FFFFFF
12904,7,431,HAMILTON AVE,,3,,FF0000,FFFFFF
12905,7,432,SYLVAN AVE,,3,,0000FF,FFFFFF
12906,7,433,BALDWIN ST,,3,,800080,FFFFFF
12907,7,436,CONGRESS AVE,,3,,808000,FFFFFF
12908,7,441,HIGHLAND AVENUE,,3,,3CC4A5,FFFFFF
12909,7,442,CHASE PKWY,,3,,FF0080,FFFFFF
12910,7,444,BUNKER HILL AVE,,3,,00DD6F,FFFFFF
12911,7,445,WATERTOWN AVE,,3,,008080,FFFFFF
12912,7,446,WATERTOWN-INDUSTRIAL PARK,,3,,0000FF,FFFFFF
12913,7,447,WATERTOWN-STRAITS TPKE,,3,,00FFFF,FFFFFF
12914,7,450,WATERBURY/TORRINGTON,,3,,000000,FFFFFF
12915,7,460,WATERBURY/CHESHIRE,,3,,8000FF,FFFFFF
12916,7,470,WATERBURY/NAUGATUCK,,3,,00FFFF,FFFFFF
12917,7,471,RUBBER AVE,,3,,BC7A7A,FFFFFF
12918,7,472,NEW HAVEN RD,,3,,0000A0,FFFFFF
12919,7,473,SPRING ST,,3,,000000,FFFFFF
12920,7,479,WATERBURY/BEACON FALLS,,3,,00FF00,FFFFFF
12921,7,480,WATERBURY/SOUTHBURY,,3,,FF0000,FFFFFF
12922,7,561,WESTFIELD MERIDEN,,3,,FF0000,FFFFFF
12923,7,563,YALE ACRES,,3,,0000FF,FFFFFF
12924,7,564,SOUTH MERIDEN,,3,,0000FF,FFFFFF
12925,7,565,WEST MAIN ST,,3,,00FF00,FFFFFF
12926,7,566,EAST MAIN ST,,3,,00FF00,FFFFFF
12927,7,781,TORRINGTON/WINSTED,,3,,800080,
12928,7,782,TORRINGTON/LITCHFIELD,,3,,808080,
12929,7,783,EAST SIDE,,3,,000000,
12930,7,784,WOODLAND HILLS,,3,,000000,
12931,7,785,WEST SIDE,,3,,000000,
13046,4,501,ARCH STREET,,3,,A400A4,FFFFFF
13047,4,502,BLACK ROCK AVENUE,,3,,FF80FF,FFFFFF
13048,4,503,CORBIN AVENUE,,3,,000080,FFFFFF
13049,4,505,BURRITT STREET,,3,,FF8040,FFFFFF
13050,4,506,FARMINGTON AVENUE,,3,,00BB00,FFFFFF
13051,4,507,OAK STREET,,3,,A05050,FFFFFF
13052,4,509,EAST STREET,,3,,7D7DFF,FFFFFF
