stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1,MAITRAN,Main St & Atheneum Sq at Travelers,,41.765179,-72.673435,,,,,
1_13316,COLTP&R,Colt Hwy Park & Ride Lot,,41.721921,-72.790728,,,,,
1_259,CONDOTN,CTDOT opp Main Entrance,,41.673215,-72.713769,,,,,
1_4344,CHASTAW,CHAPEL ST & STATE  ST,,41.305029,-72.923097,,,,,
10,CAPBROE,Capitol Ave & Broad St,,41.763657,-72.687152,,,,,
100,FARPROE,FARMINGTON AVE & PROSPECT AVE,,41.765535,-72.715909,,,,,
1000,OAKFARS,OAK ST & FARNHAM DR,,41.748698,-72.576505,,,,,
10001,CORGOVNE,CORBIN AVE & GOVERNOR ST,,41.689974,-72.798441,,,,,
10003,CORWALN,CORBIN AVE & OPP WALKER RD,,41.692199,-72.796431,,,,,
10004,SKIHELN,SKIPPER ST & HELEN DR,,41.696274,-72.797858,,,,,
10005,SKISCRN,SKIPPER ST & SCARLETT DR,,41.698115,-72.798414,,,,,
10006,BUR475N,BURRITT ST & 475 BURRITT ST,,41.677292,-72.79374,,,,,
10007,OSGLAWW,OSGOOD AVE & LAWRENCE ST,,41.684397,-72.796568,,,,,
10008,OSGLAWE,OSGOOD AVE & OPP LAWRENCE ST,,41.684236,-72.796641,,,,,
1001,OAKZIMS,OAK ST & OPP ZIMMER RD,,41.750477,-72.577019,,,,,
10012,SCASLAW,SCARLETT DR & SLATER RD,,41.698589,-72.79966,,,,,
10014,STOWIS,STONEGATE RD & 51 STONEGATE RD,,41.681549,-72.813739,,,,,
10015,MAR5E,MARWOOD DR & 5 MARWOOD DR,,41.682077,-72.81455,,,,,
10016,MAR17N,MARWOOD DR & 17 MARWOOD DR,,41.681335,-72.815191,,,,,
10017,MAR25W,MARWOOD DR & 25 MARWOOD DR,,41.680843,-72.813909,,,,,
1002,OAKKINS,OAK ST & KINGSTON DR,,41.752534,-72.577545,,,,,
10020,MAP40E,MAPLEHURST AVE & 40 MAPLEHURST AVE,,41.680324,-72.805342,,,,,
10021,CORMAPN,CORBIN AVE & MAPLEHURST AVE,,41.680976,-72.803055,,,,,
10022,BURCLIN,BURRITT ST & OPP CLINTON ST,,41.673611,-72.795762,,,,,
10023,FARALEN,FARMINGTON AVE & ALEXANDER RD,,41.703235,-72.795616,,,,,
10024,FARRUTS,FARMINGTON AVE & RUTH RD,,41.69638,-72.791237,,,,,
10025,WHI2330N,WHITNEY AVE & 2330 WHITNEY AVE,,41.381951,-72.902261,,,,,
10026,OAKALLN,OAK ST & ALLEN ST,,41.682299,-72.776035,,,,,
10027,MCCEDDS,McCLINTOCK ST & EDDY GLOVER BLVD,,41.685949,-72.784672,,,,,
10028,STACCSN,STANLEY ST & C C S U,,41.690304,-72.770692,,,,,
10029,STACCSS,STANLEY ST & OPP C C S U,,41.690224,-72.770898,,,,,
1003,OAKGAIN,OAK ST & GAIL RD,,41.75416,-72.577503,,,,,
10030,OAKALLS,OAK ST & ALLENS ST,,41.682362,-72.776289,,,,,
10031,BLAWOOW,BLACK ROCK AVE & WOOSTER ST,,41.665625,-72.816694,,,,,
10032,WHIMATS,WHITNEY AVE & MATHER ST,,41.348112,-72.913341,,,,,
10033,WASAUTN,WASHINGTON ST & AUTO ZONE,,41.670435,-72.783895,,,,,
10034,WASBROAN,WASHINGTON ST & BROAD ST,,41.673983,-72.784546,,,,,
10035,WAS261N,WASHINGTON ST & 261 WASHINGTON ST,,41.675252,-72.7848,,,,,
10036,WASFARN,WASHINGTON ST & FARMINGTON AVE,,41.677861,-72.785524,,,,,
10037,FARWARN,FARMINGTON AVE & WARD ST,,41.678791,-72.786286,,,,,
10038,FARCONN,FARMINGTON AVE & CONCORD ST,,41.67973,-72.787047,,,,,
10039,FARHAYN,FARMINGTON AVE & OPP HAYES ST,,41.680311,-72.787483,,,,,
1004,OAKBONS,OAK ST & BONNER DR,,41.754178,-72.577745,,,,,
10040,FARALLN,FARMINGTON AVE & ALLEN ST,,41.681687,-72.787797,,,,,
10041,FAREDDN,FARMINGTON AVE & EDDY GLOVER BLVD,,41.683108,-72.787989,,,,,
10042,FAROSGN,FARMINGTON AVE & OPP OSGOOD AVE,,41.685315,-72.788412,,,,,
10043,FAROAKN,FARMINGTON AVE & OPP RICHMOND AVE,,41.686191,-72.788617,,,,,
10044,FARGOVN,FARMINGTON AVE & OPP GOVERNOR ST,,41.688953,-72.789257,,,,,
10048,FARCARN,FARMINGTON AVE & CARROLL ST,,41.693395,-72.790646,,,,,
10049,FARPULN,FARMINGTON AVE & PULASKI MIDDLE SCHOOL,,41.698373,-72.791357,,,,,
1005,OAKKINN,OAK ST & OPP KINGSTON DR,,41.752444,-72.577279,,,,,
10050,FARYEAN,FARMINGTON AVE & OPP YEATON ST,,41.699695,-72.792204,,,,,
10051,FARLEWN,FARMINGTON AVE & LEWIS RD,,41.700705,-72.79316,,,,,
10052,FARFRIN,FARMINGTON AVE & FRIBBIEB DAIRY BARN,,41.702422,-72.794829,,,,,
10055,COLFIEE,COLT HWY & FIENEMANN RD,,41.711504,-72.80831,,,,,
10056,COLSOUN,COLT HWY & SOUTH RD,,41.722197,-72.788972,,,,,
10059,FIECOLS,FIENEMANN RD & COLT HWY,,41.710798,-72.809073,,,,,
1006,OAKZIMN,OAK ST & ZIMMER RD,,41.750486,-72.576765,,,,,
10060,FIEFARE,FIENEMANN RD & FARM SPRINGS RD,,41.707455,-72.80514,,,,,
10061,FIEBATE,FIENEMANN RD & BATTERSON PARK RD,,41.70589,-72.799221,,,,,
10062,ORAWALN,ORANGE ST & WALL ST,,41.308979,-72.921454,,,,,
10063,FARSLAS,FARMINGTON AVE & SLATER RD,,41.703039,-72.795725,,,,,
10064,FAR950S,FARMINGTON AVE & 950 FARMINGTON AVE,,41.702198,-72.794902,,,,,
10065,FARLEWS,FARMINGTON AVE & OPP LEWIS RD,,41.700527,-72.793269,,,,,
10066,FARYEAS,FARMINGTON AVE & YEATON ST,,41.699776,-72.792555,,,,,
10068,FARHUTS,FARMINGTON AVE & HUTCHINSON ST,,41.698212,-72.791527,,,,,
10069,FAREDDS,FARMINGTON AVE & OPP EDDY GLOVER BLVD,,41.682902,-72.788195,,,,,
1007,OAKFARN,OAK ST & OPP FARNHAM DR,,41.748786,-72.576274,,,,,
10076,FARMCKS,FARMINGTON AVE & McKINLEY DR,,41.693261,-72.790828,,,,,
10077,FARGOVS,FARMINGTON AVE & GOVERNOR ST,,41.688595,-72.789378,,,,,
10078,FARRICS,FARMINGTON AVE & RICHMOND AVE,,41.686334,-72.788871,,,,,
10079,FAROSGS,FARMINGTON AVE & OSGOOD AVE,,41.68528,-72.788642,,,,,
1008,OAKSKYN,OAK ST & SKYLINE DR,,41.747204,-72.575832,,,,,
10080,FARALLS,FARMINGTON AVE & OPP ALLEN ST,,41.681615,-72.788014,,,,,
10081,FARHAYS,FARMINGTON AVE & HAYES ST,,41.68023,-72.787676,,,,,
