trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
190,05:30:00,05:30:00,1,1,Nutley St at Hermosa Dr,0,0
190,,,2,2,Nutley Street at Pan Am Shopping (SB),0,0
190,,,3,3,Nutley St at Barrick St (SB),0,0
190,,,4,4,Arlington Blvd at Stonehurst Dr (WB),0,0
190,,,5,5,Fairfax Blvd and Pickett Road (WB),0,0
190,,,6,6,Old Pickett Road at Home Depot,0,0
190,,,7,7,Old Pickett Road at J.L. Tree Service,0,0
190,,,8,8,Pickett Rd at Thaiss Park,0,0
190,,,9,9,Pickett Rd at Silver King Ct,0,0
190,,,10,10,Pickett Rd at Barrister's Keep,0,0
190,,,11,11,Pickett Rd at Post Office,0,0
190,,,12,12,Pickett Rd at Colonial Ave,0,0
190,,,13,13,Pickett Rd at Mathy Dr,0,0
190,,,14,14,Pickett Rd at Turnpike Shopping Center,0,0
190,,,15,15,Main St at Pickett Rd,0,0
190,,,16,16,Main Street at Fair City Mall (WB),0,0
190,,,206,17,Main St at Whitacre Rd,0,0
190,,,17,18,Main St at Lyndhurst,0,0
190,,,18,19,Main Street and Maple Ave,0,0
190,,,19,20,Main Street and Stonewall Ave,0,0
190,,,20,21,Main St at Tedrich Blvd,0,0
190,,,21,22,Main St at Virginia St,0,0
190,,,22,23,Main St at Roberts Rd,0,0
190,,,23,24,Main St at Locust St,0,0
190,,,24,25,Main Street Market Place,0,0
190,,,25,26,University Dr at Main St (SB),0,0
190,,,26,27,University Dr at Sager Ave (SB),0,0
190,,,27,28,University Dr at Fire Station No.3 (SB),0,0
190,,,28,29,George Mason Blvd at Armstrong St,0,0
190,,,29,30,George Mason Blvd at School St,0,0
190,,,30,31,Rappahannock Ln at Patriot Circle,0,0
190,05:30:00,05:30:00,31,32,University Drive and Chain Bridge Road,0,0
190,,,32,33,Chain Bridge Rd at School St (NB),0,0
190,,,33,34,Chain Bridge Rd at INOVA (NB),0,0
190,,,34,35,Chain Bridge Rd at West Dr (NB),0,0
190,,,35,36,Chain Bridge Rd at Armstrong St (NB),0,0
190,,,36,37,Chain Bridge Road and Judicial Drive,0,0
190,,,37,38,Chain Bridge Road At Fx County Court,0,0
190,,,38,39,Chain Bridge Rd at Main St,0,0
190,,,39,40,Chain Bridge Rd at Whitehead St,0,0
190,,,40,41,Chain Bridge Rd at Kenmore Dr,0,0
190,,,41,42,Chain Bridge Road at Stratford Drive,0,0
190,,,42,43,Chain Bridge Road and Fairfax Blvd,0,0
190,05:38:00,05:38:00,43,44,Chain Bridge Road at Marriott Hotel,0,0
190,,,44,45,Eaton Place at Best Western Hotel,0,0
190,,,45,46,Eaton Place at 10306 Block,0,0
190,,,46,47,Eaton Place and Fairfax Blvd,0,0
190,,,47,48,Fairfax Blvd at 10201 Block (EB),0,0
190,,,48,49,Fairfax Blvd at Plantation Pkwy (EB),0,0
190,,,49,50,Fairfax Blvd at Stafford Dr (EB),0,0
190,,,50,51,Fairfax Blvd at Rebel Run,0,0
190,,,51,52,Fairfax Blvd at Draper Drive,0,0
190,,,52,53,Fairfax Blvd at Spring St,0,0
190,,,53,54,Fairfax Blvd at Campbell Dr,0,0
190,05:46:00,05:46:00,54,55,Fairfax Blvd and Pickett Road (EB),0,0
190,,,55,56,Arlington Blvd at Stonehurst Dr (EB),0,0
190,,,56,57,Nutley St at Barrick St (NB),0,0
190,,,57,58,Nutley Street at Pan Am Shopping (NB),0,0
190,,,58,59,Nutley Street and Lee Highway,0,0
190,05:46:00,05:46:00,59,60,Vienna Metro North Bay C,0,0
191,06:05:00,06:05:00,1,1,Nutley St at Hermosa Dr,0,0
191,,,2,2,Nutley Street at Pan Am Shopping (SB),0,0
191,,,3,3,Nutley St at Barrick St (SB),0,0
191,,,4,4,Arlington Blvd at Stonehurst Dr (WB),0,0
191,,,5,5,Fairfax Blvd and Pickett Road (WB),0,0
191,,,6,6,Old Pickett Road at Home Depot,0,0
191,,,7,7,Old Pickett Road at J.L. Tree Service,0,0
191,,,8,8,Pickett Rd at Thaiss Park,0,0
191,,,9,9,Pickett Rd at Silver King Ct,0,0
191,,,10,10,Pickett Rd at Barrister's Keep,0,0
191,,,11,11,Pickett Rd at Post Office,0,0
191,,,12,12,Pickett Rd at Colonial Ave,0,0
191,,,13,13,Pickett Rd at Mathy Dr,0,0
191,,,14,14,Pickett Rd at Turnpike Shopping Center,0,0
191,,,15,15,Main St at Pickett Rd,0,0
191,,,16,16,Main Street at Fair City Mall (WB),0,0
191,,,206,17,Main St at Whitacre Rd,0,0
191,,,17,18,Main St at Lyndhurst,0,0
191,,,18,19,Main Street and Maple Ave,0,0
191,,,19,20,Main Street and Stonewall Ave,0,0
191,,,20,21,Main St at Tedrich Blvd,0,0
191,,,21,22,Main St at Virginia St,0,0
191,,,22,23,Main St at Roberts Rd,0,0
191,,,23,24,Main St at Locust St,0,0
191,,,24,25,Main Street Market Place,0,0
191,,,25,26,University Dr at Main St (SB),0,0
191,,,26,27,University Dr at Sager Ave (SB),0,0
191,,,27,28,University Dr at Fire Station No.3 (SB),0,0
191,,,28,29,George Mason Blvd at Armstrong St,0,0
191,,,29,30,George Mason Blvd at School St,0,0
191,,,30,31,Rappahannock Ln at Patriot Circle,0,0
191,06:05:00,06:05:00,31,32,University Drive and Chain Bridge Road,0,0
191,,,32,33,Chain Bridge Rd at School St (NB),0,0
191,,,33,34,Chain Bridge Rd at INOVA (NB),0,0
191,,,34,35,Chain Bridge Rd at West Dr (NB),0,0
191,,,35,36,Chain Bridge Rd at Armstrong St (NB),0,0
191,,,36,37,Chain Bridge Road and Judicial Drive,0,0
191,,,37,38,Chain Bridge Road At Fx County Court,0,0
191,,,38,39,Chain Bridge Rd at Main St,0,0
191,,,39,40,Chain Bridge Rd at Whitehead St,0,0
191,,,40,41,Chain Bridge Rd at Kenmore Dr,0,0
191,,,41,42,Chain Bridge Road at Stratford Drive,0,0
191,,,42,43,Chain Bridge Road and Fairfax Blvd,0,0
191,06:13:00,06:13:00,43,44,Chain Bridge Road at Marriott Hotel,0,0
191,,,44,45,Eaton Place at Best Western Hotel,0,0
191,,,45,46,Eaton Place at 10306 Block,0,0
191,,,46,47,Eaton Place and Fairfax Blvd,0,0
191,,,47,48,Fairfax Blvd at 10201 Block (EB),0,0
191,,,48,49,Fairfax Blvd at Plantation Pkwy (EB),0,0
191,,,49,50,Fairfax Blvd at Stafford Dr (EB),0,0
191,,,50,51,Fairfax Blvd at Rebel Run,0,0
191,,,51,52,Fairfax Blvd at Draper Drive,0,0
191,,,52,53,Fairfax Blvd at Spring St,0,0
191,,,53,54,Fairfax Blvd at Campbell Dr,0,0
191,06:21:00,06:21:00,54,55,Fairfax Blvd and Pickett Road (EB),0,0
191,,,55,56,Arlington Blvd at Stonehurst Dr (EB),0,0
191,,,56,57,Nutley St at Barrick St (NB),0,0
