stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1,1001,Vienna Metro North Bay C,,38.8784030000,-77.2718480000,,0,
2,183,Nutley St at Hermosa Dr,,38.8740327355,-77.2640596442,,0,
3,198,Nutley Street at Pan Am Shopping (SB),,38.8708083531,-77.2632241399,,0,
4,184,Nutley St at Barrick St,,38.8670000000,-77.2624000000,,0,
5,185,Arlington Blvd at Stonehurst Dr (WB),,38.8651480340,-77.2649865890,,0,
6,186,Fairfax Blvd and Pickett Road,,38.8650355035,-77.2709919534,,0,
7,98,Old Pickett Road at Home Depot,,38.8630791150,-77.2747420000,,0,
8,99,Old Pickett Road at J.L. Tree Service,,38.8627570000,-77.2729270000,,0,
9,100,Pickett Rd at Thaiss Park,,38.8604990000,-77.2706750000,,0,
10,101,Pickett Rd at Silver King Ct,,38.8568000000,-77.2710000000,,0,
11,102,Pickett Rd at Barrister's Keep,,38.8521877105,-77.2721755595,,0,
12,103,Pickett Rd at Post Office,,38.8509690662,-77.2725760258,,0,
13,104,Pickett Rd at Colonial Ave,,38.8484297114,-77.2732514921,,0,
14,105,Pickett Rd at Mathy Dr,,38.8446740000,-77.2719500000,,0,
15,106,Pickett Rd at Turnpike Shopping Center,,38.8428280000,-77.2718010000,,0,
16,107,Main St at Pickett Rd,,38.8414000000,-77.2728000000,,0,
17,108,Main St at Whitacre Rd,,38.8421194162,-77.2782668981,,0,
18,109,Main St at Lyndhurst,,38.8425299897,-77.2814614491,,0,
19,110,Main Street and Maple Ave,,38.8429749310,-77.2847000000,,0,
20,111,Main Street and Stonewall Ave,,38.8435412350,-77.2893077202,,0,
21,112,Main St at Tedrich Blvd,,38.8438886031,-77.2924975423,,0,
22,113,Main St at Virginia St,,38.8442550000,-77.2949110000,,0,
23,114,Main St at Roberts Rd,,38.8445417808,-77.2971731779,,0,
24,115,Main St at Locust St,,38.8448698219,-77.2997108221,,0,
25,116,Main Street Market Place,,38.8454791099,-77.3026000000,,0,
