stop_id,stop_city
2505741,Orange
2505729,Greenfield
2505746,Greenfield
2505644,Greenfield
2505760,Montague
2505636,Whately
2505643,Greenfield
2505731,Greenfield
2505679,Montague
2505649,Greenfield
2505647,Montague
2505747,Greenfield
2505717,Greenfield
2505614,Hatfield
2505619,Orange
2505753,Greenfield
2505629,Deerfield
2505719,Greenfield
2505639,Whately
2505609,Hatfield
2505707,Greenfield
2505648,Montague
2505623,Montague
2505650,Deerfield
2505686,Greenfield
2505726,Greenfield
2505744,Greenfield
2505699,Deerfield
2505626,Deerfield
2505641,Deerfield
2505727,Greenfield
2505764,Montague
2505715,Greenfield
2505723,Erving
2505683,Northampton
2505663,Montague
2505611,Hatfield
2505645,Shelburne
2505695,Greenfield
2505684,Northampton
2505637,Whately
2505693,Greenfield
2505654,Northampton
2505681,Montague
2505634,Whately
2505624,Montague
2505656,Montague
2505704,Greenfield
2505688,Greenfield
2505607,Hatfield
2505675,Greenfield
2505767,Montague
2505678,Montague
2505610,Hatfield
2505662,Montague
2505640,Deerfield
2505642,Deerfield
2505703,Deerfield
2505748,Greenfield
2505709,Greenfield
3453596,Erving
2505759,Greenfield
2505758,Northampton
2505737,Orange
2505701,Deerfield
2505691,Greenfield
2505710,Greenfield
2505713,Charlemont
2505766,Montague
2505743,Orange
2505721,Montague
2505653,Deerfield
2505761,Montague
2505690,Greenfield
2505742,Orange
2505750,Greenfield
2505661,Montague
2505711,Montague
2505627,Deerfield
2505757,Charlemont
2505669,Montague
2505638,Whately
2505705,Greenfield
2505685,Northampton
2505720,Greenfield
2505765,Montague
2505616,Hatfield
2505608,Hatfield
2505749,Greenfield
2505613,Hatfield
2505655,Northampton
2505665,Montague
2505625,Deerfield
2505631,Sunderland
2505622,Montague
2505702,Deerfield
2505673,Greenfield
2505740,Orange
2505722,Montague
2505708,Greenfield
2505657,Montague
2505718,Greenfield
2505706,Greenfield
2505739,Orange
2505745,Greenfield
2505605,Greenfield
2505668,Montague
2505763,Montague
2505694,Greenfield
2505751,Greenfield
2505680,Montague
2505682,Northampton
2505768,Northampton
2505651,Montague
2505728,Greenfield
2505730,Greenfield
2505754,Greenfield
2505606,Whately
2505621,Montague
2505734,Orange
2505671,Greenfield
2505628,Deerfield
2505738,Orange
2505620,Orange
3453595,Deerfield
2505672,Greenfield
2505732,Deerfield
2505692,Greenfield
2505604,Greenfield
2505667,Montague
2505752,Greenfield
2505659,Montague
2505660,Buckland
2505687,Greenfield
2505712,Charlemont
2505618,Orange
2505716,Greenfield
2505632,Greenfield
2505635,Whately
2505633,Northampton
2505733,Deerfield
2505617,Hatfield
2505670,Montague
2505762,Montague
2505630,Deerfield
2505700,Deerfield
2505769,Charlemont
2505666,Montague
2505652,Orange
2505615,Hatfield
2505677,Greenfield
2505735,Orange
2505736,Orange
2505725,Erving
2505646,Shelburne
2505612,Hatfield
2505674,Greenfield
2505697,Athol
2505696,Greenfield
2505676,Greenfield
2505756,Charlemont
2505658,Montague
2505689,Greenfield
2505664,Montague
2505755,Greenfield
2505714,Greenfield
2505698,Deerfield
