trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_2044003_b_33764_tn_0,06:50:00,06:50:00,2505686,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,06:51:27,06:51:27,2505671,2,,0,0,800.495416150532,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,06:52:01,06:52:01,2505674,3,,0,0,1109.47103462956,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,06:55:00,06:55:00,2505752,4,,0,0,2746.85309833079,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,06:56:33,06:56:33,2505754,5,,0,0,3272.64737567404,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:01:00,07:01:00,2505708,6,,0,0,4774.08516855621,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:05:00,07:05:00,2505729,7,,0,0,7628.30816407821,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:06:00,07:06:00,2505731,8,,0,0,8042.50574688426,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:07:00,07:07:00,2505727,9,,0,0,8585.11742088775,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:12:00,07:12:00,2505677,10,,0,0,11119.5996220739,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:15:32,07:15:32,2505643,11,,0,0,14350.3410177346,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:16:00,07:16:00,2505707,12,,0,0,14770.7144524852,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:18:20,07:18:20,2505720,13,,0,0,15881.7914674504,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:19:00,07:19:00,2505716,14,,0,0,16197.7021294598,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:20:00,07:20:00,2505704,15,,0,0,16768.9510224338,1,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:23:02,07:23:02,2505715,16,,0,0,17480.2776202986,0,,,,,1,1,,,,,,,,,,,
t_2044003_b_33764_tn_0,07:25:00,07:25:00,2505686,17,,0,0,17940.96699862,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:35:00,04:35:00,2505729,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:36:00,04:36:00,2505731,2,,0,0,414.197582806051,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:37:00,04:37:00,2505727,3,,0,0,956.809256809543,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:42:00,04:42:00,2505677,4,,0,0,3491.29145799565,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:45:32,04:45:32,2505643,5,,0,0,6722.03285365642,0,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:46:00,04:46:00,2505707,6,,0,0,7142.40628840697,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:48:20,04:48:20,2505720,7,,0,0,8253.48330337225,0,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:49:00,04:49:00,2505716,8,,0,0,8569.39396538163,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:50:00,04:50:00,2505704,9,,0,0,9140.64285835557,1,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:53:02,04:53:02,2505715,10,,0,0,9851.96945622041,0,,,,,1,1,,,,,,,,,,,
t_2044004_b_33764_tn_0,04:55:00,04:55:00,2505686,11,,0,0,10312.65883459,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:30:00,07:30:00,2505686,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:32:03,07:32:03,2505671,2,,0,0,800.495416150532,0,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:32:51,07:32:51,2505674,3,,0,0,1109.47103462956,0,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:35:00,07:35:00,2505729,4,,0,0,1954.57476399086,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:36:00,07:36:00,2505731,5,,0,0,2368.77234679691,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:37:00,07:37:00,2505727,6,,0,0,2911.3840208004,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:42:00,07:42:00,2505677,7,,0,0,5445.86622198651,1,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:45:32,07:45:32,2505643,8,,0,0,8676.60761764729,0,,,,,1,1,,,,,,,,,,,
t_2044005_b_33764_tn_0,07:46:00,07:46:00,2505707,9,,0,0,9096.98105239784,1,,,,,1,1,,,,,,,,,,,
