route_id,direction_id,direction
74421,1,Counterclockwise
74421,0,Clockwise
74420,1,Inbound
74420,0,Outbound
19711,1,Southbound
19711,0,Northbound
18979,1,Inbound
18979,0,Outbound
11709,1,Inbound
11709,0,Outbound
4707,1,Southbound
4707,0,Northbound
3509,1,Inbound
3509,0,Outbound
3507,1,Inbound
3507,0,Outbound
3505,1,Inbound
3505,0,Outbound
3504,1,Southbound
3504,0,Northbound
3501,1,Southbound
3501,0,Northbound
3500,1,Inbound
3500,0,Outbound
3498,1,Inbound
3498,0,Outbound
3497,1,Inbound
3497,0,Outbound
3496,1,Inbound
3496,0,Outbound
3495,1,Inbound
3495,0,Outbound
3493,1,Inbound
3493,0,Outbound
3490,1,Inbound
3490,0,Outbound
3489,1,Inbound
3489,0,Outbound
3488,1,Inbound
3488,0,Outbound
3487,1,Inbound
3487,0,Outbound
3486,1,Inbound
3486,0,Outbound
3485,1,Inbound
3485,0,Outbound
3484,1,Inbound
3484,0,Outbound
3482,1,Inbound
3482,0,Outbound
3481,1,Inbound
3481,0,Outbound
3480,1,Inbound
3480,0,Outbound
