agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
504,3478,1,Westside,,3,https://www.gatra.org/routes/route-1/,a31f36,ffffff,0,,0,1,1,,
504,74420,2,Broadway/Market Basket,,3,https://www.gatra.org/routes/route-2/,56c1a6,000000,0,,0,1,1,,
504,74421,4,Weir/Westside,,3,https://www.gatra.org/routes/route-4/,a31f36,ffffff,0,60,0,1,1,,
504,18979,5,Walmart/E. Taunton/Target,,3,https://www.gatra.org/routes/route-5/,ffc5a4,000000,1,60,0,1,1,,
504,3488,15,Sturdy Hospital/La Salette,,3,https://www.gatra.org/routes/route-15/,f4c414,000000,10,,0,1,1,,
504,3489,16,Seekonk/Attleboro,,3,https://www.gatra.org/routes/route-16/,ef8a21,000000,11,,0,1,1,,
504,3490,18,Taunton/Norton/Attleboro,,3,https://www.gatra.org/routes/route-18/,ef4b5e,000000,12,,0,1,1,,
504,3491,24,Attleboro/Pawtucket RI,,3,https://www.gatra.org/routes/route-24/,56c1a6,000000,13,,0,1,1,,
504,3504,SAIL,Marshfield/Duxbury/Kingston,,3,https://www.gatra.org/routes/route-sail/,d3312c,ffffff,14,,0,1,1,,
504,3497,Link 1,Wareham/Onset/Wareham,,3,https://www.gatra.org/routes/route-link-1/,ae2721,ffffff,15,,0,1,1,,
504,3498,Link 2,Cranberry Plaza To Buzzards Bay,,3,https://www.gatra.org/routes/route-link-2/,37810a,ffffff,16,60,0,1,1,,
504,3500,Link 4,Cranberry Plaza To West Wareham,,3,https://www.gatra.org/routes/route-link-4/,001ebd,ffffff,17,,0,1,1,,
504,3493,,Mayflower Link - Plymouth to Manomet,,3,https://www.gatra.org/routes/mayflower-link-plymouth-to-manomet/,ea5f25,ffffff,18,,0,1,1,,
504,3495,,Freedom Link,,3,https://www.gatra.org/routes/freedom-link/,005bfa,ffffff,19,,0,1,1,,
504,3480,6,Whittenton,,3,https://www.gatra.org/routes/route-6/,00a950,000000,2,,0,1,1,,
504,3496,,Liberty Link,,3,https://www.gatra.org/routes/liberty-link/,0e3990,ffffff,20,,0,1,1,,
504,3509,,Manomet/Cedarville Deviated Link,,3,https://www.gatra.org/routes/manomet-cedarville-deviated-link/,438128,ffffff,21,,0,1,1,,
504,4707,SLOOP,Scituate Loop,,3,https://www.gatra.org/routes/route-sloop/,d0312b,ffffff,22,,0,1,1,,
504,3501,,Downtown Middleborough Shuttle,,3,https://www.gatra.org/routes/downtown-middleborough-shuttle/,595e4d,ffffff,23,,0,1,1,,
504,3505,,Medway T Shuttle,,3,https://www.gatra.org/routes/medway-t-shuttle/,4598cc,000000,24,,0,1,1,,
504,3507,,Middleborough-Taunton Connection,,3,https://www.gatra.org/routes/middleborough-taunton-connection/,475563,ffffff,25,,0,1,1,,
504,11709,,Wareham Plymouth Connection,,3,https://www.gatra.org/routes/wareham-plymouth-connection/,ffffff,000000,26,,0,1,1,,
504,19711,,Wareham-New Bedford Connection,,3,https://www.gatra.org/routes/wareham-new-bedford-connection/,70a4f7,000000,27,,0,1,1,,
504,3481,7,School St./Route 44,,3,https://www.gatra.org/routes/route-7/,b3be35,000000,3,60,0,1,1,,
504,3482,8,County St./Target,,3,https://www.gatra.org/routes/route-8/,c23a7f,ffffff,4,,0,1,1,,
504,3483,9,Weir/Route 138,,3,https://www.gatra.org/routes/route-9/,67a1b9,000000,5,,0,1,1,,
504,3484,10,Attleboro/N. Attleborough,,3,https://www.gatra.org/routes/route-10/,592e84,ffffff,6,,0,1,1,,
504,3485,11,South Attleboro Connector,,3,https://www.gatra.org/routes/route-11/,1d376c,ffffff,7,,0,1,1,,
504,3486,12,Attleboro/South Attleboro,,3,https://www.gatra.org/routes/route-12/,008657,ffffff,8,,0,1,1,,
504,3487,14,North Attleborough/Plainville,,3,https://www.gatra.org/routes/route-14/,7dbd42,000000,9,,0,1,1,,
