runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67596_b_78143_d_2,1295899,1,1,t_5373414_b_78143_tn_0,816028,t_5373418_b_78143_tn_0,816028
1000000,c_67596_b_78143_d_31,1295891,10,1,t_5372791_b_78143_tn_0,816156,t_5372786_b_78143_tn_0,816156
1100000,c_67596_b_78143_d_31,1295892,11,1,t_5372948_b_78143_tn_0,816156,t_5372803_b_78143_tn_0,816156
1200000,c_67596_b_78143_d_31,1295893,12,1,t_5374202_b_78143_tn_0,2577987,t_5374233_b_78143_tn_0,2577987
1300000,c_67596_b_78143_d_31,1295894,13,1,t_5374194_b_78143_tn_0,2577987,t_5372939_b_78143_tn_0,816156
1400000,c_67596_b_78143_d_31,1295896,14,1,t_5373125_b_78143_tn_0,816156,t_5373195_b_78143_tn_0,816156
1500000,c_67596_b_78143_d_31,1295898,15,1,t_5373142_b_78143_tn_0,816156,t_5373156_b_78143_tn_0,816156
1600000,c_67596_b_78143_d_31,1295899,16,1,t_5373383_b_78143_tn_0,816034,t_5373157_b_78143_tn_0,816156
1700000,c_67596_b_78143_d_31,1295900,17,1,t_5373174_b_78143_tn_0,816156,t_5373182_b_78143_tn_0,816156
1800000,c_67596_b_78143_d_31,1295901,18,1,t_5373184_b_78143_tn_0,816156,t_5373199_b_78143_tn_0,816156
1900000,c_67596_b_78143_d_31,1295954,19,1,t_5372589_b_78143_tn_0,2332283,t_5372723_b_78143_tn_0,2332283
200000,c_67596_b_78143_d_21,19644,2,1,t_5372575_b_78143_tn_0,816889,t_5372893_b_78143_tn_0,816889
2000000,c_67596_b_78143_d_31,164175,20,1,t_5373057_b_78143_tn_0,2754821,t_5373056_b_78143_tn_0,2754821
2100000,c_67596_b_78143_d_31,19627,21,1,t_5372576_b_78143_tn_0,2559128,t_5372932_b_78143_tn_0,816133
2200000,c_67596_b_78143_d_31,19628,22,1,t_5372512_b_78143_tn_0,816133,t_5372619_b_78143_tn_0,816122
