stop_id,stop_city
818768,Springfield
816954,Springfield
816086,Springfield
816136,Taunton
816493,Springfield
816111,Springfield
835711,Scituate
816070,Middleborough
2383925,Taunton
816061,Springfield
2574392,North Attleborough
819662,Springfield
816947,Springfield
818746,Springfield
2574351,Taunton
816165,Springfield
2574387,North Attleborough
816117,Springfield
816140,Springfield
816124,Springfield
816932,Attleboro
819316,Springfield
819949,Middleborough
835712,Scituate
2735497,Taunton
816951,Springfield
819315,Springfield
816190,Springfield
816177,Springfield
2574402,North Attleborough
2574384,North Attleborough
816162,Taunton
816966,Springfield
4149378,Taunton
816185,Springfield
2574381,Taunton
818762,Springfield
4149375,Plainville
816090,Springfield
819927,Springfield
2559134,Marshfield
816093,Springfield
816134,Springfield
2574412,Attleboro
816930,Attleboro
816119,Plymouth
816200,Springfield
816156,Springfield
816055,Springfield
816187,Springfield
818758,Springfield
3460531,Pembroke
2574401,Attleboro
818767,Springfield
4149398,Plainville
2320147,Springfield
816043,Springfield
2383951,Taunton
2574377,Taunton
816036,Springfield
4148006,Taunton
2332283,Attleboro
2574347,Taunton
816120,Kingston
2574398,Attleboro
816955,Springfield
2574407,Attleboro
816100,Plymouth
816893,Springfield
816953,Springfield
816979,Springfield
816058,Springfield
816037,Springfield
818748,Springfield
816045,Springfield
816118,Plymouth
2559007,Bourne
816078,Springfield
818770,Taunton
816107,Springfield
2754819,Marion
816175,Springfield
4149399,Plainville
4149354,Attleboro
2559135,Duxbury
2574411,Attleboro
818747,Taunton
2559128,Marshfield
2559122,Kingston
816121,Kingston
816092,Springfield
2574408,Attleboro
818765,Springfield
2574404,North Attleborough
816940,North Dighton
819314,Springfield
818759,Taunton
816176,Springfield
819663,Springfield
818769,Springfield
816114,Plymouth
819917,Plymouth
816112,Springfield
819660,Springfield
2320150,Springfield
816926,Attleboro
818741,Springfield
816082,Springfield
819921,Bourne
819322,Springfield
816886,Raynham
816959,Attleboro
819664,Springfield
816079,Springfield
816974,Springfield
835713,Springfield
816919,Attleboro
816031,Springfield
2735478,Taunton
2326135,Springfield
2574383,Taunton
816188,Springfield
2383916,Taunton
816080,Springfield
2574364,Taunton
816152,Springfield
816922,Attleboro
819661,Springfield
816180,Springfield
816038,Springfield
2320148,Springfield
816173,Springfield
2574403,North Attleborough
816914,Attleboro
816051,Springfield
2574386,North Attleborough
816141,Taunton
2383927,Taunton
816067,Bellingham
2320145,Springfield
2574334,Taunton
816915,Attleboro
816095,Springfield
2735477,Taunton
2574413,North Attleborough
818737,Springfield
818702,Springfield
816950,Springfield
2574368,Taunton
2754816,Wareham
2559008,Bourne
816126,Marshfield
816982,Springfield
2735498,Taunton
2574338,Taunton
816182,Attleboro
816069,Springfield
2574355,Taunton
2574405,North Attleborough
816965,Springfield
816110,Springfield
2577987,North Attleborough
816048,Springfield
816127,Marshfield
2574410,Attleboro
816151,Springfield
816050,Springfield
816046,Springfield
835718,Scituate
816139,Springfield
3460533,Scituate
2754821,New Bedford
816171,Springfield
4148004,Raynham
2574378,Taunton
4149352,Attleboro
835715,Scituate
816073,Springfield
816064,Springfield
816142,Springfield
816158,Raynham
2574390,North Attleborough
2383942,Attleboro
2574340,Taunton
816896,Springfield
816029,Springfield
2574389,North Attleborough
816057,Springfield
816921,Attleboro
816041,Springfield
816931,Attleboro
816924,Attleboro
2574400,Attleboro
816133,Pembroke
2745409,Wareham
816084,Springfield
816091,Wareham
2320149,Springfield
818766,Springfield
818763,Springfield
816068,Springfield
3460541,Wrentham
2574349,Taunton
2574396,North Attleborough
2619482,Easton
816154,Springfield
816033,Springfield
2574348,Taunton
4147999,Attleboro
816101,Springfield
816150,Springfield
2745403,Wareham
818754,Springfield
816144,Springfield
816168,Springfield
816135,Springfield
2383936,Wareham
2383921,Taunton
816178,Springfield
816052,Springfield
816123,Duxbury
818751,Springfield
819948,Raynham
816062,Springfield
818756,Springfield
816054,Springfield
816179,Springfield
816145,Springfield
816898,Springfield
816116,Springfield
816920,Attleboro
816047,Attleboro
816918,Attleboro
2559121,Wareham
2574393,North Attleborough
2574998,Taunton
2619481,Easton
816923,Attleboro
835710,Springfield
849872,Springfield
816157,Springfield
816183,Springfield
3460540,Medway
816897,Springfield
816149,Springfield
819659,Springfield
816113,Springfield
818740,Springfield
819920,Springfield
818701,Springfield
816928,Attleboro
2754817,Fairhaven
818736,Springfield
816934,North Attleborough
816034,Pawtucket
816075,Lakeville
816196,Bellingham
2574999,Taunton
2754822,Mattapoisett
818215,Springfield
816074,Springfield
2326136,Springfield
816159,Springfield
816122,Duxbury
2574391,North Attleborough
816085,Springfield
2574337,Taunton
816099,Springfield
2484463,Wareham
2559143,Marshfield
