trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5372460_b_78143_tn_0,14:00:00,14:00:00,816054,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574384,2,,1,1,313.756080936698,0,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574385,3,,1,1,1165.86273545186,0,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,818214,4,,0,0,2872.4420529411,0,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,14:08:00,14:08:00,816051,5,,0,0,3767.85307687253,1,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,14:12:00,14:12:00,2577987,6,,0,0,5798.42942841502,1,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,816053,7,,1,1,6958.54490161421,1,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574393,8,,1,1,9213.24895221123,0,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574394,9,,1,1,9466.83613848368,0,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,14:19:00,14:19:00,816043,10,,0,0,9692.56912344735,1,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574395,11,,1,1,10150.8593833431,0,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574396,12,,1,1,10503.2511845217,0,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,14:21:00,14:21:00,818215,13,,0,0,11456.5833240589,1,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,816915,14,,0,0,14077.2123161892,0,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574398,15,,1,1,14152.8492436899,0,,,,,1,1,,,,,,,,,,,
t_5372460_b_78143_tn_0,,,2574399,16,,1,1,14339.5715512261,0,,,,,3,3,,,,,,,,,,,
t_5372460_b_78143_tn_0,14:27:00,14:27:00,816028,17,,0,0,14687.44292899,1,,,,,1,1,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:30:00,13:30:00,816165,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2575000,2,,1,1,419.405606407219,0,,,,,1,1,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2574999,3,,1,1,591.110090175943,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2383928,4,,0,0,653.547151762443,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:33:00,13:33:00,816164,5,,0,0,1083.57319877157,1,,,,,1,1,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2574379,6,,1,1,1171.78435996414,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,818769,7,,0,0,2395.72798327269,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2735461,8,,0,0,3142.25499200668,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:38:00,13:38:00,818767,9,,0,0,3370.40653276005,1,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:43:00,13:43:00,2574369,10,,0,0,5423.76190408489,1,,,,,1,1,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:45:00,13:45:00,816167,11,,0,0,5881.47736382557,1,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2574355,12,,1,1,6232.09375600506,0,,,,,1,1,,,,,,,,,,,
t_5372461_b_78143_tn_0,,,2574338,13,,1,1,6560.87867435812,0,,,,,3,3,,,,,,,,,,,
t_5372461_b_78143_tn_0,13:50:00,13:50:00,816156,14,,0,0,6735.54825694999,1,,,,,3,3,,,,,,,,,,,
t_5372462_b_78143_tn_0,10:50:00,10:50:00,816094,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_5372462_b_78143_tn_0,10:52:00,10:52:00,2559121,2,,0,0,395.910272703301,1,,,,,3,3,,,,,,,,,,,
t_5372462_b_78143_tn_0,10:55:00,10:55:00,816093,3,,0,0,3039.51234292028,1,,,,,3,3,,,,,,,,,,,
t_5372462_b_78143_tn_0,11:00:00,11:00:00,2383936,4,,0,0,5392.46022729428,1,,,,,3,3,,,,,,,,,,,
t_5372462_b_78143_tn_0,11:03:00,11:03:00,816092,5,,0,0,6957.40016902674,1,,,,,3,3,,,,,,,,,,,
