timetable_id,stop_id,stop_sequence,stop_name,connected_routes
3298,816028,1,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3298,816038,2,Stobbs Drive and North Avenue,10/Attleboro/N. Attleborough
3298,816043,3,Triboro Plaza,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3298,816053,4,Elm Terrace,10/Attleboro/N. Attleborough
3298,2577987,5,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3298,816051,6,Stop and Shop,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3298,816054,7,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3299,816054,1,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3299,816051,2,Stop and Shop,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3299,2577987,3,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3299,816053,4,Elm Terrace,10/Attleboro/N. Attleborough
3299,816043,5,Triboro Plaza,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3299,818215,6,Stobbs Drive and North Avenue,10/Attleboro/N. Attleborough
3299,816028,7,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3300,816028,1,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3300,816038,2,Stobbs Drive and North Avenue,10/Attleboro/N. Attleborough
3300,816043,3,Triboro Plaza,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3300,816053,4,Elm Terrace,10/Attleboro/N. Attleborough
3300,2577987,5,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3300,816051,6,Stop and Shop,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3300,816054,7,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3301,816054,1,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3301,816051,2,Stop and Shop,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3301,2577987,3,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3301,816053,4,Elm Terrace,10/Attleboro/N. Attleborough
3301,816043,5,Triboro Plaza,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3301,818215,6,Stobbs Drive and North Avenue,10/Attleboro/N. Attleborough
3301,816028,7,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3302,816054,1,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3302,816031,2,Target,11/South Attleboro Connector
3302,816037,3,Walmart,"11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3302,816030,4,MarketPlace Square,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3302,816036,5,Washington Street and Highland Avenue,"11/South Attleboro Connector, 24/Attleboro/Pawtucket RI"
3302,816035,6,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3302,2332283,7,Market Basket,"11/South Attleboro Connector, 16/Seekonk/Attleboro"
3303,2332283,1,Market Basket,"11/South Attleboro Connector, 16/Seekonk/Attleboro"
3303,818701,2,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3303,818702,3,Washington Street and Highland Street,"11/South Attleboro Connector, 24/Attleboro/Pawtucket RI"
3303,816030,4,MarketPlace Square,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3303,816037,5,Walmart,"11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3303,816031,6,Target,11/South Attleboro Connector
3303,816054,7,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3304,816054,1,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3304,816031,2,Target,11/South Attleboro Connector
3304,816037,3,Walmart,"11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3304,816030,4,MarketPlace Square,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3304,816036,5,Washington Street and Highland Avenue,"11/South Attleboro Connector, 24/Attleboro/Pawtucket RI"
3304,816035,6,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3304,2332283,7,Market Basket,"11/South Attleboro Connector, 16/Seekonk/Attleboro"
3305,2332283,1,Market Basket,"11/South Attleboro Connector, 16/Seekonk/Attleboro"
3305,818701,2,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3305,818702,3,Washington Street and Highland Street,"11/South Attleboro Connector, 24/Attleboro/Pawtucket RI"
3305,816030,4,MarketPlace Square,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3305,816037,5,Walmart,"11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3305,816031,6,Target,11/South Attleboro Connector
3305,816054,7,Emerald Square Mall,"10/Attleboro/N. Attleborough, 11/South Attleboro Connector, 12/Attleboro/South Attleboro"
3306,816028,1,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3306,816039,2,Attleboro High School,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3306,4149352,3,South Ave & Tiffany St,12/Attleboro/South Attleboro
3306,818704,4,Newport Avenue and Highland Avenue,12/Attleboro/South Attleboro
3306,816182,5,Fuller Hospital ,12/Attleboro/South Attleboro
3306,816035,6,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3306,816034,7,Broadway and Benefit Street,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3307,816034,1,Broadway and Benefit Street,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3307,818701,2,Brown Street and Mendon Road,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3307,816182,3,Fuller Hospital ,12/Attleboro/South Attleboro
3307,818704,4,Newport Avenue and Highland Avenue,12/Attleboro/South Attleboro
3307,4149353,5,South Ave & Tiffany St,12/Attleboro/South Attleboro
3307,816028,6,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3308,816028,1,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3308,4149352,2,South Ave & Tiffany St,12/Attleboro/South Attleboro
3308,818704,3,Newport Avenue and Highland Avenue,12/Attleboro/South Attleboro
3308,816182,4,Fuller Hospital ,12/Attleboro/South Attleboro
3308,816034,5,Broadway and Benefit Street,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3309,816034,1,Broadway and Benefit Street,"11/South Attleboro Connector, 12/Attleboro/South Attleboro, 24/Attleboro/Pawtucket RI"
3309,816182,2,Fuller Hospital ,12/Attleboro/South Attleboro
3309,818704,3,Newport Avenue and Highland Avenue,12/Attleboro/South Attleboro
3309,4149353,4,South Ave & Tiffany St,12/Attleboro/South Attleboro
3309,816028,5,Attleboro Transit Center,"10/Attleboro/N. Attleborough, 12/Attleboro/South Attleboro, 14/North Attleborough/Plainville, 15/Sturdy Hospital/La Salette, 16/Seekonk/Attleboro, 18/Taunton/Norton/Attleboro, 24/Attleboro/Pawtucket RI, /GATRA GO Coastline, /GATRA GO Connect, /GATRA GO Explore, /GATRA GO United, /Miles for Health Local, /Miles for Health Long Distance"
3310,2577987,1,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3310,816052,2,Circle Court,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3310,4149376,3,Sunset Acres,14/North Attleborough/Plainville
3310,816042,4,Plainville Council on Aging (COA),14/North Attleborough/Plainville
3310,4149398,5,Sturdy Memorial Urgent Care,14/North Attleborough/Plainville
3310,4149399,6,Plainridge Casino,14/North Attleborough/Plainville
3310,4148000,7,Plainville Commons Marketplace,14/North Attleborough/Plainville
3311,4148000,1,Plainville Commons Marketplace,14/North Attleborough/Plainville
3311,4149375,2,Sturdy Memorial Urgent Care,14/North Attleborough/Plainville
3311,816042,3,Plainville Council on Aging (COA),14/North Attleborough/Plainville
3311,4149376,4,Sunset Acres,14/North Attleborough/Plainville
3311,816052,5,Circle Court,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3311,816051,6,Stop and Shop,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3311,2577987,7,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3312,2577987,1,North Hub,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3312,816052,2,Circle Court,"10/Attleboro/N. Attleborough, 14/North Attleborough/Plainville"
3312,4149376,3,Sunset Acres,14/North Attleborough/Plainville
3312,4149398,4,Sturdy Memorial Urgent Care,14/North Attleborough/Plainville
3312,4149399,5,Plainridge Casino,14/North Attleborough/Plainville
3312,4148000,6,Plainville Commons Marketplace,14/North Attleborough/Plainville
3313,4148000,1,Plainville Commons Marketplace,14/North Attleborough/Plainville
3313,4149375,2,Sturdy Memorial Urgent Care,14/North Attleborough/Plainville
