timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3298,3484,0,20220718,20230228,1,1,1,1,1,0,0,Attleboro/N. Attleborough,Weekday,Outbound,horizontal,,
3299,3484,1,20220718,20230228,1,1,1,1,1,0,0,Attleboro/N. Attleborough,Weekday,Inbound,horizontal,,
3300,3484,0,20220718,20230228,0,0,0,0,0,1,0,Attleboro/N. Attleborough,Saturday only,Outbound,horizontal,,
3301,3484,1,20220718,20230228,0,0,0,0,0,1,0,Attleboro/N. Attleborough,Saturday only,Inbound,horizontal,,
3302,3485,0,20220718,20230228,1,1,1,1,1,0,0,South Attleboro Connector,Weekday,Outbound,horizontal,,
3303,3485,1,20220718,20230228,1,1,1,1,1,0,0,South Attleboro Connector,Weekday,Inbound,horizontal,,
3304,3485,0,20220718,20230228,0,0,0,0,0,1,0,South Attleboro Connector,Saturday only,Outbound,horizontal,,
3305,3485,1,20220718,20230228,0,0,0,0,0,1,0,South Attleboro Connector,Saturday only,Inbound,horizontal,,
3306,3486,0,20221003,20230228,1,1,1,1,1,0,0,Attleboro/South Attleboro,Weekday,Outbound,horizontal,,
3307,3486,1,20221003,20230228,1,1,1,1,1,0,0,Attleboro/South Attleboro,Weekday,Inbound,horizontal,,
3308,3486,0,20221003,20230228,0,0,0,0,0,1,0,Attleboro/South Attleboro,Saturday only,Outbound,horizontal,,
3309,3486,1,20221003,20230228,0,0,0,0,0,1,0,Attleboro/South Attleboro,Saturday only,Inbound,horizontal,,
3310,3487,0,20221003,20230228,1,1,1,1,1,0,0,North Attleborough/Plainville,Weekday,Outbound,horizontal,,
3311,3487,1,20221003,20230228,1,1,1,1,1,0,0,North Attleborough/Plainville,Weekday,Inbound,horizontal,,
3312,3487,0,20221003,20230228,0,0,0,0,0,1,0,North Attleborough/Plainville,Saturday only,Outbound,horizontal,,
3313,3487,1,20221003,20230228,0,0,0,0,0,1,0,North Attleborough/Plainville,Saturday only,Inbound,horizontal,,
3314,3488,0,20220718,20230228,1,1,1,1,1,0,0,Sturdy Hospital/La Salette,Weekday,Outbound,horizontal,,
3315,3488,1,20220718,20230228,1,1,1,1,1,0,0,Sturdy Hospital/La Salette,Weekday,Inbound,horizontal,,
3316,3488,0,20220718,20230228,0,0,0,0,0,1,0,Sturdy Hospital/La Salette,Saturday only,Outbound,horizontal,,
3317,3488,1,20220718,20230228,0,0,0,0,0,1,0,Sturdy Hospital/La Salette,Saturday only,Inbound,horizontal,,
3318,3489,0,20220718,20230228,1,1,1,1,1,0,0,Seekonk/Attleboro,Weekday,Outbound,horizontal,,
3319,3489,1,20220718,20230228,1,1,1,1,1,0,0,Seekonk/Attleboro,Weekday,Inbound,horizontal,,
3320,3489,0,20220718,20230228,0,0,0,0,0,1,0,Seekonk/Attleboro,Saturday only,Outbound,horizontal,,
3321,3489,1,20220718,20230228,0,0,0,0,0,1,0,Seekonk/Attleboro,Saturday only,Inbound,horizontal,,
3322,3490,0,20220718,20230228,1,1,1,1,1,0,0,Taunton/Norton/Attleboro,Weekday,Outbound,horizontal,,
3323,3490,1,20220718,20230228,1,1,1,1,1,0,0,Taunton/Norton/Attleboro,Weekday,Inbound,horizontal,,
3324,3490,0,20220718,20230228,0,0,0,0,0,1,0,Taunton/Norton/Attleboro,Saturday only,Outbound,horizontal,,
3325,3490,1,20220718,20230228,0,0,0,0,0,1,0,Taunton/Norton/Attleboro,Saturday only,Inbound,horizontal,,
3338,3504,1,20210608,20221101,1,1,1,1,1,0,0,Marshfield/Duxbury/Kingston,Weekday,Southbound,horizontal,,
3339,3504,0,20210608,20221101,1,1,1,1,1,0,0,Marshfield/Duxbury/Kingston,Weekday,Northbound,horizontal,,
3340,3504,1,20210608,20221101,0,0,0,0,0,1,0,Marshfield/Duxbury/Kingston,Saturday only,Southbound,horizontal,,
3341,3504,0,20210608,20221101,0,0,0,0,0,1,0,Marshfield/Duxbury/Kingston,Saturday only,Northbound,horizontal,,
3342,3505,0,20210611,20221101,1,1,1,1,1,0,0,Medway T Shuttle,Weekday,Outbound,horizontal,,
3343,3505,1,20210611,20221101,1,1,1,1,1,0,0,Medway T Shuttle,Weekday,Inbound,horizontal,,
3344,3507,0,20210405,20221101,1,0,1,0,1,0,0,Middleborough-Taunton Connection,MWF,Outbound,horizontal,,
3345,3507,1,20210405,20221101,1,0,1,0,1,0,0,Middleborough-Taunton Connection,MWF,Inbound,horizontal,,
3346,3501,0,20210405,20221101,1,1,1,1,1,0,0,Downtown Middleborough Shuttle,Weekday,Northbound,horizontal,,
3347,3501,1,20210405,20221101,1,1,1,1,1,0,0,Downtown Middleborough Shuttle,Weekday,Southbound,horizontal,,
3356,3497,0,20210608,20221101,1,1,1,1,1,0,0,Wareham/Onset/Wareham,Weekday,Outbound,horizontal,,
3357,3497,0,20210608,20221101,0,0,0,0,0,1,0,Wareham/Onset/Wareham,Saturday only,Outbound,horizontal,,
3358,3498,0,20210608,20221101,1,1,1,1,1,0,0,Cranberry Plaza To Buzzards Bay,Weekday,Outbound,horizontal,,
3359,3498,0,20210608,20221101,0,0,0,0,0,1,0,Cranberry Plaza To Buzzards Bay,Saturday only,Outbound,horizontal,,
3360,3497,1,20210608,20221101,1,1,1,1,1,0,0,Wareham/Onset/Wareham,Weekday,Inbound,horizontal,,
3361,3497,1,20210608,20221101,0,0,0,0,0,1,0,Wareham/Onset/Wareham,Saturday only,Inbound,horizontal,,
3362,3498,1,20210608,20221101,1,1,1,1,1,0,0,Cranberry Plaza To Buzzards Bay,Weekday,Inbound,horizontal,,
3363,3498,1,20210608,20221101,0,0,0,0,0,1,0,Cranberry Plaza To Buzzards Bay,Saturday only,Inbound,horizontal,,
