agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
668,6246,1,Route 1,,3,http://gogbt.com/routes-schedules-maps/route-1,2b458b,ffffff,0,,0,1,1,,
668,6250,3,Route 3,,3,http://gogbt.com/routes-schedules-maps/route-3,6fa493,ffffff,1,,0,1,1,,
668,6263,15,Route 15,,3,http://gogbt.com/routes-schedules-maps/route-15,cb6f6f,ffffff,11,,0,1,1,,
668,6249,17,Route 17,,3,http://gogbt.com/routes-schedules-maps/route-17,9077ac,ffffff,13,,0,1,1,,
668,6248,19X,Route 19X,,3,http://gogbt.com/routes-schedules-maps/route-19x,6b4a91,ffffff,14,,0,1,1,,
668,6258,22X,Route 22x,,3,http://gogbt.com/routes-schedules-maps/route-22x,6b4a91,ffffff,16,,0,1,1,,
668,6256,23,Route 23,,3,http://gogbt.com/routes-schedules-maps/route-23,32af47,ffffff,17,,0,1,1,,
668,6247,CL,Coastal Link,,3,http://gogbt.com/routes-schedules-maps/coastal-link,0f54a0,ffffff,18,,0,1,1,,
668,6254,4,Route 4,,3,http://gogbt.com/routes-schedules-maps/route-4,ffbb2c,000000,2,,0,1,1,,
668,6259,5,Route 5,,3,http://gogbt.com/routes-schedules-maps/route-ruta-5,52139e,ffffff,3,,0,1,1,,
668,6251,6,Route 6,,3,http://gogbt.com/routes-schedules-maps/route-6,b82a77,ffffff,4,,0,1,1,,
668,6252,7,Route 7,,3,http://gogbt.com/routes-schedules-maps/route-7,d36e1e,ffffff,5,,0,1,1,,
668,6253,8,Route 8,,3,http://gogbt.com/routes-schedules-maps/route-8,056d53,ffffff,6,,0,1,1,,
668,6255,9,Route 9,,3,http://gogbt.com/routes-schedules-maps/route-9,529abd,ffffff,7,,0,1,1,,
668,6257,10,Route 10,,3,http://gogbt.com/routes-schedules-maps/route-10,b0c53c,ffffff,8,,0,1,1,,
668,6261,13,Route 13,,3,http://gogbt.com/routes-schedules-maps/route-13,f9a25b,ffffff,9,,0,1,1,,
