runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_2831_b_2279_d_31,12707,1,1,t_90792_b_2279_tn_0,2334067,t_213304_b_2279_tn_0,2334248
1000000,c_2831_b_2279_d_31,8778,10,1,t_90714_b_2279_tn_0,2333826,t_90731_b_2279_tn_0,2334064
10000000,c_2831_b_2279_d_64,8872,100,1,t_92128_b_2279_tn_0,2333826,t_92134_b_2279_tn_0,2333825
10100000,c_2831_b_2279_d_64,8873,101,1,t_91954_b_2279_tn_0,2333770,t_91970_b_2279_tn_0,2333757
10200000,c_2831_b_2279_d_64,8874,102,1,t_91968_b_2279_tn_0,2333758,t_91936_b_2279_tn_0,2333770
10300000,c_2831_b_2279_d_64,8875,103,1,t_91986_b_2279_tn_0,2333603,t_92118_b_2279_tn_0,2334153
10400000,c_2831_b_2279_d_64,8876,104,1,t_92127_b_2279_tn_0,2333798,t_92117_b_2279_tn_0,2334153
1100000,c_2831_b_2279_d_31,8779,11,1,t_90713_b_2279_tn_0,2333826,t_1342612_b_2279_tn_0,2333599
1200000,c_2831_b_2279_d_31,8780,12,1,t_90712_b_2279_tn_0,2333826,t_90724_b_2279_tn_0,2334064
1300000,c_2831_b_2279_d_31,8782,13,1,t_90874_b_2279_tn_0,2333758,t_90813_b_2279_tn_0,2333757
1400000,c_2831_b_2279_d_31,8785,14,1,t_91167_b_2279_tn_0,2334687,t_91187_b_2279_tn_0,2334687
1500000,c_2831_b_2279_d_31,8786,15,1,t_90877_b_2279_tn_0,2334324,t_91129_b_2279_tn_0,2334076
1600000,c_2831_b_2279_d_31,8787,16,1,t_90876_b_2279_tn_0,2333650,t_90882_b_2279_tn_0,2333650
1700000,c_2831_b_2279_d_31,8788,17,1,t_91022_b_2279_tn_0,2334687,t_91030_b_2279_tn_0,2333475
1800000,c_2831_b_2279_d_31,8790,18,1,t_90590_b_2279_tn_0,2334153,t_90582_b_2279_tn_0,2333598
1900000,c_2831_b_2279_d_31,8792,19,1,t_91195_b_2279_tn_0,2333758,t_90812_b_2279_tn_0,2333757
200000,c_2831_b_2279_d_31,12708,2,1,t_90791_b_2279_tn_0,2334067,t_91016_b_2279_tn_0,2334370
2000000,c_2831_b_2279_d_31,8793,20,1,t_90870_b_2279_tn_0,2334173,t_91288_b_2279_tn_0,2333474
2100000,c_2831_b_2279_d_31,8794,21,1,t_90563_b_2279_tn_0,2333798,t_90580_b_2279_tn_0,2333598
2200000,c_2831_b_2279_d_31,8795,22,1,t_90943_b_2279_tn_0,2333506,t_91294_b_2279_tn_0,2333474
2300000,c_2831_b_2279_d_31,8796,23,1,t_91166_b_2279_tn_0,2334687,t_91172_b_2279_tn_0,2334687
2400000,c_2831_b_2279_d_31,8798,24,1,t_90945_b_2279_tn_0,2335786,t_90816_b_2279_tn_0,2334173
2500000,c_2831_b_2279_d_31,8799,25,1,t_90875_b_2279_tn_0,2333650,t_90871_b_2279_tn_0,2334173
2600000,c_2831_b_2279_d_31,8800,26,1,t_91252_b_2279_tn_0,2334173,t_91253_b_2279_tn_0,2333599
2700000,c_2831_b_2279_d_31,8801,27,1,t_91137_b_2279_tn_0,2333770,t_90860_b_2279_tn_0,2333978
2800000,c_2831_b_2279_d_31,8802,28,1,t_90589_b_2279_tn_0,2334153,t_90564_b_2279_tn_0,2333598
2900000,c_2831_b_2279_d_31,8803,29,1,t_90869_b_2279_tn_0,2334173,t_91127_b_2279_tn_0,2334076
300000,c_2831_b_2279_d_31,12709,3,1,t_213347_b_2279_tn_0,2333602,t_213318_b_2279_tn_0,2334067
3000000,c_2831_b_2279_d_31,8804,30,1,t_90562_b_2279_tn_0,2333798,t_90565_b_2279_tn_0,2333798
3100000,c_2831_b_2279_d_31,8805,31,1,t_91023_b_2279_tn_0,2334687,t_91061_b_2279_tn_0,2333650
3200000,c_2831_b_2279_d_31,8806,32,1,t_91081_b_2279_tn_0,2333475,t_90972_b_2279_tn_0,2334687
3300000,c_2831_b_2279_d_31,8807,33,1,t_91056_b_2279_tn_0,2333650,t_91249_b_2279_tn_0,2334687
3400000,c_2831_b_2279_d_31,8808,34,1,t_90857_b_2279_tn_0,2333650,t_90504_b_2279_tn_0,2333477
3500000,c_2831_b_2279_d_31,8809,35,1,t_91318_b_2279_tn_0,2333650,t_90769_b_2279_tn_0,2334538
3600000,c_2831_b_2279_d_31,8810,36,1,t_1342599_b_2279_tn_0,2333599,t_1342608_b_2279_tn_0,2333599
3700000,c_2831_b_2279_d_31,8812,37,1,t_91055_b_2279_tn_0,2333650,t_91025_b_2279_tn_0,2333475
3800000,c_2831_b_2279_d_31,8813,38,1,t_91270_b_2279_tn_0,2334173,t_90768_b_2279_tn_0,2333825
3900000,c_2831_b_2279_d_31,8814,39,1,t_1343023_b_2279_tn_0,2333477,t_90522_b_2279_tn_0,2333477
400000,c_2831_b_2279_d_31,12710,4,1,t_90809_b_2279_tn_0,2333871,t_213319_b_2279_tn_0,2334370
4000000,c_2831_b_2279_d_31,8815,40,1,t_90536_b_2279_tn_0,2334687,t_91168_b_2279_tn_0,2334687
4100000,c_2831_b_2279_d_31,8816,41,1,t_1342602_b_2279_tn_0,2333599,t_90725_b_2279_tn_0,2333825
4200000,c_2831_b_2279_d_31,8819,42,1,t_90532_b_2279_tn_0,2333598,t_90570_b_2279_tn_0,2333798
4300000,c_2831_b_2279_d_31,8821,43,1,t_90531_b_2279_tn_0,2333598,t_90568_b_2279_tn_0,2333598
4400000,c_2831_b_2279_d_31,8822,44,1,t_90735_b_2279_tn_0,2333599,t_90720_b_2279_tn_0,2333599
4500000,c_2831_b_2279_d_31,8823,45,1,t_90944_b_2279_tn_0,2333506,t_91218_b_2279_tn_0,2333601
4600000,c_2831_b_2279_d_31,8824,46,1,t_90711_b_2279_tn_0,2333601,t_91221_b_2279_tn_0,2333601
