stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2333474,1393,C-3,Bridgeport Transportation Center,,41.18108,-73.187233,,,0,2382213,,,,0,
2333475,1394,C-4,Bridgeport Transportation Center,,41.181244,-73.187195,,,0,2382213,,,,0,
2333476,1395,C-5,Bridgeport Transportation Center,,41.181408,-73.187149,,,0,2382213,,,,0,
2333477,1396,C-6,Bridgeport Transportation Center,,41.181568,-73.18708,,,0,2382213,,,,0,
2333478,1397,,Trapp Falls Rd. at Opposite Heather Ridge,,41.270084,-73.133286,,,0,,America/New_York,,,0,
2333479,1410,,Trumbull Ave at Opposite 505 Trumbull Ave.,,41.220486,-73.196144,,,0,,America/New_York,,,0,
2333480,1411,,Trumbull Ave at 610 Trumbull Ave.,,41.219803,-73.198395,,,0,,America/New_York,,,0,
2333481,1412,,Trumbull Ave at 730 Trumbull Ave.,,41.219254,-73.200165,,,0,,America/New_York,,,0,
2333482,1215,,Post Rd. West at Opposite 375 Post Rd. West,,41.129734,-73.378624,,,0,,America/New_York,,,0,
2333483,1216,,Post Rd. West at Kings Hwy. North,,41.136417,-73.370705,,,0,,America/New_York,,,0,
2333484,1217,,Post Rd. West at Opposite Kings Hwy. North,,41.135963,-73.371185,,,0,,America/New_York,,,0,
2333485,1218,,Post Rd. West at Kings Hwy. South,,41.131729,-73.375122,,,0,,America/New_York,,,0,
2333486,1219,,Post Rd. West at Opposite Kings Hwy. South,,41.131939,-73.375221,,,0,,America/New_York,,,0,
2333487,1220,,Post Rd. West at Lincoln St.,,41.137821,-73.36676,,,0,,America/New_York,,,0,
2333488,1221,,Post Rd. West at Ludlow Rd.,,41.138229,-73.366539,,,0,,America/New_York,,,0,
2333489,1222,,Post Rd. West at Main St.,,41.141304,-73.361786,,,0,,America/New_York,,,0,
2333490,1223,,Post Rd. East at Opposite Main St.,,41.141201,-73.361649,,,0,,America/New_York,,,0,
2333491,1224,,Post Rd. West at Myrtle Ave.,,41.141541,-73.358536,,,0,,America/New_York,,,0,
2333492,1225,,Post Rd. West at Wright St.,,41.140228,-73.364708,,,0,,America/New_York,,,0,
2333493,1226,,Post Rd. West at Sylvan Rd. North,,41.134892,-73.372406,,,0,,America/New_York,,,0,
2333494,1227,,Post Rd. West at Sylvan Rd. South,,41.134487,-73.372467,,,0,,America/New_York,,,0,
2333495,1228,,Post Rd. West at Wilton Rd.,,41.140755,-73.364349,,,0,,America/New_York,,,0,
2333496,1239,,Quality St. at Trumbull Town Hall,,41.256035,-73.217377,,,0,,America/New_York,,,0,
2333497,1240,,Quality St. at Trumbull Town Hall,,41.256176,-73.218346,,,0,,America/New_York,,,0,
2333498,1243,,Research Dr. at Opposite Optimum,,41.275455,-73.135262,,,0,,America/New_York,,,0,
2333499,1244,,Research Dr. at Progress Dr.,,41.272095,-73.134033,,,0,,America/New_York,,,0,
2333500,1245,,Reservoir Ave. at Clover Hill Ave.,,41.222931,-73.193756,,,0,,America/New_York,,,0,
2333501,1246,,Reservoir Ave. at Old Town Rd.,,41.227051,-73.195122,,,0,,America/New_York,,,0,
2333502,1247,,Reservoir Ave. at Old Town Rd.,,41.227001,-73.195274,,,0,,America/New_York,,,0,
2333503,1248,,Reservoir Ave. at Opposite Wilbur Cross School,,41.225231,-73.194679,,,0,,America/New_York,,,0,
2333504,1249,,Reservoir Ave. at Rainbow Rd.,,41.223381,-73.194107,,,0,,America/New_York,,,0,
2333505,1250,,Reservoir Ave. at Sylvan Ave.,,41.208572,-73.192123,,,0,,America/New_York,,,0,
2333506,1251,,Reservoir Ave. at Trumbull Ave.,,41.22142,-73.193314,,,0,,America/New_York,,,0,
2333507,1252,,Reservoir Ave. at Wilbur Cross School,,41.224949,-73.194725,,,0,,America/New_York,,,0,
2333508,1253,,River Rd. at 770 River Rd. (Centrix Building),,41.265972,-73.093445,,,0,,America/New_York,,,0,
2333509,1254,,River Rd. at Opposite 770 River Rd.,,41.266293,-73.093475,,,0,,America/New_York,,,0,
2333510,1255,,River Rd. at Long Hill Ave.,,41.262012,-73.095573,,,0,,America/New_York,,,0,
2333511,1256,,River Rd. at Opposite Long Hill Ave.,,41.261955,-73.09539,,,0,,America/New_York,,,0,
2333512,1257,,River St. at Milford City Hall,,41.225174,-73.057381,,,0,,America/New_York,,,0,
2333513,1258,,River St. at Milford Railroad Station,,41.223236,-73.057045,,,0,,America/New_York,,,0,
2333514,1259,,River St. at Milford Railroad Station,,41.22353,-73.057365,,,0,,America/New_York,,,0,
2333515,1260,,River St. at Prospect St.,,41.226025,-73.056625,,,0,,America/New_York,,,0,
2333516,1261,,Ryon St. at Soundview Ave.,,41.217106,-73.196396,,,0,,America/New_York,,,0,
2333517,1262,,Ryon St. at Soundview Ave.,,41.217274,-73.196136,,,0,,America/New_York,,,0,
2333518,1265,,Saint Stephen's Rd. at Wordin Ave.,,41.162674,-73.216934,,,0,,America/New_York,,,0,
2333519,1266,,Saint Stephen's Rd. at Yacht St.,,41.159988,-73.216507,,,0,,America/New_York,,,0,
2333520,1268,,Seaview at Beardsley St.,,41.174953,-73.172035,,,0,,America/New_York,,,0,
2333521,1269,,Seaview at Dekalb Ave.,,41.170616,-73.171768,,,0,,America/New_York,,,0,
2333522,1270,,Seaview at Jefferson St.,,41.172501,-73.171242,,,0,,America/New_York,,,0,
2333523,1271,,Seaview Ave. at Opposite Beardsley St.,,41.175156,-73.172356,,,0,,America/New_York,,,0,
2333524,1272,,Seaview Ave. at Opposite Dekalb Ave.,,41.170933,-73.172012,,,0,,America/New_York,,,0,
2333525,1273,,Seaview Ave. at Opposite Jefferson St.,,41.17297,-73.171524,,,0,,America/New_York,,,0,
2333526,1274,,Seaview Ave. at Opposite Newfield Ave.,,41.169785,-73.170807,,,0,,America/New_York,,,0,
2333527,1275,,Second Hill Ln. at Briarfield Dr.,,41.217827,-73.151466,,,0,,America/New_York,,,0,
2333528,1276,,Second Hill Ln. at Broadbridge Ave.,,41.215202,-73.156265,,,0,,America/New_York,,,0,
2333529,1277,,Second Hill Ln. at Mcleod Pl.,,41.218552,-73.150612,,,0,,America/New_York,,,0,
2333530,1278,,Second Hill Ln. at Russell Rd.,,41.217548,-73.154099,,,0,,America/New_York,,,0,
2333531,1279,,Second Hill Ln. at Second Hill Ln.,,41.216969,-73.155586,,,0,,America/New_York,,,0,
2333532,1280,,Post Rd. at Opposite 417 Post Rd.,,41.14999,-73.24263,,,0,,America/New_York,,,0,
