stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1111,,Aberdeen Transit Center,,46.975978,-123.81516,ghc,,,,,
2222,,Hoquiam Transit Center,,46.9776080292127,-123.886494934558,ghc,,,,,
4444,,W Hoquiam Emerson & O St,,46.980972,-123.901166,ghc,,,,,
7777,,Montesano Tansit Center,,46.979709,-123.59902,ghc,,,,,
20000,,Wishkah at Broadway,,46.974475,-123.817664,ghc,,,,,
20004,,Wishkah at L,,46.973195,-123.820194,ghc,,,,,
20008,,Wishkah at M,,46.972379,-123.821768,ghc,,,,,
20012,,Wishkah at Michigan,,46.971223,-123.823998,ghc,,,,,
20016,,Alder at 1st,,46.972263,-123.826518,ghc,,,,,
20020,,Alder at 2nd,,46.973163,-123.827588,ghc,,,,,
20024,,Alder at 4th,,46.974798,-123.829349,ghc,,,,,
20028,,Sumner at Thornton,,46.976107,-123.833429,ghc,,,,,
20032,,Sumner and Scammel,,46.976106,-123.836783,ghc,,,,,
20036,,Sumner at Conger,,46.976114,-123.838783,ghc,,,,,
20040,,Sumner at Haight,,46.97614,-123.841468,ghc,,,,,
20044,,Sumner at Maple,,46.97612,-123.846488,ghc,,,,,
20048,,Sumner at Oak WestBound,,46.976146,-123.849271,ghc,,,,,
20052,,Aberdeen Community Hospital,,46.978935,-123.846568,ghc,,,,,
20056,,Anderson Dr. at Sunset,,46.981447,-123.84633,ghc,,,,,
20060,,Oak at Kaufman,,46.980803,-123.848891,ghc,,,,,
20064,,Oak at Sumner,,46.976228,-123.848744,ghc,,,,,
20068,,Sumner at Myrtle,,46.976153,-123.852509,ghc,,,,,
20072,,Sumner at 30th,,46.97617,-123.856598,ghc,,,,,
20076,,Sumner at 28th,,46.976188,-123.860799,ghc,,,,,
20080,,Sumner at Ontario,,46.976234,-123.865758,ghc,,,,,
20084,,Sumner at 25th,,46.976223,-123.867839,ghc,,,,,
20085,,Market and N Jefferson St,,46.972822,-123.823426,ghc,,,,,
20088,,Sumner at 23rd,,46.976263,-123.871622,ghc,,,,,
20092,,Sumner at 21st,,46.976267,-123.874534,ghc,,,,,
20096,,Lincoln at Dion,,46.991132,-123.885605,ghc,,,,,
20104,,Marion at Perry,,46.9928408473452,-123.8891851902,ghc,,,,,
20106,,N Hoquiam Perry & Queen,,46.993185,-123.89357,ghc,,,,,
20108,,Lincoln at Wood,,46.991688,-123.885816,ghc,,,,,
20112,,Lincoln at Smith,,46.989294,-123.885579,ghc,,,,,
20116,,Lincoln at Grand,,46.986886,-123.885915,ghc,,,,,
20120,,Lincoln at Karr,,46.98198,-123.885792,ghc,,,,,
20124,,Emerson at Jefferson,,46.9810136040671,-123.887393474578,ghc,,,,,
