route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,mtwtf,R5_T01,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T02,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T03,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T04,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T05,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T06,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T07,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T08,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T09,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T10,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T11,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T12,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T13,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T14,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T15,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T16,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T17,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T18,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T19,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T20,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T21,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T22,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T23,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T24,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T25,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T26,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T27,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T28,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T29,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T30,Downtown Shuttle,0,12,200,1,1
5,mtwtf,R5_T31,Downtown Shuttle,0,12,200,1,1
10N,mtwtf,R10N_a_0800_T01,,0,,10A_all,1,1
10N,mtwtf,R10N_a_0800_T02,,0,,10A_all,1,1
