agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
2284,32661,1,Town Park - Hospital,,3,http://www.hartransit.com/routes/citybus/1-route,0773e0,ffffff,0,,0,1,1,,
2284,41289,,7 Link,,3,,00befd,000000,0,,0,1,1,,
2284,48972,,Hospital - Danbury Mall,,3,,eeab4f,,0,60,0,1,1,,
2284,49454,,South St - Newtown Rd,,3,,a025cf,,0,60,0,1,1,,
2284,65146,,New Milford - Danbury,,3,,2fd73e,,0,60,0,1,1,,
2284,65507,,Danbury - Brewster,,3,,cf35e7,,0,60,0,1,1,,
2284,67910,,Ridgefield - Katonah,,3,,b5e550,,0,,0,1,1,,
2284,67911,,New Fairfield - Southeast,,3,,ec29ae,,0,,0,1,1,,
2284,32696,2,Newtown Rd - Stony Hill,,3,http://www.hartransit.com/routes/citybus/2-route,cc359a,ffffff,1,,0,1,1,,
2284,32697,3,Mill Plain Rd - Brewster,,3,http://www.hartransit.com/routes/citybus/3-route,fe8a1c,ffffff,2,,0,1,1,,
2284,32698,4,Brookfield - YMCA,,3,http://www.hartransit.com/routes/citybus/4-route,fe1c1e,ffffff,3,60,0,1,1,,
2284,32699,5,Bethel Center,,3,http://www.hartransit.com/routes/citybus/5-route,b07337,ffffff,4,,0,1,1,,
2284,32700,6,Danbury Mall - Lake Ave,,3,http://www.hartransit.com/routes/citybus/6-route,744998,ffffff,5,60,0,1,1,,
2284,32701,7,New Milford - Rt 7,,3,http://www.hartransit.com/routes/citybus/7-route,74b037,ffffff,6,,0,1,1,,
