stop_id,stop_city
3453821,Danbury
3452140,Danbury
3453454,Danbury
3452113,Danbury
3452139,Danbury
3452166,Danbury
3453459,Danbury
3878365,New Fairfield
3452137,Danbury
3878366,New Fairfield
3452174,Danbury
3845089,Brookfield
3878377,New Milford
3452164,Danbury
3453472,Danbury
3452172,Danbury
3878364,Brewster Heights
3453439,Danbury
3453807,Danbury
3453449,Danbury
3453583,Danbury
3878385,Danbury
3453465,Danbury
3665669,Bethel
3860238,Ridgefield
3453652,Danbury
3570434,Wilton
3452171,Danbury
3572529,Danbury
3571831,Ridgefield
3845090,Brookfield
3452117,Danbury
3453450,Danbury
3453655,Danbury
3453726,Bethel
3452169,Danbury
3452176,Danbury
3453582,Danbury
3453586,Danbury
3453808,Danbury
3453823,Danbury
3453685,Danbury
3453464,Danbury
3453443,Danbury
3453440,Danbury
3453724,Bethel
3453467,Danbury
3453649,Danbury
3452159,Danbury
3878386,Brookfield
3452168,Danbury
3452145,Danbury
3661484,Danbury
3453641,Danbury
3453460,Danbury
3452167,Danbury
3452133,Danbury
3453581,Danbury
3665319,Danbury
3570958,Wilton
3878376,New Milford
3452173,Danbury
3452138,Danbury
3838299,New Milford
3659043,Danbury
3661834,Danbury
3453481,Danbury
3453590,Danbury
3453474,Danbury
3845961,Brookfield
3452147,Danbury
3453721,Danbury
3453462,Danbury
3665494,Danbury
3453644,Danbury
3664620,Danbury
3849791,Danbury
3452156,Danbury
3844566,New Milford
3850316,Village of Brewster
3452160,Danbury
3453678,Brookfield
3453675,Danbury
3859713,Town of Lewisboro
3453684,Brookfield
3453723,Danbury
3860063,Ridgefield
3453638,Danbury
3601771,Ridgefield
3665144,Danbury
3570084,Norwalk
3849967,Danbury
3453442,Danbury
3453640,Danbury
3453703,Danbury
3661485,Danbury
3453660,Danbury
3453720,Danbury
3453475,Danbury
3664795,Danbury
3452165,Danbury
3453456,Danbury
3453461,Danbury
3570259,Norwalk
3837949,Danbury
3878381,Brookfield
3660961,Danbury
3453677,Brookfield
3573230,Norwalk
3452136,Danbury
3452146,Danbury
3452170,Danbury
3453651,Danbury
3453642,Danbury
3452175,Danbury
3453476,Danbury
3452101,Danbury
3453471,Danbury
3453592,Bethel
3453741,Bethel
3878375,Danbury
3452100,Danbury
3453738,Bethel
3660786,Danbury
3601946,Ridgefield
3453585,Danbury
3453463,Danbury
3453805,Danbury
3573054,Wilton
3453445,Danbury
3838298,New Milford
3452162,Danbury
3453594,Bethel
3452143,Danbury
3453452,Danbury
3859888,Ridgefield
3453587,Danbury
3453736,Bethel
3453580,Danbury
3453725,Bethel
3453468,Danbury
3453478,Danbury
3453648,Danbury
3453477,Danbury
3659039,Danbury
3573055,Wilton
3453824,Danbury
3453470,Danbury
3571133,Wilton
3453441,Danbury
3453734,Bethel
3453466,Danbury
3878387,New Milford
3878384,Danbury
3878378,New Milford
3453446,Danbury
3572704,Ridgefield
3844391,New Milford
3452154,Danbury
3571308,Wilton
3453676,Danbury
3570783,Wilton
3452161,Danbury
3878380,Brookfield
3453822,Danbury
3453448,Danbury
3573053,Wilton
3659393,Danbury
3452163,Danbury
3878379,New Milford
3453658,Danbury
3452118,Danbury
3878382,Danbury
3878383,Brookfield
3878363,Katonah
3453589,Danbury
3453722,Danbury
3453735,Bethel
3849792,Danbury
3453646,Danbury
3453806,Danbury
3452107,Danbury
3846136,Brookfield
3878374,Danbury
3452158,Danbury
3453588,Danbury
3452144,Danbury
3572354,Ridgefield
3452141,Danbury
3844216,New Milford
3453584,Danbury
3664619,Bethel
