trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_2044023_b_33765_tn_0,06:05:00,06:05:00,3453478,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:06:11,06:06:11,3452133,2,,0,0,573.074387064235,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:06:40,06:06:40,3452136,3,,0,0,810.518794996045,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:07:32,06:07:32,3452137,4,,0,0,1229.22869396576,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:07:43,06:07:43,3452138,5,,0,0,1317.2212561709,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:08:25,06:08:25,3452139,6,,0,0,1656.48871076665,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:08:49,06:08:49,3452140,7,,0,0,1845.44066722048,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:09:05,06:09:05,3452141,8,,0,0,1980.42485549122,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:09:31,06:09:31,3452143,9,,0,0,2189.14407196446,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:10:00,06:10:00,3453481,10,,0,0,2415.54414862784,1,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:10:37,06:10:37,3452144,11,,0,0,2760.91581263086,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:11:07,06:11:07,3452145,12,,0,0,3032.91345891836,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:11:37,06:11:37,3452146,13,,0,0,3306.39371518133,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:11:55,06:11:55,3452147,14,,0,0,3471.10719189471,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:13:00,06:13:00,3453460,15,,2,3,4064.66344791951,1,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:14:04,06:14:04,3452154,16,,0,0,5076.82011686646,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:14:25,06:14:25,3452117,17,,0,0,5403.13670345322,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:14:38,06:14:38,3452100,18,,0,0,5607.7995912273,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:15:00,06:15:00,3452107,19,,0,0,5944.15804332554,1,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:15:42,06:15:42,3452156,20,,0,0,6209.50212409874,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:16:22,06:16:22,3452158,21,,0,0,6454.6356678505,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:17:04,06:17:04,3452159,22,,0,0,6715.72171041138,0,,,,,1,1,,,,,,,,,,,
t_2044023_b_33765_tn_0,06:18:14,06:18:14,3452160,23,,0,0,7145.14940052151,0,,,,,1,1,,,,,,,,,,,
