route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
32661,c_24166_b_33765_d_31,t_2044073_b_33765_tn_0,,Downtown Danbury,0,,p_1304956,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044056_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044057_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044058_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044059_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044060_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044061_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044062_b_33765_tn_0,,Downtown Danbury,0,,p_1304953,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044063_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044064_b_33765_tn_0,,Downtown Danbury,0,,p_1304953,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044065_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044066_b_33765_tn_0,,Downtown Danbury,0,,p_1304953,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044067_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044068_b_33765_tn_0,,Downtown Danbury,0,,p_1304783,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044069_b_33765_tn_0,,Downtown Danbury,0,,p_1304956,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044070_b_33765_tn_0,,Downtown Danbury,0,,p_1304956,,,,,,,,,,,,
32661,c_24166_b_33765_d_31,t_2044071_b_33765_tn_0,,Downtown Danbury,0,,p_1304956,,,,,,,,,,,,
