trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
12,06:30:00,06:30:00,1,0,1
12,,,52,1,0
12,,,53,2,0
12,,,54,3,0
12,,,55,4,0
12,,,56,5,0
12,,,57,6,0
12,,,58,7,0
12,,,59,8,0
12,,,60,9,0
12,,,61,10,0
12,06:48:00,06:48:00,62,11,1
12,,,63,12,0
12,,,64,13,0
12,,,65,14,0
12,06:55:00,06:55:00,66,15,1
12,,,67,16,0
12,,,68,17,0
12,,,69,18,0
12,,,70,19,0
12,07:05:00,07:05:00,71,20,1
12,,,72,21,0
12,,,73,22,0
12,07:15:00,07:15:00,74,23,1
12,,,75,24,0
12,,,76,25,0
12,,,77,26,0
12,,,78,27,0
12,07:22:00,07:22:00,79,28,1
12,,,80,29,0
12,,,81,30,0
12,,,82,31,0
12,07:29:00,07:29:00,83,32,1
12,,,84,33,0
12,,,85,34,0
12,,,86,35,0
12,,,87,36,0
12,,,54,37,0
12,,,55,38,0
12,,,56,39,0
12,,,57,40,0
12,,,88,41,0
12,08:00:00,08:00:00,1,42,1
13,15:30:00,15:30:00,1,0,1
13,,,52,1,0
13,,,53,2,0
13,,,54,3,0
13,,,55,4,0
13,,,56,5,0
13,,,57,6,0
13,,,58,7,0
13,,,59,8,0
13,,,60,9,0
13,,,61,10,0
13,15:48:00,15:48:00,62,11,1
13,,,63,12,0
13,,,64,13,0
13,,,65,14,0
13,15:55:00,15:55:00,66,15,1
13,,,67,16,0
13,,,68,17,0
13,,,69,18,0
13,,,70,19,0
13,16:05:00,16:05:00,71,20,1
13,,,72,21,0
13,,,73,22,0
13,16:15:00,16:15:00,74,23,1
13,,,75,24,0
13,,,76,25,0
13,,,77,26,0
13,,,78,27,0
13,16:22:00,16:22:00,79,28,1
13,,,80,29,0
13,,,81,30,0
13,,,82,31,0
13,16:29:00,16:29:00,83,32,1
13,,,84,33,0
13,,,85,34,0
13,,,86,35,0
13,,,87,36,0
13,,,54,37,0
13,,,55,38,0
13,,,56,39,0
13,,,57,40,0
13,,,88,41,0
13,17:05:00,17:05:00,1,42,1
14,17:05:00,17:05:00,1,0,1
14,,,52,1,0
14,,,53,2,0
14,,,54,3,0
14,,,55,4,0
14,,,56,5,0
14,,,57,6,0
14,,,58,7,0
14,,,59,8,0
14,,,60,9,0
14,,,61,10,0
14,17:23:00,17:23:00,62,11,1
14,,,63,12,0
14,,,64,13,0
14,,,65,14,0
14,17:30:00,17:30:00,66,15,1
14,,,67,16,0
14,,,68,17,0
14,,,69,18,0
14,,,70,19,0
14,17:40:00,17:40:00,71,20,1
14,,,72,21,0
14,,,73,22,0
14,17:50:00,17:50:00,74,23,1
14,,,75,24,0
14,,,76,25,0
14,,,77,26,0
14,,,78,27,0
14,17:57:00,17:57:00,79,28,1
14,,,80,29,0
14,,,81,30,0
14,,,82,31,0
14,18:04:00,18:04:00,83,32,1
14,,,84,33,0
14,,,85,34,0
14,,,86,35,0
14,,,87,36,0
14,,,54,37,0
14,,,55,38,0
14,,,56,39,0
14,,,57,40,0
14,,,88,41,0
14,18:35:00,18:35:00,1,42,1
15,18:35:00,18:35:00,1,0,1
15,,,52,1,0
15,,,53,2,0
15,,,54,3,0
15,,,55,4,0
15,,,56,5,0
15,,,57,6,0
15,,,58,7,0
15,,,59,8,0
15,,,60,9,0
15,,,61,10,0
15,18:53:00,18:53:00,62,11,1
15,,,63,12,0
15,,,64,13,0
15,,,65,14,0
15,19:00:00,19:00:00,66,15,1
15,,,67,16,0
15,,,68,17,0
15,,,69,18,0
15,,,70,19,0
15,19:10:00,19:10:00,71,20,1
15,,,72,21,0
15,,,73,22,0
15,19:20:00,19:20:00,74,23,1
15,,,75,24,0
15,,,76,25,0
15,,,77,26,0
15,,,78,27,0
15,19:27:00,19:27:00,79,28,1
15,,,80,29,0
15,,,81,30,0
15,,,82,31,0
15,19:34:00,19:34:00,83,32,1
15,,,84,33,0
15,,,85,34,0
15,,,86,35,0
15,,,87,36,0
15,,,54,37,0
15,,,55,38,0
