route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1,0,"1","1North - Wenatchee Avenue/Walmart",,3,http://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_1.php,F5841F,000000,1
2,0,"2","2 - East Wenatchee/Walmart",,3,https://linktransit.com/routes_and_schedules/wenatchee_routes/route_2.php,9f3293,ffffff,3
3,0,"3","3 - CWH/Saddle Rock",,3,http://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_3.php,0064B0,ffffff,4
4,0,"4","4 - Pybus Market/Riverside Dr",,3,http://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_4.php,28ce12,000000,5
5,0,"5","5 - Cherry/Western/Walmart",,3,http://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_5.php,FFCC33,000000,6
7,0,"7","7 - Washington/Valley North Center/Walma",,3,http://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_7.php,ED1D24,000000,7
8,0,"8","8 - Miller/Olds Station",,3,https://linktransit.com/routes_and_schedules/route_8.php,000000,ffffff,8
9,0,"9","9 - South Wenatchee/Lincoln Park",,3,https://linktransit.com/routes_and_schedules/route_9.php,28ce12,000000,9
11,0,"11","11 - East Wenatchee/Fred Meyer",,3,http://www.linktransit.com/routes_and_schedules/east_wenatchee_routes/route_11_east_wenatchee.php,0064B0,ffffff,11
12,0,"12","12 - East Wenatchee/Fred Meyer",,3,https://linktransit.com/routes_and_schedules/east_wenatchee_routes/route_12.php,ED1D24,000000,12
15,0,"15","1South - South Wenatchee Ave/Terminal St",,3,https://www.linktransit.com/routes_and_schedules/wenatchee_routes/route_1.php,F5841F,000000,2
18,0,"18","18 - East Wenatchee/CWH/WVC",,3,http://www.linktransit.com/routes_and_schedules/east_wenatchee_routes/route18.php,FFCC33,000000,18
21,0,"21","21 - Manson via Entiat",,3,http://www.linktransit.com/routes_and_schedules/intercity_routes/route_21_wenatchee_to_manson_via_entiat.php,00A850,ffffff,21
22,0,"22","22 - Leavenworth via Cashmere",,3,http://www.linktransit.com/routes_and_schedules/intercity_routes/route_22_wenatchee_to_leavenworth.php,F5841F,000000,22
23,0,"23","23 - Rock Island",,3,http://www.linktransit.com/routes_and_schedules/east_wenatchee_routes/route_23.php,00A850,ffffff,23
24,0,"24","24 - Malaga",,3,http://www.linktransit.com/routes_and_schedules/intercity_routes/route_24_wenatchee_to_malaga.php,000000,ffffff,24
25,0,"25","25 - Waterville",,3,http://www.linktransit.com/routes_and_schedules/east_wenatchee_routes/route_25.php,F5841F,000000,25
28,0,"28","28 - Cashmere",,3,http://www.linktransit.com/routes_and_schedules/small_city_routes/route_28_-_wenatchee_to_cashmere.php,b52a2e,ffffff,28
