trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t1A9-b89A-sl12,4:25:00,4:25:00,138,0,,0,0,0,1
t1A9-b89A-sl12,4:25:26,4:25:26,143,26,,0,0,1826.330841,0
t1A9-b89A-sl12,4:26:03,4:26:03,343,63,,0,0,4399.961406,0
t1A9-b89A-sl12,4:26:49,4:26:49,341,109,,0,0,7547.466057,0
t1A9-b89A-sl12,4:34:30,4:34:30,339,570,,0,0,40666.249787,0
t1A9-b89A-sl12,4:43:56,4:43:56,337,1136,,0,0,81228.717743,0
t1A9-b89A-sl12,4:44:22,4:44:22,335,1162,,0,0,83047.493609,0
t1A9-b89A-sl12,4:44:47,4:44:47,303,1187,,0,0,85725.910963,0
t1A9-b89A-sl12,4:45:27,4:45:27,515,1227,,0,0,87669.213629,0
t1A9-b89A-sl12,4:45:41,4:45:41,761,1241,,0,0,88637.721297,0
t1A9-b89A-sl12,4:46:00,4:46:00,328,1260,,0,0,89898.406653,1
t1A9-b89A-sl12,4:46:20,4:46:20,685,1280,,0,0,91188.653549,0
t1A9-b89A-sl12,4:46:31,4:46:31,329,1291,,0,0,91816.307396,0
t1A9-b89A-sl12,4:46:48,4:46:48,330,1308,,0,0,92899.769093,0
t1A9-b89A-sl12,4:47:05,4:47:05,331,1325,,0,0,93921.173158,0
t1A9-b89A-sl12,4:47:27,4:47:27,657,1347,,0,0,95282.750597,0
t1A9-b89A-sl12,4:47:44,4:47:44,332,1364,,0,0,96345.908122,0
t1A9-b89A-sl12,4:56:08,4:56:08,323,1868,,0,0,129020.659301,0
t1A9-b89A-sl12,4:57:14,4:57:14,321,1934,,0,0,133245.490504,0
t1A9-b89A-sl12,5:05:02,5:05:02,319,2402,,0,0,163530.121375,0
t1A9-b89A-sl12,5:06:14,5:06:14,280,2474,,0,0,168175.103963,0
t1A9-b89A-sl12,5:08:53,5:08:53,264,2633,,0,0,178448.360361,0
t1A9-b89A-sl12,5:09:11,5:09:11,265,2651,,0,0,179603.679545,0
t1A9-b89A-sl12,5:09:49,5:09:49,266,2689,,0,0,181956.697544,0
t1A9-b89A-sl12,5:10:32,5:10:32,267,2732,,0,0,184710.385925,0
t1A9-b89A-sl12,5:10:58,5:10:58,268,2758,,0,0,186368.540042,0
t1A9-b89A-sl12,5:11:28,5:11:28,269,2788,,0,0,188233.456266,0
t1A9-b89A-sl12,5:11:39,5:11:39,270,2799,,0,0,188843.363574,0
t1A9-b89A-sl12,5:12:00,5:12:00,271,2820,,0,0,190100.135915,1
t1A9-b89A-sl12,5:13:01,5:13:01,272,2881,,0,0,192405.237872,0
t1A9-b89A-sl12,5:13:37,5:13:37,273,2917,,0,0,193718.173391,0
t1A9-b89A-sl12,5:14:56,5:14:56,527,2996,,0,0,196645.431696,0
t1A9-b89A-sl12,5:15:44,5:15:44,549,3044,,0,0,198464.41557,0
t1A9-b89A-sl12,5:16:33,5:16:33,307,3093,,0,0,200271.387203,0
t1A9-b89A-sl12,5:17:41,5:17:41,550,3161,,0,0,202821.000246,0
t1A9-b89A-sl12,5:18:57,5:18:57,274,3237,,0,0,205691.17074,0
t1A9-b89A-sl12,5:20:40,5:20:40,585,3340,,0,0,209587.323121,0
t1A9-b89A-sl12,5:24:30,5:24:30,281,3570,,0,0,218324.866584,0
t1A9-b89A-sl12,5:25:42,5:25:42,282,3642,,0,0,221045.609218,0
t1A9-b89A-sl12,5:26:14,5:26:14,284,3674,,0,0,222234.788612,0
t1A9-b89A-sl12,5:27:17,5:27:17,295,3737,,0,0,224615.323568,0
t1A9-b89A-sl12,5:28:24,5:28:24,286,3804,,0,0,227142.844842,0
t1A9-b89A-sl12,5:29:27,5:29:27,7,3867,,0,0,229509.527956,0
t1A9-b89A-sl12,5:30:15,5:30:15,291,3915,,0,0,231265.754976,0
t1A9-b89A-sl12,5:30:28,5:30:28,571,3928,,0,0,231727.623637,0
t1A9-b89A-sl12,5:31:00,5:31:00,292,3960,,0,0,232848.462173,1
t1A9-b89A-sl16,4:25:00,4:25:00,138,0,,0,0,0,1
t1A9-b89A-sl16,4:25:26,4:25:26,143,26,,0,0,1826.330841,0
t1A9-b89A-sl16,4:26:03,4:26:03,343,63,,0,0,4399.961406,0
t1A9-b89A-sl16,4:26:49,4:26:49,341,109,,0,0,7547.466057,0
t1A9-b89A-sl16,4:34:30,4:34:30,339,570,,0,0,40666.249787,0
t1A9-b89A-sl16,4:43:56,4:43:56,337,1136,,0,0,81228.717743,0
t1A9-b89A-sl16,4:44:22,4:44:22,335,1162,,0,0,83047.493609,0
t1A9-b89A-sl16,4:44:47,4:44:47,303,1187,,0,0,85725.910963,0
t1A9-b89A-sl16,4:45:27,4:45:27,515,1227,,0,0,87669.213629,0
t1A9-b89A-sl16,4:45:41,4:45:41,761,1241,,0,0,88637.721297,0
t1A9-b89A-sl16,4:46:00,4:46:00,328,1260,,0,0,89898.406653,1
t1A9-b89A-sl16,4:46:20,4:46:20,685,1280,,0,0,91188.653549,0
t1A9-b89A-sl16,4:46:31,4:46:31,329,1291,,0,0,91816.307396,0
t1A9-b89A-sl16,4:46:48,4:46:48,330,1308,,0,0,92899.769093,0
t1A9-b89A-sl16,4:47:05,4:47:05,331,1325,,0,0,93921.173158,0
t1A9-b89A-sl16,4:47:27,4:47:27,657,1347,,0,0,95282.750597,0
t1A9-b89A-sl16,4:47:44,4:47:44,332,1364,,0,0,96345.908122,0
t1A9-b89A-sl16,4:56:08,4:56:08,323,1868,,0,0,129020.659301,0
t1A9-b89A-sl16,4:57:14,4:57:14,321,1934,,0,0,133245.490504,0
t1A9-b89A-sl16,5:05:02,5:05:02,319,2402,,0,0,163530.121375,0
t1A9-b89A-sl16,5:06:14,5:06:14,280,2474,,0,0,168175.103963,0
t1A9-b89A-sl16,5:08:53,5:08:53,264,2633,,0,0,178448.360361,0
t1A9-b89A-sl16,5:09:11,5:09:11,265,2651,,0,0,179603.679545,0
t1A9-b89A-sl16,5:09:49,5:09:49,266,2689,,0,0,181956.697544,0
t1A9-b89A-sl16,5:10:32,5:10:32,267,2732,,0,0,184710.385925,0
t1A9-b89A-sl16,5:10:58,5:10:58,268,2758,,0,0,186368.540042,0
t1A9-b89A-sl16,5:11:28,5:11:28,269,2788,,0,0,188233.456266,0
t1A9-b89A-sl16,5:11:39,5:11:39,270,2799,,0,0,188843.363574,0
t1A9-b89A-sl16,5:12:00,5:12:00,271,2820,,0,0,190100.135915,1
t1A9-b89A-sl16,5:13:01,5:13:01,272,2881,,0,0,192405.237872,0
t1A9-b89A-sl16,5:13:37,5:13:37,273,2917,,0,0,193718.173391,0
t1A9-b89A-sl16,5:14:56,5:14:56,527,2996,,0,0,196645.431696,0
t1A9-b89A-sl16,5:15:44,5:15:44,549,3044,,0,0,198464.41557,0
t1A9-b89A-sl16,5:16:33,5:16:33,307,3093,,0,0,200271.387203,0
t1A9-b89A-sl16,5:17:41,5:17:41,550,3161,,0,0,202821.000246,0
t1A9-b89A-sl16,5:18:57,5:18:57,274,3237,,0,0,205691.17074,0
t1A9-b89A-sl16,5:20:40,5:20:40,585,3340,,0,0,209587.323121,0
t1A9-b89A-sl16,5:24:30,5:24:30,281,3570,,0,0,218324.866584,0
t1A9-b89A-sl16,5:25:42,5:25:42,282,3642,,0,0,221045.609218,0
t1A9-b89A-sl16,5:26:14,5:26:14,284,3674,,0,0,222234.788612,0
t1A9-b89A-sl16,5:27:17,5:27:17,295,3737,,0,0,224615.323568,0
t1A9-b89A-sl16,5:28:24,5:28:24,286,3804,,0,0,227142.844842,0
t1A9-b89A-sl16,5:29:27,5:29:27,7,3867,,0,0,229509.527956,0
t1A9-b89A-sl16,5:30:15,5:30:15,291,3915,,0,0,231265.754976,0
t1A9-b89A-sl16,5:30:28,5:30:28,571,3928,,0,0,231727.623637,0
t1A9-b89A-sl16,5:31:00,5:31:00,292,3960,,0,0,232848.462173,1
t1AE-b899-sl12,4:30:00,4:30:00,1000,0,,0,0,0,1
t1AE-b899-sl12,4:30:39,4:30:39,62,39,,0,0,2415.859779,0
t1AE-b899-sl12,4:31:14,4:31:14,63,74,,0,0,3520.513679,0
t1AE-b899-sl12,4:31:46,4:31:46,52,106,,0,0,4542.589568,0
