stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,"Wenatchee Ave & Chehalis",,47.417217,-120.305595,,,0,,0
1000,1000,"Columbia Station",,47.420551,-120.307526,,,0,,0
1002,1002,"Mission at Lincoln Park",,47.402748,-120.303169,,,0,,0
104,104,"Valley North Center at JC Penney",,47.439106,-120.327225,,,0,,0
109,109,"Baker & 23rd",,47.442692,-120.292221,,,0,,0
11,11,"Terminal & Mission",,47.397717,-120.301567,,,0,,0
112,112,"Okanogan & Orondo at Plaza Super Jet",,47.420925,-120.31411,,,0,,0
113,113,"Okanogan & Kittitas",,47.417595,-120.314049,,,0,,0
114,114,"Okanogan at Colonial Vista",,47.413956,-120.314041,,,0,,0
115,115,"Okanogan & Ferry",,47.411179,-120.314003,,,0,,0
116,116,"Okanogan & Park",,47.409004,-120.31398,,,0,,0
117,117,"Red Apple Rd & Highland Dr",,47.408009,-120.315773,,,0,,0
120,120,"Miller & Russell at Pioneer Middle Schoo",,47.412148,-120.324471,,,0,,0
121,121,"Miller & Coolidge",,47.416279,-120.324577,,,0,,0
122,122,"Miller & Plum",,47.419834,-120.324608,,,0,,0
123,123,"Miller & Washington",,47.421833,-120.324638,,,0,,0
124,124,"Miller & Orchard",,47.426552,-120.324623,,,0,,0
125,125,"Miller & 5th",,47.431065,-120.324623,,,0,,0
126,126,"Miller & 9th",,47.433815,-120.324684,,,0,,0
127,127,"Springwater at Target",,47.436928,-120.32695,,,0,,0
128,128,"Maple at Wenatchee Senior Center",,47.442478,-120.33345,,,0,,0
13,13,"Methow & Ridgeview",,47.399719,-120.308304,,,0,,0
131,131,"Western & Maple",,47.443386,-120.346115,,,0,,0
136,136,"Wenatchee Ave & Maiden Ln",,47.454155,-120.33532,,,0,,0
138,138,"Penny Rd & Euclid Ave",,47.465847,-120.32785,,,0,,0
139,139,"Penny Rd & Euclid Ave",,47.466061,-120.327354,,,0,,0
14,14,"Methow & Parkway",,47.402603,-120.308311,,,0,,0
143,143,"Euclid Ave & Gunn Rd",,47.469532,-120.324638,,,0,,0
144,144,"Euclid Ave & Gunn Rd",,47.469433,-120.324898,,,0,,0
145,145,"Cascade & 35th",,47.464001,-120.302803,,,0,,0
146,146,"33rd & Sunset Hwy",,47.460682,-120.298309,,,0,,0
147,147,"Cascade & 31st",,47.457493,-120.302757,,,0,,0
148,148,"Cascade & 33rd",,47.460659,-120.302612,,,0,,0
149,149,"Cascade & 33rd",,47.460346,-120.30278,,,0,,0
15,15,"Ferry & Cascade",,47.41095,-120.311844,,,0,,0
150,150,"Cascade & 31st",,47.457088,-120.302605,,,0,,0
151,151,"Cascade & 29th",,47.45372,-120.302589,,,0,,0
153,153,"Cascade & 27th",,47.449963,-120.302597,,,0,,0
154,154,"Cascade & 25th",,47.445816,-120.302811,,,0,,0
155,155,"Cascade & Lloyd",,47.447041,-120.302612,,,0,,0
156,156,"Cascade & Broadmoor",,47.440262,-120.302666,,,0,,0
157,157,"Cascade & Bellevue",,47.439442,-120.302849,,,0,,0
158,158,"Cascade & 22nd at Bella Rio Apts",,47.437531,-120.302711,,,0,,0
159,159,"Cascade & 22nd at Bella Rio Apts",,47.437569,-120.302895,,,0,,0
160,160,"19th & Cascade",,47.435032,-120.300827,,,0,,0
161,161,"19th & Cascade",,47.435192,-120.300568,,,0,,0
162,162,"Baker & 19th",,47.433819,-120.292274,,,0,,0
163,163,"Baker & 17th",,47.432762,-120.292145,,,0,,0
164,164,"Baker & 17th",,47.431549,-120.292351,,,0,,0
165,165,"Palouse & Chelan",,47.423901,-120.31472,,,0,,0
166,166,"Buchanan & Washington",,47.422855,-120.316818,,,0,,0
167,167,"Washington & Delaware",,47.422626,-120.319687,,,0,,0
169,169,"Washington Park",,47.4226,-120.327209,,,0,,0
170,170,"Washington & Cove",,47.422707,-120.332184,,,0,,0
171,171,"Elliott & Castlerock",,47.419529,-120.335403,,,0,,0
172,172,"Castlerock & Dogwood",,47.41914,-120.337189,,,0,,0
173,173,"11th & Eastmont",,47.422276,-120.283981,,,0,,0
176,176,"11th & Devon",,47.421227,-120.287613,,,0,,0
177,177,"Castlerock & Brandi Ln",,47.419193,-120.340584,,,0,,0
178,178,"11th & Colorado",,47.420528,-120.2901,,,0,,0
18,18,"Crawford & Miller",,47.404381,-120.323021,,,0,,0
181,181,"Wenatchee Walmart",,47.453384,-120.339142,,,0,,0
182,182,"Red Apple Rd and Linwood Ave",,47.408028,-120.320747,,,0,,0
183,183,"Maiden Ln & Western",,47.453331,-120.345619,,,0,,0
184,184,"Western & Storey Ln",,47.448288,-120.346413,,,0,,0
185,185,"Western & Maple",,47.443233,-120.346375,,,0,,0
186,186,"Maple & Poplar",,47.44241,-120.342529,,,0,,0
187,187,"Ferry St & Mission St",,47.411224,-120.302841,,,0,,0
188,188,"Cascade & 29th",,47.4552,-120.30275,,,0,,0
189,189,"Ferry St & Walker Ave",,47.411083,-120.309937,,,0,,0
19,19,"Miller & Stevens at Wenatchee High Schoo",,47.409927,-120.324493,,,0,,0
190,190,"Miller & Springwater",,47.435699,-120.32502,,,0,,0
191,191,"Springwater & Miller",,47.436771,-120.326332,,,0,,0
192,192,"Miller & 9th",,47.432957,-120.324951,,,0,,0
193,193,"Miller & 5th",,47.431305,-120.324898,,,0,,0
194,194,"Miller & Orchard",,47.427235,-120.32486,,,0,,0
195,195,"Miller & Madison",,47.424007,-120.324867,,,0,,0
