route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,18,t211-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t22B-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t261-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t27F-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t28F-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t2C5-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t2D5-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t2E3-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t2F3-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t329-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t339-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t347-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t357-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t38D-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t39D-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t3AB-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t3BB-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t3F1-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t401-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t40F-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t41F-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t455-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t465-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t473-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t483-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t4B9-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t4C9-b4B4-sl12,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,18,t4D7-b4B4-sl12,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,18,t4E7-b4B2-sl12,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,18,t51D-b4B2-sl12,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,18,t52D-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t53B-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t54B-b4B3-sl12,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,18,t581-b4B3-sl12,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,18,t591-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t59F-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t5AF-b4B3-sl12,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,18,t5E5-b4B3-sl12,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,18,t5F5-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t603-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t613-b4B3-sl12,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,18,t649-b4B3-sl12,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,18,t659-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t667-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t677-b4B3-sl12,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,18,t6AD-b4B3-sl12,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,18,t6BD-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t6CB-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t721-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t72F-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t785-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t793-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t7E9-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,18,t7F7-b4B1-sl12,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,18,t84D-b4B1-sl12,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,19,t2E3-b520A-sl13,"Columbia Station via Wenatchee Ave",1,21002,3933_shp,0,0
1,19,t339-b520A-sl13,"Walmart via Wenatchee Ave",0,21002,3959_shp,0,0
1,19,t347-b520A-sl13,"Columbia Station via Wenatchee Ave",1,21002,3933_shp,0,0
1,19,t39D-b520A-sl13,"Walmart via Wenatchee Ave",0,21002,3959_shp,0,0
1,19,t3AB-b520A-sl13,"Columbia Station via Wenatchee Ave",1,21002,3933_shp,0,0
1,19,t401-b520A-sl13,"Walmart via Wenatchee Ave",0,21002,3959_shp,0,0
1,19,t40F-b520A-sl13,"Columbia Station via Wenatchee Ave",1,21002,3933_shp,0,0
1,19,t465-b520A-sl13,"Walmart via Wenatchee Ave",0,21002,3959_shp,0,0
1,19,t473-b520A-sl13,"Columbia Station via Wenatchee Ave",1,21002,3933_shp,0,0
1,19,t4C9-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,19,t4D7-b5209-sl13,"Columbia Station via Wenatchee Ave",1,21001,3933_shp,0,0
1,19,t52D-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,19,t53B-b5209-sl13,"Columbia Station via Wenatchee Ave",1,21001,3933_shp,0,0
1,19,t591-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,19,t59F-b5209-sl13,"Columbia Station via Wenatchee Ave",1,21001,3933_shp,0,0
1,19,t5F5-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,19,t603-b5209-sl13,"Columbia Station via Wenatchee Ave",1,21001,3933_shp,0,0
1,19,t659-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,19,t667-b5209-sl13,"Columbia Station via Wenatchee Ave",1,21001,3933_shp,0,0
1,19,t6BD-b5209-sl13,"Walmart via Wenatchee Ave",0,21001,3959_shp,0,0
1,20,t3AB-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t401-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t40F-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t465-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t473-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t4C9-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t4D7-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t52D-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t53B-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t591-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t59F-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t5F5-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t603-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t659-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,20,t667-b7531-sl14,"Columbia Station via Wenatchee Ave",1,30001,3939_shp,0,0
1,20,t6BD-b7531-sl14,"Walmart via Wenatchee Ave",0,30001,3965_shp,0,0
1,22,t211-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t22B-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t261-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t27F-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t28F-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t2C5-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t2D5-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t2E3-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t2F3-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t329-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t339-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t347-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t357-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t38D-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t39D-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t3AB-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t3BB-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t3F1-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t401-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t40F-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t41F-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t455-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t465-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t473-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t483-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t4B9-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t4C9-b4B4-sl16,"Walmart via Wenatchee Ave",0,1204,3953_shp,0,0
1,22,t4D7-b4B4-sl16,"Columbia Station via Wenatchee Ave",1,1204,3927_shp,0,0
1,22,t4E7-b4B2-sl16,"Walmart via Wenatchee Ave",0,1202,3953_shp,0,0
1,22,t51D-b4B2-sl16,"Columbia Station via Wenatchee Ave",1,1202,3927_shp,0,0
1,22,t52D-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t53B-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t54B-b4B3-sl16,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,22,t581-b4B3-sl16,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,22,t591-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t59F-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t5AF-b4B3-sl16,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,22,t5E5-b4B3-sl16,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,22,t5F5-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t603-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t613-b4B3-sl16,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,22,t649-b4B3-sl16,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,22,t659-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t667-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t677-b4B3-sl16,"Walmart via Wenatchee Ave",0,1203,3953_shp,0,0
1,22,t6AD-b4B3-sl16,"Columbia Station via Wenatchee Ave",1,1203,3927_shp,0,0
1,22,t6BD-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t6CB-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t721-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t72F-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t785-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t793-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t7E9-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
1,22,t7F7-b4B1-sl16,"Columbia Station via Wenatchee Ave",1,1201,3927_shp,0,0
1,22,t84D-b4B1-sl16,"Walmart via Wenatchee Ave",0,1201,3953_shp,0,0
2,18,t22A-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t270-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t276-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t28E-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t2BC-b4B3-sl12,"Walmart via Downtown",0,1203,3952_shp,0,0
2,18,t2D4-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t2DA-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t2F2-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t320-b4B3-sl12,"Walmart via Downtown",0,1203,3952_shp,0,0
2,18,t338-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t33E-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t356-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t384-b4B3-sl12,"Walmart via Downtown",0,1203,3952_shp,0,0
2,18,t39C-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t3A2-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t3BA-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t3E8-b4B3-sl12,"Walmart via Downtown",0,1203,3952_shp,0,0
2,18,t400-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t406-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t41E-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
2,18,t44C-b4B3-sl12,"Walmart via Downtown",0,1203,3952_shp,0,0
2,18,t464-b4B3-sl12,"East Wenatchee Ave via Downtown/Mall",1,1203,3931_shp,0,0
2,18,t46A-b4B1-sl12,"Walmart via Downtown",0,1201,3952_shp,0,0
2,18,t482-b4B1-sl12,"East Wenatchee Ave via Downtown/Mall",1,1201,3931_shp,0,0
