fare_id,route_id,origin_id,destination_id,contains_id
1500,2990,,,
1500,2991,,,
1500,2992,,,
1500,2993,,,
1500,2994,,,
1500,2995,,,
1500,2996,,,
1500,2997,,,
1500,2998,,,
1500,3007,,,
1501,2990,,,
1501,2991,,,
1501,2992,,,
1501,2993,,,
1501,2994,,,
1501,2995,,,
1501,2996,,,
1501,2997,,,
1501,2998,,,
1501,3007,,,
1502,2999,,,
1502,3000,,,
1502,3001,,,
1502,3002,,,
1502,3003,,,
1502,3004,,,
1502,3005,,,
1502,3006,,,
1502,3008,,,
1503,2999,,,
1503,3000,,,
1503,3001,,,
1503,3002,,,
1503,3003,,,
1503,3004,,,
1503,3005,,,
1503,3006,,,
1503,3008,,,
