runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67333_b_77545_d_31,1,1,1,t_5304748_b_77545_tn_0,800755,t_5304874_b_77545_tn_0,800755
1000000,c_67333_b_77545_d_31,15,10,1,t_5305187_b_77545_tn_0,800755,t_5305284_b_77545_tn_0,800755
1100000,c_67333_b_77545_d_31,16,11,1,t_5305408_b_77545_tn_0,800755,t_5305362_b_77545_tn_0,800755
1200000,c_67333_b_77545_d_31,17,12,1,t_5305275_b_77545_tn_0,800755,t_5305281_b_77545_tn_0,800755
1300000,c_67333_b_77545_d_31,18A,13,1,t_5304798_b_77545_tn_0,800755,t_5305267_b_77545_tn_0,800755
1400000,c_67333_b_77545_d_31,18B,14,1,t_5305215_b_77545_tn_0,800755,t_5305340_b_77545_tn_0,800755
1500000,c_67333_b_77545_d_31,19A,15,1,t_5305211_b_77545_tn_0,800755,t_5304827_b_77545_tn_0,800755
1600000,c_67333_b_77545_d_31,19B,16,1,t_5305230_b_77545_tn_0,800755,t_5305321_b_77545_tn_0,800755
1700000,c_67333_b_77545_d_31,20A,17,1,t_5304845_b_77545_tn_0,800755,t_5304762_b_77545_tn_0,800755
1800000,c_67333_b_77545_d_31,20B,18,1,t_5304789_b_77545_tn_0,800755,t_5304855_b_77545_tn_0,800755
1900000,c_67333_b_77545_d_31,21A,19,1,t_5305252_b_77545_tn_0,800755,t_5305375_b_77545_tn_0,800755
200000,c_67333_b_77545_d_31,10A,2,1,t_5305333_b_77545_tn_0,800755,t_5304788_b_77545_tn_0,800755
2000000,c_67333_b_77545_d_31,21B,20,1,t_5305365_b_77545_tn_0,800755,t_5305263_b_77545_tn_0,800755
2100000,c_67333_b_77545_d_31,22A,21,1,t_5305203_b_77545_tn_0,800755,t_5304866_b_77545_tn_0,800755
2200000,c_67333_b_77545_d_31,22B,22,1,t_5305355_b_77545_tn_0,800755,t_5305196_b_77545_tn_0,800755
2300000,c_67333_b_77545_d_31,2A,23,1,t_5305195_b_77545_tn_0,800755,t_5305420_b_77545_tn_0,800755
2400000,c_67333_b_77545_d_31,2B,24,1,t_5304787_b_77545_tn_0,800755,t_5305235_b_77545_tn_0,800755
2500000,c_67333_b_77545_d_31,3A,25,1,t_5305344_b_77545_tn_0,800755,t_5305349_b_77545_tn_0,800755
2600000,c_67333_b_77545_d_31,3B,26,1,t_5304768_b_77545_tn_0,800755,t_5305352_b_77545_tn_0,800755
2700000,c_67333_b_77545_d_31,4,27,1,t_5305204_b_77545_tn_0,800755,t_5304792_b_77545_tn_0,800755
2800000,c_67333_b_77545_d_31,5,28,1,t_5305191_b_77545_tn_0,800755,t_5305411_b_77545_tn_0,800755
2900000,c_67333_b_77545_d_31,50,29,1,t_5305354_b_77545_tn_0,800755,t_5305213_b_77545_tn_0,800755
300000,c_67333_b_77545_d_31,10B,3,1,t_5304742_b_77545_tn_0,800755,t_5305271_b_77545_tn_0,800755
3000000,c_67333_b_77545_d_31,6A,30,1,t_5305241_b_77545_tn_0,800755,t_5305247_b_77545_tn_0,800755
3100000,c_67333_b_77545_d_31,6B,31,1,t_5304803_b_77545_tn_0,800755,t_5305239_b_77545_tn_0,800755
3200000,c_67333_b_77545_d_31,7A,32,1,t_5304824_b_77545_tn_0,800755,t_5305318_b_77545_tn_0,800755
3300000,c_67333_b_77545_d_31,7B,33,1,t_5305199_b_77545_tn_0,800755,t_5304819_b_77545_tn_0,800755
