timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5411,815085,1,Hildreth St & Ludlam St,"1/Christian Hill, 8/Centralville"
5411,800750,2,Hildreth St and Bridge St,1/Christian Hill
5411,815151,3,Market Basket at Sunrise Plaza,"10/Dracut/Tyngsboro, 1/Christian Hill"
5411,814927,4,Beacon St & Methuen St,1/Christian Hill
5411,815098,5,Merrimack St & John St,"10/Dracut/Tyngsboro, 18/Downtown Shuttle, 1/Christian Hill, 8/Centralville, 9/Lowell Circulator"
5411,800755,6,Kennedy Center,"10/Dracut/Tyngsboro, 11/IRS/Raytheon via Rte. 133, 12/Tewksbury via Rte. 38/Wilmington Train Station, 13/Billerica via Edson, 14/Burlington Mall/Lahey Clinic, 15-16/Chelmsford Center/Westford via Rtes. 129/110, 15/Chelmsford/Westford via Rte. 129/110, 16/Chelmsford via Chelmsford Street, 17/North Chelmsford via Middlesex Street, 18/Downtown Shuttle, 19/Pheasant Lane Mall via Middlesex Street, 1/Christian Hill, 2/Belvidere, 3/South Lowell, 4/Highlands via Stevens, 5/Westford Street/Drum Hill, 6/Broadway/UMass Lowell, 7/Pawtucketville/UMass Lowell North, 8/Centralville, 9/Lowell Circulator, /DEPRECATED - Vaccination Shuttle"
5412,814481,1,River Rd & Trull Ln,2/Belvidere
5412,814744,2,Burnham Road and Andover Street,2/Belvidere
5412,2730030,3,Wentworth Ave & Andover St,2/Belvidere
5412,815087,4,Hovey St & Douglas Rd,2/Belvidere
5412,814366,5,Hannafords Plaza,2/Belvidere
5412,815211,6,Stadium Plaza,"12/Tewksbury via Rte. 38/Wilmington Train Station, 2/Belvidere"
5412,2729436,7,Shedd Park,"12/Tewksbury via Rte. 38/Wilmington Train Station, 2/Belvidere"
5412,815197,8,Rogers St & High St,2/Belvidere
5412,815138,9,Saints Memorial Hospital,2/Belvidere
5412,814418,10,Middlesex & Elliot St,"11/IRS/Raytheon via Rte. 133, 12/Tewksbury via Rte. 38/Wilmington Train Station, 18/Downtown Shuttle, 2/Belvidere, 9/Lowell Circulator"
5412,800755,11,Kennedy Center,"10/Dracut/Tyngsboro, 11/IRS/Raytheon via Rte. 133, 12/Tewksbury via Rte. 38/Wilmington Train Station, 13/Billerica via Edson, 14/Burlington Mall/Lahey Clinic, 15-16/Chelmsford Center/Westford via Rtes. 129/110, 15/Chelmsford/Westford via Rte. 129/110, 16/Chelmsford via Chelmsford Street, 17/North Chelmsford via Middlesex Street, 18/Downtown Shuttle, 19/Pheasant Lane Mall via Middlesex Street, 1/Christian Hill, 2/Belvidere, 3/South Lowell, 4/Highlands via Stevens, 5/Westford Street/Drum Hill, 6/Broadway/UMass Lowell, 7/Pawtucketville/UMass Lowell North, 8/Centralville, 9/Lowell Circulator, /DEPRECATED - Vaccination Shuttle"
5413,815176,1,North Billerica Train Station,"3/South Lowell, 4/Highlands via Stevens"
5413,2745401,2,Billerica Business Center,3/South Lowell
5413,814998,3,Riverview Commerce Center ,3/South Lowell
5413,815260,4,Riverside School,3/South Lowell
5413,800795,5,Lawrence St and Woburn St,3/South Lowell
5413,2740278,6,Church St & Lawrence St,3/South Lowell
5413,814606,7,Lowell Superior Court,"3/South Lowell, 6/Broadway/UMass Lowell, 9/Lowell Circulator, /Acton COA Transportation, /Carlisle COA Transportation, /Road Runner ADA, /Road Runner Senior"
