timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
5411,2990,1,20220815,20221101,1,1,1,1,1,0,0,Christian Hill,Weekday,Inbound,horizontal,,
5412,2991,1,20220815,20221101,1,1,1,1,1,0,0,Belvidere,Weekday,Inbound,horizontal,,
5413,2992,1,20220815,20221101,1,1,1,1,1,0,0,South Lowell,Weekday,Inbound,horizontal,,
5414,2993,1,20220815,20221101,1,1,1,1,1,0,0,Highlands via Stevens,Weekday,Inbound,horizontal,,
5415,2994,1,20220815,20221101,1,1,1,1,1,0,0,Westford Street/Drum Hill,Weekday,Inbound,horizontal,,
5416,2995,1,20220815,20221101,1,1,1,1,1,0,0,Broadway/UMass Lowell,Weekday,Inbound,horizontal,,
5417,2996,1,20220815,20221101,1,1,1,1,1,0,0,Pawtucketville/UMass Lowell North,Weekday,Inbound,horizontal,,
5418,2997,1,20220815,20221101,1,1,1,1,1,0,0,Centralville,Weekday,Inbound,horizontal,,
5419,2998,0,20220815,20221101,1,1,1,1,1,0,0,Lowell Circulator,Weekday,Multidirectional,horizontal,,
5420,2999,1,20220815,20221101,1,1,1,1,1,0,0,Dracut/Tyngsboro,Weekday,Inbound,horizontal,,
5421,3000,1,20220815,20221101,1,1,1,1,1,0,0,IRS/Raytheon via Rte. 133,Weekday,Inbound,horizontal,,
5422,3001,1,20220815,20221101,1,1,1,1,1,0,0,Tewksbury via Rte. 38/Wilmington Train Station,Weekday,Inbound,horizontal,,
5423,3002,1,20220815,20221101,1,1,1,1,1,0,0,Billerica via Edson,Weekday,Inbound,horizontal,,
5424,3003,1,20220815,20221101,1,1,1,1,1,0,0,Burlington Mall/Lahey Clinic,Weekday,Inbound,horizontal,,
5425,3004,1,20220815,20221101,1,1,1,1,1,0,0,Chelmsford/Westford via Rte. 129/110,Weekday,Inbound,horizontal,,
5426,3005,1,20220815,20221101,1,1,1,1,1,0,0,Chelmsford via Chelmsford Street,Weekday,Inbound,horizontal,,
5427,3006,1,20220815,20221101,1,1,1,1,1,0,0,North Chelmsford via Middlesex Street,Weekday,Inbound,horizontal,,
