runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_24599_b_34464_d_127,132202,1,1,t_2122314_b_34464_tn_1,798843,t_5371550_b_34464_tn_0,798843
1000000,c_24599_b_34464_d_48,3032,10,1,t_2122531_b_34464_tn_1,798893,t_2122531_b_34464_tn_4,798803
200000,c_24599_b_34464_d_127,14236,2,1,t_2122178_b_34464_tn_1,798904,t_2122312_b_34464_tn_0,798803
300000,c_24599_b_34464_d_127,14237,3,1,t_2122307_b_34464_tn_0,798904,t_2122313_b_34464_tn_6,798904
400000,c_24599_b_34464_d_127,14238,4,1,t_5378285_b_34464_tn_0,798843,t_2122303_b_34464_tn_6,798904
500000,c_24599_b_34464_d_127,3031,5,1,t_2119683_b_34464_tn_0,798893,t_2119728_b_34464_tn_0,798893
600000,c_24599_b_34464_d_127,3032,6,1,t_2122325_b_34464_tn_1,798803,t_2122527_b_34464_tn_12,798893
700000,c_24599_b_34464_d_127,3038,7,1,t_2122530_b_34464_tn_1,798893,t_5378284_b_34464_tn_0,798803
800000,c_24599_b_34464_d_127,3044,8,1,t_2119706_b_34464_tn_0,798803,t_2119820_b_34464_tn_0,798893
900000,c_24599_b_34464_d_127,3049,9,1,t_5378149_b_34464_tn_0,798884,t_5378283_b_34464_tn_0,798884
